Model,Layer,Fold,Accuracy,F1,Precision,Recall,AUC
GCN,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.7155172413793103
GCN,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.7155172413793104
GCN,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.27586206896551724
GCN,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.6436781609195402
GCN,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.67816091954023
GCN,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.6057471264367816
GraphSAGE,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.6810344827586207
GraphSAGE,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.603448275862069
GraphSAGE,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.2672413793103448
GraphSAGE,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.5172413793103449
GraphSAGE,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.6666666666666666
GraphSAGE,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.5471264367816091
GAT,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.2586206896551724
GAT,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.43103448275862066
GAT,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.3793103448275862
GAT,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.6781609195402298
GAT,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.27586206896551724
GAT,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.4045977011494252
GCN,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.7155172413793103
GCN,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.7155172413793104
GCN,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.27586206896551724
GCN,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.6436781609195402
GCN,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.67816091954023
GCN,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.6057471264367816
GraphSAGE,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.6810344827586207
GraphSAGE,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.603448275862069
GraphSAGE,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.2672413793103448
GraphSAGE,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.5172413793103449
GraphSAGE,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.6666666666666666
GraphSAGE,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.5471264367816091
GAT,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.2586206896551724
GAT,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.43103448275862066
GAT,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.3793103448275862
GAT,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.6781609195402298
GAT,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.27586206896551724
GAT,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.4045977011494252
GCN,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.7155172413793103
GCN,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.7155172413793104
GCN,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.27586206896551724
GCN,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.6436781609195402
GCN,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.67816091954023
GCN,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.6057471264367816
GraphSAGE,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.6810344827586207
GraphSAGE,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.603448275862069
GraphSAGE,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.2672413793103448
GraphSAGE,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.5172413793103449
GraphSAGE,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.6666666666666666
GraphSAGE,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.5471264367816091
GAT,FA,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.2586206896551724
GAT,FA,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.43103448275862066
GAT,FA,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.3793103448275862
GAT,FA,4,0.90625,0.9508196721311475,0.90625,1.0,0.6781609195402298
GAT,FA,5,0.90625,0.9508196721311475,0.90625,1.0,0.27586206896551724
GAT,FA,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.4045977011494252
