Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
FA,0,Degree,41.72222,41.744827,-0.022605896
FA,1,Degree,47.88889,47.68276,0.20613098
FA,2,Degree,42.77778,42.731033,0.0467453
FA,3,Degree,23.555555,23.889656,-0.33410072
FA,4,Degree,45.5,45.744827,-0.24482727
FA,5,Degree,63.77778,63.58621,0.19157028
FA,6,Degree,51.72222,51.67586,0.046360016
FA,7,Degree,55.5,55.67586,-0.17586136
FA,8,Degree,51.88889,51.655174,0.23371506
FA,9,Degree,51.72222,51.67586,0.046360016
FA,10,Degree,42.88889,42.717243,0.17164612
FA,11,Degree,44.61111,44.73793,-0.12681961
FA,12,Degree,62.77778,62.593105,0.18467331
FA,13,Degree,29.5,29.855173,-0.3551731
FA,14,Degree,44.72222,44.724136,-0.001914978
FA,15,Degree,46.77778,46.70345,0.074329376
FA,16,Degree,34.88889,34.772415,0.11647415
FA,17,Degree,47.88889,47.68276,0.20613098
FA,18,Degree,37.944443,37.744827,0.19961548
FA,19,Degree,53.666668,53.668964,-0.0022964478
FA,20,Degree,48.88889,48.67586,0.21302795
FA,21,Degree,52.77778,52.662067,0.11571121
FA,22,Degree,65.77778,65.57241,0.20536804
FA,23,Degree,44.77778,44.717243,0.06053543
FA,24,Degree,56.77778,56.634483,0.14329529
FA,25,Degree,58.944443,58.6,0.34444427
FA,26,Degree,64.888885,64.56551,0.3233719
FA,27,Degree,62.5,62.627586,-0.12758636
FA,28,Degree,55.61111,55.662067,-0.050956726
FA,29,Degree,28.777779,28.827587,-0.049808502
FA,30,Degree,64.94444,64.558624,0.38581848
FA,31,Degree,72.5,72.558624,-0.058624268
FA,32,Degree,58.61111,58.64138,-0.030269623
FA,33,Degree,68.5,68.586205,-0.08620453
FA,34,Degree,60.666668,60.62069,0.045978546
FA,35,Degree,50.38889,50.724136,-0.33524704
FA,36,Degree,34.444443,34.827587,-0.38314438
FA,37,Degree,37.333332,37.82069,-0.4873581
FA,38,Degree,72.833336,72.51724,0.31609344
FA,39,Degree,58.61111,58.64138,-0.030269623
FA,40,Degree,68.77778,68.55173,0.22605133
FA,41,Degree,60.555557,60.634483,-0.07892609
FA,42,Degree,52.166668,52.73793,-0.57126236
FA,43,Degree,31.61111,31.827587,-0.21647644
FA,44,Degree,34.5,34.82069,-0.32069016
FA,45,Degree,41.88889,41.724136,0.16475296
FA,46,Degree,48.88889,48.67586,0.21302795
FA,47,Degree,46.61111,46.724136,-0.113025665
FA,48,Degree,18.777779,18.896551,-0.11877251
FA,49,Degree,38.666668,38.772415,-0.10574722
FA,50,Degree,64.77778,64.57931,0.19847107
FA,51,Degree,50.77778,50.67586,0.10191727
FA,52,Degree,56.555557,56.662067,-0.10651016
FA,53,Degree,50.88889,50.662067,0.2268219
FA,54,Degree,48.77778,48.689655,0.08812332
FA,55,Degree,42.72222,42.73793,-0.015708923
FA,56,Degree,45.5,45.744827,-0.24482727
FA,57,Degree,64.666664,64.5931,0.07356262
FA,58,Degree,29.38889,29.868965,-0.48007584
FA,59,Degree,43.72222,43.731033,-0.008811951
FA,60,Degree,46.944443,46.68276,0.26168442
FA,61,Degree,37.77778,37.76552,0.012260437
FA,62,Degree,47.88889,47.68276,0.20613098
FA,63,Degree,38.72222,38.76552,-0.043296814
FA,64,Degree,50.72222,50.68276,0.039463043
FA,65,Degree,47.444443,47.73793,-0.29348755
FA,66,Degree,50.833332,50.668964,0.16436768
FA,67,Degree,66.888885,66.55173,0.3371582
FA,68,Degree,39.5,39.786205,-0.2862053
FA,69,Degree,57.833332,57.62069,0.21264267
FA,70,Degree,60.88889,60.593105,0.295784
FA,71,Degree,66.77778,66.56551,0.21226501
FA,72,Degree,66.611115,66.586205,0.024909973
FA,73,Degree,55.72222,55.648277,0.07394409
FA,74,Degree,24.833334,24.848276,-0.014942169
FA,75,Degree,65.77778,65.57241,0.20536804
FA,0,Strength,26.839022,27.047651,-0.20862961
FA,1,Strength,31.377811,31.58215,-0.20433807
FA,2,Strength,27.98928,28.06374,-0.074459076
FA,3,Strength,14.108798,14.363114,-0.25431633
