Model,Layer,Fold,Accuracy,F1,Precision,Recall,AUC
GCN,GM,1,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.3103448275862069
GCN,GM,2,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.24137931034482757
GCN,GM,3,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.5344827586206897
GCN,GM,4,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.2586206896551724
GCN,GM,5,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.396551724137931
GCN,GM,Average,0.9354838709677418,0.9666666666666666,0.9354838709677418,1.0,0.34827586206896555
GraphSAGE,GM,1,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.24137931034482757
GraphSAGE,GM,2,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.22413793103448276
GraphSAGE,GM,3,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.6379310344827587
GraphSAGE,GM,4,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.2413793103448276
GraphSAGE,GM,5,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.46551724137931033
GraphSAGE,GM,Average,0.9354838709677418,0.9666666666666666,0.9354838709677418,1.0,0.3620689655172414
GCN,GM,1,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.3103448275862069
GCN,GM,2,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.24137931034482757
GCN,GM,3,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.5344827586206897
GCN,GM,4,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.2586206896551724
GCN,GM,5,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.396551724137931
GCN,GM,Average,0.9354838709677418,0.9666666666666666,0.9354838709677418,1.0,0.34827586206896555
GraphSAGE,GM,1,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.24137931034482757
GraphSAGE,GM,2,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.22413793103448276
GraphSAGE,GM,3,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.6379310344827587
GraphSAGE,GM,4,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.2413793103448276
GraphSAGE,GM,5,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.46551724137931033
GraphSAGE,GM,Average,0.9354838709677418,0.9666666666666666,0.9354838709677418,1.0,0.3620689655172414
GCN,GM,1,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.3103448275862069
GCN,GM,2,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.24137931034482757
GCN,GM,3,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.5344827586206897
GCN,GM,4,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.2586206896551724
GCN,GM,5,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.396551724137931
GCN,GM,Average,0.9354838709677418,0.9666666666666666,0.9354838709677418,1.0,0.34827586206896555
GraphSAGE,GM,1,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.24137931034482757
GraphSAGE,GM,2,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.22413793103448276
GraphSAGE,GM,3,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.6379310344827587
GraphSAGE,GM,4,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.2413793103448276
GraphSAGE,GM,5,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.46551724137931033
GraphSAGE,GM,Average,0.9354838709677418,0.9666666666666666,0.9354838709677418,1.0,0.3620689655172414
GAT,GM,1,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.5172413793103449
GAT,GM,2,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.43103448275862066
GAT,GM,3,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.5862068965517241
GAT,GM,4,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.5862068965517242
GAT,GM,5,0.9354838709677419,0.9666666666666667,0.9354838709677419,1.0,0.6896551724137931
GAT,GM,Average,0.9354838709677418,0.9666666666666666,0.9354838709677418,1.0,0.5620689655172414
