Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
GM,0,Degree,67.0,67.6,-0.5999985
GM,1,Degree,66.7,66.558624,0.14137268
GM,2,Degree,42.0,41.710346,0.28965378
GM,3,Degree,74.9,74.489655,0.41034698
GM,4,Degree,74.7,74.50345,0.19654846
GM,5,Degree,71.4,71.54483,-0.1448288
GM,6,Degree,75.0,74.48276,0.51724243
GM,7,Degree,71.0,70.510345,0.48965454
GM,8,Degree,70.9,70.51724,0.3827591
GM,9,Degree,74.9,74.489655,0.41034698
GM,10,Degree,69.7,69.53793,0.1620636
GM,11,Degree,69.0,68.52414,0.4758606
GM,12,Degree,74.9,74.489655,0.41034698
GM,13,Degree,71.6,71.53104,0.0689621
GM,14,Degree,50.7,50.668964,0.031036377
GM,15,Degree,58.0,57.6,0.40000153
GM,16,Degree,70.9,70.51724,0.3827591
GM,17,Degree,64.8,64.56551,0.23448944
GM,18,Degree,48.8,48.67586,0.12413788
GM,19,Degree,39.0,38.731033,0.26896667
GM,20,Degree,67.8,67.54483,0.25517273
GM,21,Degree,52.0,51.64138,0.3586197
GM,22,Degree,62.9,62.572414,0.32758713
GM,23,Degree,69.1,69.57931,-0.47930908
GM,24,Degree,67.8,67.54483,0.25517273
GM,25,Degree,68.8,68.53793,0.2620697
GM,26,Degree,51.0,50.648277,0.35172272
GM,27,Degree,70.6,70.53793,0.062065125
GM,28,Degree,60.8,60.593105,0.20689392
GM,29,Degree,26.0,25.82069,0.17930984
GM,30,Degree,57.9,57.606895,0.29310608
GM,31,Degree,69.8,69.53104,0.26896667
GM,32,Degree,74.7,74.50345,0.19654846
GM,33,Degree,73.9,73.49655,0.40345
GM,34,Degree,74.7,74.50345,0.19654846
GM,35,Degree,74.9,74.489655,0.41034698
GM,36,Degree,74.3,74.53104,-0.23103333
GM,37,Degree,74.9,74.489655,0.41034698
GM,38,Degree,70.8,70.52414,0.27586365
GM,39,Degree,75.0,74.48276,0.51724243
GM,40,Degree,72.6,72.52414,0.07585907
GM,41,Degree,74.9,74.489655,0.41034698
GM,42,Degree,74.5,74.51724,-0.017242432
GM,43,Degree,74.9,74.489655,0.41034698
GM,44,Degree,74.7,74.50345,0.19654846
GM,45,Degree,63.6,63.58621,0.013790131
GM,46,Degree,60.0,60.648277,-0.6482773
GM,47,Degree,30.0,29.793104,0.20689583
GM,48,Degree,74.9,74.489655,0.41034698
GM,49,Degree,74.6,74.510345,0.089653015
GM,50,Degree,72.3,72.54483,-0.24482727
GM,51,Degree,74.7,74.50345,0.19654846
GM,52,Degree,72.9,72.50345,0.39655304
GM,53,Degree,69.9,69.52414,0.37586212
GM,54,Degree,75.0,74.48276,0.51724243
GM,55,Degree,70.9,70.51724,0.3827591
GM,56,Degree,62.0,61.572414,0.4275856
GM,57,Degree,72.9,73.56551,-0.6655121
GM,58,Degree,74.4,74.52414,-0.12413788
GM,59,Degree,54.7,54.64138,0.058620453
GM,60,Degree,62.7,63.648277,-0.9482765
GM,61,Degree,73.6,73.51724,0.08275604
GM,62,Degree,71.5,71.53793,-0.03793335
GM,63,Degree,28.0,27.806896,0.19310379
GM,64,Degree,43.9,43.70345,0.19655228
GM,65,Degree,66.6,66.56551,0.034484863
GM,66,Degree,52.2,52.689655,-0.48965454
GM,67,Degree,57.8,57.613792,0.18620682
GM,68,Degree,66.6,66.56551,0.034484863
GM,69,Degree,67.8,67.54483,0.25517273
GM,70,Degree,69.9,69.52414,0.37586212
GM,71,Degree,51.0,50.648277,0.35172272
GM,72,Degree,68.6,68.55173,0.04827118
GM,73,Degree,60.9,60.58621,0.31379318
GM,74,Degree,24.8,24.84138,-0.04137993
GM,75,Degree,69.9,69.52414,0.37586212
GM,0,Strength,48.509407,46.28607,2.2233353
GM,1,Strength,46.844036,46.292786,0.55125046
GM,2,Strength,27.471334,29.751966,-2.280632
GM,3,Strength,57.126762,57.799877,-0.6731148
GM,4,Strength,57.66145,57.546074,0.11537552
GM,5,Strength,52.045795,50.943695,1.1021004
