Model,Layer,Fold,Accuracy,F1,Precision,Recall,AUC
GCN,rsfMRI,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.2672413793103448
GCN,rsfMRI,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.3448275862068966
GCN,rsfMRI,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.25
GCN,rsfMRI,4,0.90625,0.9508196721311475,0.90625,1.0,0.7586206896551724
GCN,rsfMRI,5,0.90625,0.9508196721311475,0.90625,1.0,0.1149425287356322
GCN,rsfMRI,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.3471264367816092
GraphSAGE,rsfMRI,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.3275862068965517
GraphSAGE,rsfMRI,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.5
GraphSAGE,rsfMRI,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.21551724137931033
GraphSAGE,rsfMRI,4,0.90625,0.9508196721311475,0.90625,1.0,0.32183908045977017
GraphSAGE,rsfMRI,5,0.90625,0.9508196721311475,0.90625,1.0,0.16091954022988506
GraphSAGE,rsfMRI,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.30517241379310345
GAT,rsfMRI,1,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.603448275862069
GAT,rsfMRI,2,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.35344827586206895
GAT,rsfMRI,3,0.8787878787878788,0.9354838709677419,0.8787878787878788,1.0,0.5689655172413793
GAT,rsfMRI,4,0.90625,0.9508196721311475,0.90625,1.0,0.5977011494252874
GAT,rsfMRI,5,0.90625,0.9508196721311475,0.90625,1.0,0.471264367816092
GAT,rsfMRI,Average,0.8897727272727274,0.9416181914331041,0.8897727272727274,1.0,0.5189655172413794
