Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
rsfMRI,0,Degree,74.611115,74.53104,0.080078125
rsfMRI,1,Degree,74.666664,74.52414,0.14252472
rsfMRI,2,Degree,74.666664,74.52414,0.14252472
rsfMRI,3,Degree,74.94444,74.489655,0.4547882
rsfMRI,4,Degree,74.888885,74.49655,0.39233398
rsfMRI,5,Degree,74.388885,74.558624,-0.16973877
rsfMRI,6,Degree,74.888885,74.49655,0.39233398
rsfMRI,7,Degree,74.72222,74.51724,0.20497894
rsfMRI,8,Degree,74.77778,74.510345,0.26743317
rsfMRI,9,Degree,74.55556,74.53793,0.017623901
rsfMRI,10,Degree,74.72222,74.51724,0.20497894
rsfMRI,11,Degree,74.94444,74.489655,0.4547882
rsfMRI,12,Degree,74.72222,74.51724,0.20497894
rsfMRI,13,Degree,74.77778,74.510345,0.26743317
rsfMRI,14,Degree,74.94444,74.489655,0.4547882
rsfMRI,15,Degree,74.77778,74.510345,0.26743317
rsfMRI,16,Degree,74.611115,74.53104,0.080078125
rsfMRI,17,Degree,74.5,74.54483,-0.044830322
rsfMRI,18,Degree,74.666664,74.52414,0.14252472
rsfMRI,19,Degree,74.833336,74.50345,0.3298874
rsfMRI,20,Degree,74.5,74.54483,-0.044830322
rsfMRI,21,Degree,74.77778,74.510345,0.26743317
rsfMRI,22,Degree,74.666664,74.52414,0.14252472
rsfMRI,23,Degree,74.94444,74.489655,0.4547882
rsfMRI,24,Degree,74.833336,74.50345,0.3298874
rsfMRI,25,Degree,74.77778,74.510345,0.26743317
rsfMRI,26,Degree,74.611115,74.53104,0.080078125
rsfMRI,27,Degree,74.77778,74.510345,0.26743317
rsfMRI,28,Degree,74.5,74.54483,-0.044830322
rsfMRI,29,Degree,75.0,74.48276,0.51724243
rsfMRI,30,Degree,74.833336,74.50345,0.3298874
rsfMRI,31,Degree,74.666664,74.52414,0.14252472
rsfMRI,32,Degree,74.111115,74.5931,-0.481987
rsfMRI,33,Degree,74.94444,74.489655,0.4547882
rsfMRI,34,Degree,74.833336,74.50345,0.3298874
rsfMRI,35,Degree,74.888885,74.49655,0.39233398
rsfMRI,36,Degree,74.833336,74.50345,0.3298874
rsfMRI,37,Degree,75.0,74.48276,0.51724243
rsfMRI,38,Degree,74.77778,74.510345,0.26743317
rsfMRI,39,Degree,74.666664,74.52414,0.14252472
rsfMRI,40,Degree,74.666664,74.52414,0.14252472
rsfMRI,41,Degree,75.0,74.48276,0.51724243
rsfMRI,42,Degree,74.888885,74.49655,0.39233398
rsfMRI,43,Degree,75.0,74.48276,0.51724243
rsfMRI,44,Degree,74.77778,74.510345,0.26743317
rsfMRI,45,Degree,75.0,74.48276,0.51724243
rsfMRI,46,Degree,74.72222,74.51724,0.20497894
rsfMRI,47,Degree,74.888885,74.49655,0.39233398
rsfMRI,48,Degree,74.611115,74.53104,0.080078125
rsfMRI,49,Degree,74.77778,74.510345,0.26743317
rsfMRI,50,Degree,74.611115,74.53104,0.080078125
rsfMRI,51,Degree,74.833336,74.50345,0.3298874
rsfMRI,52,Degree,74.888885,74.49655,0.39233398
rsfMRI,53,Degree,74.666664,74.52414,0.14252472
rsfMRI,54,Degree,74.888885,74.49655,0.39233398
rsfMRI,55,Degree,74.55556,74.53793,0.017623901
rsfMRI,56,Degree,74.94444,74.489655,0.4547882
rsfMRI,57,Degree,74.888885,74.49655,0.39233398
rsfMRI,58,Degree,74.72222,74.51724,0.20497894
rsfMRI,59,Degree,74.72222,74.51724,0.20497894
rsfMRI,60,Degree,74.833336,74.50345,0.3298874
rsfMRI,61,Degree,74.94444,74.489655,0.4547882
rsfMRI,62,Degree,74.77778,74.510345,0.26743317
rsfMRI,63,Degree,74.666664,74.52414,0.14252472
rsfMRI,64,Degree,74.94444,74.489655,0.4547882
rsfMRI,65,Degree,74.72222,74.51724,0.20497894
rsfMRI,66,Degree,74.94444,74.489655,0.4547882
rsfMRI,67,Degree,74.833336,74.50345,0.3298874
rsfMRI,68,Degree,74.888885,74.49655,0.39233398
rsfMRI,69,Degree,74.833336,74.50345,0.3298874
rsfMRI,70,Degree,74.94444,74.489655,0.4547882
rsfMRI,71,Degree,74.888885,74.49655,0.39233398
rsfMRI,72,Degree,74.77778,74.510345,0.26743317
rsfMRI,73,Degree,75.0,74.48276,0.51724243
rsfMRI,74,Degree,74.888885,74.49655,0.39233398
rsfMRI,75,Degree,74.833336,74.50345,0.3298874
rsfMRI,0,Strength,43.666927,42.956364,0.71056366
rsfMRI,1,Strength,44.85669,44.13982,0.71686935
rsfMRI,2,Strength,43.181187,43.43855,-0.25736237
rsfMRI,3,Strength,39.021996,39.15542,-0.13342285
rsfMRI,4,Strength,43.466263,43.483086,-0.016822815
rsfMRI,5,Strength,43.257507,44.69873,-1.4412231
rsfMRI,6,Strength,42.958412,43.140778,-0.18236542
rsfMRI,7,Strength,40.77954,41.900627,-1.1210861
rsfMRI,8,Strength,44.621902,44.53411,0.08779144
rsfMRI,9,Strength,42.631794,43.568504,-0.93671036
rsfMRI,10,Strength,41.99707,41.899357,0.09771347
rsfMRI,11,Strength,42.43299,42.941364,-0.50837326
rsfMRI,12,Strength,42.189922,43.683506,-1.4935837
rsfMRI,13,Strength,39.64662,38.566265,1.0803566
rsfMRI,14,Strength,45.042347,44.61985,0.4224968
rsfMRI,15,Strength,43.747322,43.20705,0.54027176
rsfMRI,16,Strength,43.61178,43.458504,0.15327454
rsfMRI,17,Strength,43.36539,43.265938,0.09945297
rsfMRI,18,Strength,42.44006,43.146873,-0.7068138
rsfMRI,19,Strength,46.23128,45.675304,0.55597687
rsfMRI,20,Strength,43.33582,44.082474,-0.7466545
rsfMRI,21,Strength,46.50063,45.62151,0.8791199
rsfMRI,22,Strength,43.048244,43.58745,-0.53920364
rsfMRI,23,Strength,42.207085,42.568638,-0.3615532
rsfMRI,24,Strength,45.14482,44.53528,0.60954285
rsfMRI,25,Strength,44.300236,44.212383,0.08785248
rsfMRI,26,Strength,44.89461,44.865295,0.029315948
rsfMRI,27,Strength,43.7676,44.02617,-0.2585678
rsfMRI,28,Strength,43.75838,44.12016,-0.36177826
rsfMRI,29,Strength,41.003063,41.950066,-0.9470024
rsfMRI,30,Strength,43.105366,43.05664,0.04872513
rsfMRI,31,Strength,40.064438,40.880672,-0.8162346
rsfMRI,32,Strength,39.511406,39.22305,0.28835678
rsfMRI,33,Strength,40.11959,39.69388,0.4257126
rsfMRI,34,Strength,38.776707,36.667236,2.1094704
rsfMRI,35,Strength,38.086414,39.93177,-1.845356
rsfMRI,36,Strength,41.085735,40.193546,0.892189
rsfMRI,37,Strength,41.319355,38.89669,2.4226646
rsfMRI,38,Strength,39.459366,39.261375,0.19799042
rsfMRI,39,Strength,41.10526,40.70222,0.40303802
rsfMRI,40,Strength,40.93891,39.13617,1.802742
rsfMRI,41,Strength,38.868378,36.68313,2.1852493
rsfMRI,42,Strength,40.271202,39.404793,0.8664093
rsfMRI,43,Strength,40.306793,38.97502,1.3317719
rsfMRI,44,Strength,41.16411,39.167652,1.9964561
rsfMRI,45,Strength,43.100357,42.79244,0.30791855
rsfMRI,46,Strength,45.396347,45.459377,-0.06303024
rsfMRI,47,Strength,43.79272,44.091972,-0.29925156
rsfMRI,48,Strength,37.330635,38.292324,-0.961689
rsfMRI,49,Strength,42.187435,42.701412,-0.51397705
rsfMRI,50,Strength,43.501278,44.53998,-1.0387039
rsfMRI,51,Strength,44.19179,44.479324,-0.2875328
rsfMRI,52,Strength,42.363342,43.210068,-0.84672546
rsfMRI,53,Strength,44.085384,44.064472,0.02091217
rsfMRI,54,Strength,43.88127,45.011105,-1.1298332
rsfMRI,55,Strength,43.22751,42.738625,0.48888397
rsfMRI,56,Strength,42.612663,43.31949,-0.70682526
rsfMRI,57,Strength,43.050587,43.56211,-0.5115242
rsfMRI,58,Strength,39.327225,37.908985,1.4182396
rsfMRI,59,Strength,44.06085,43.94742,0.11343002
rsfMRI,60,Strength,44.63499,44.24068,0.39431
rsfMRI,61,Strength,42.29797,43.85046,-1.5524902
rsfMRI,62,Strength,43.24901,43.902676,-0.65366745
rsfMRI,63,Strength,42.656704,43.622833,-0.9661293
rsfMRI,64,Strength,44.750008,44.969883,-0.21987534
rsfMRI,65,Strength,43.37817,43.659935,-0.28176498
rsfMRI,66,Strength,46.049282,45.533764,0.5155182
rsfMRI,67,Strength,43.019028,43.446247,-0.4272194
rsfMRI,68,Strength,41.445553,41.76661,-0.32105637
rsfMRI,69,Strength,43.068684,43.18193,-0.11324692
rsfMRI,70,Strength,44.638287,45.16751,-0.5292244
rsfMRI,71,Strength,45.49269,45.306194,0.18649673
rsfMRI,72,Strength,43.574894,44.45155,-0.8766556
rsfMRI,73,Strength,43.946213,43.98222,-0.036006927
rsfMRI,74,Strength,41.172485,42.292915,-1.12043
rsfMRI,75,Strength,43.75669,43.225395,0.5312958
rsfMRI,0,Betweenness,0.0050250255,0.013268717,-0.008243691
rsfMRI,1,Betweenness,0.017337337,0.0153265,0.0020108372
rsfMRI,2,Betweenness,0.013633634,0.016027337,-0.002393703
rsfMRI,3,Betweenness,0.016656658,0.03274557,-0.016088912
rsfMRI,4,Betweenness,0.0032032032,0.013972042,-0.010768839
rsfMRI,5,Betweenness,0.020380381,0.009061199,0.011319183
rsfMRI,6,Betweenness,0.005185185,0.010465361,-0.005280176
rsfMRI,7,Betweenness,0.011871872,0.013323392,-0.0014515202
rsfMRI,8,Betweenness,0.0104704695,0.012403852,-0.0019333828
rsfMRI,9,Betweenness,0.013333334,0.010455422,0.0028779116
rsfMRI,10,Betweenness,0.02868869,0.021845292,0.0068433974
rsfMRI,11,Betweenness,0.022342343,0.01355949,0.008782852
rsfMRI,12,Betweenness,0.014934934,0.010860515,0.004074419
rsfMRI,13,Betweenness,0.015875876,0.033282384,-0.017406508
rsfMRI,14,Betweenness,0.00984985,0.008042248,0.0018076021
rsfMRI,15,Betweenness,0.0030430432,0.012823858,-0.009780815
rsfMRI,16,Betweenness,0.02056056,0.008797764,0.011762797
rsfMRI,17,Betweenness,0.013793793,0.014700217,-0.0009064246
rsfMRI,18,Betweenness,0.0045645647,0.013619135,-0.00905457
rsfMRI,19,Betweenness,0.008308309,0.008984156,-0.0006758468
rsfMRI,20,Betweenness,0.013733734,0.0150506385,-0.0013169041
rsfMRI,21,Betweenness,0.0065265265,0.008949364,-0.002422837
rsfMRI,22,Betweenness,0.0050050044,0.011675675,-0.006670671
rsfMRI,23,Betweenness,0.011651652,0.013788133,-0.002136481
rsfMRI,24,Betweenness,0.0052252254,0.009893755,-0.00466853
rsfMRI,25,Betweenness,0.025085086,0.009488662,0.015596424
rsfMRI,26,Betweenness,0.012852852,0.012987885,-0.00013503246
rsfMRI,27,Betweenness,0.008488488,0.008914568,-0.00042608008
rsfMRI,28,Betweenness,0.010590591,0.0142205665,-0.003629976
rsfMRI,29,Betweenness,0.00936937,0.015217148,-0.005847778
rsfMRI,30,Betweenness,0.012932933,0.015845913,-0.0029129805
rsfMRI,31,Betweenness,0.012532532,0.019611059,-0.0070785265
rsfMRI,32,Betweenness,0.02880881,0.020279592,0.008529218
rsfMRI,33,Betweenness,0.012312314,0.025215283,-0.0129029695
rsfMRI,34,Betweenness,0.015995996,0.044418763,-0.028422767
