Cohort,Layer,Metric,Node,Control,EM,Delta,Interpretation
HCB,FA,Betweenness_mean,56,0.058478478478478486,0.03482323703013358,0.023655241448344903,↑ in controls
HCB,FA,Betweenness_mean,10,0.005385385385385385,0.01687977632805219,-0.011494390942666802,↓ in MS
HCB,FA,Betweenness_mean,43,0.033393393393393395,0.02198695246971109,0.011406440923682305,↑ in controls
HCB,FA,Betweenness_mean,40,0.03491491491491491,0.024805219012115565,0.010109695902799348,↑ in controls
HCB,FA,Betweenness_mean,50,0.0036236236236236235,0.013512270891581236,-0.009888647267957611,↓ in MS
HCB,FA,Betweenness_mean,72,0.006026026026026026,0.014648027337682511,-0.008622001311656486,↓ in MS
HCB,FA,Betweenness_mean,3,0.036996996996996996,0.028903386144765453,0.008093610852231543,↑ in controls
HCB,FA,Betweenness_mean,67,0.001001001001001001,0.008807704255980119,-0.007806703254979118,↓ in MS
HCB,FA,Betweenness_mean,54,0.020140140140140136,0.012378999689344515,0.007761140450795621,↑ in controls
HCB,FA,Betweenness_mean,65,0.0017017017017017016,0.009026405716060889,-0.007324704014359187,↓ in MS
HCB,FA,Closeness_mean,71,0.986842105263158,0.9808125556031624,0.006029549659995581,↑ in controls
HCB,FA,Closeness_mean,73,0.986842105263158,0.9808521886731326,0.005989916590025346,↑ in controls
HCB,FA,Closeness_mean,5,0.986842105263158,0.9810102304250156,0.0058318748381424035,↑ in controls
HCB,FA,Closeness_mean,67,0.986842105263158,0.9810486291023306,0.005793476160827371,↑ in controls
HCB,FA,Closeness_mean,26,0.974025974025974,0.9685319474459281,0.005494026580045941,↑ in controls
HCB,FA,Closeness_mean,27,0.9861300979722033,0.9807164105433084,0.00541368742889492,↑ in controls
HCB,FA,Closeness_mean,70,0.9615384615384615,0.9561845999690765,0.005353861569384999,↑ in controls
HCB,FA,Closeness_mean,25,0.9493670886075949,0.9440680484174414,0.005299040190153481,↑ in controls
HCB,FA,Closeness_mean,75,0.9733322233322235,0.968209939831641,0.005122283500582414,↑ in controls
HCB,FA,Closeness_mean,2,0.925925925925926,0.9208569800325538,0.005068945893372256,↑ in controls
HCB,FA,Degree_mean,5,74.0,73.48965517241379,0.5103448275862092,↑ in controls
HCB,FA,Degree_mean,67,74.0,73.48965517241379,0.5103448275862092,↑ in controls
HCB,FA,Degree_mean,71,74.0,73.48965517241379,0.5103448275862092,↑ in controls
HCB,FA,Degree_mean,73,74.0,73.48965517241379,0.5103448275862092,↑ in controls
HCB,FA,Degree_mean,26,73.0,72.49655172413793,0.5034482758620697,↑ in controls
HCB,FA,Degree_mean,70,72.0,71.50344827586207,0.49655172413793025,↑ in controls
HCB,FA,Degree_mean,25,71.0,70.51034482758621,0.48965517241379075,↑ in controls
HCB,FA,Degree_mean,2,69.0,68.52413793103449,0.47586206896551175,↑ in controls
HCB,FA,Degree_mean,69,69.0,68.52413793103449,0.47586206896551175,↑ in controls
HCB,FA,Degree_mean,65,68.0,67.53103448275863,0.46896551724137225,↑ in controls
HCB,FA,Eigenvector_mean,36,0.09454660641583926,0.09830700626644208,-0.003760399850602822,↓ in MS
HCB,FA,Eigenvector_mean,34,0.11119119908355568,0.11463490546925813,-0.003443706385702447,↓ in MS
HCB,FA,Eigenvector_mean,43,0.09656370106434668,0.09972722365674203,-0.003163522592395343,↓ in MS
HCB,FA,Eigenvector_mean,22,0.1350415683224223,0.13203220865539142,0.003009359667030892,↑ in controls
HCB,FA,Eigenvector_mean,26,0.12867971831346367,0.12569210943083536,0.0029876088826283065,↑ in controls
HCB,FA,Eigenvector_mean,37,0.10065944650303087,0.1036054571582649,-0.0029460106552340326,↓ in MS
HCB,FA,Eigenvector_mean,67,0.1335743970329845,0.1306612936066584,0.0029131034263260858,↑ in controls
HCB,FA,Eigenvector_mean,44,0.09812850064933906,0.10103267640960625,-0.0029041757602671914,↓ in MS
HCB,FA,Eigenvector_mean,71,0.13083424171659377,0.12803569834054782,0.002798543376045959,↑ in controls
HCB,FA,Eigenvector_mean,23,0.10622990353657852,0.10888192726211976,-0.0026520237255412416,↓ in MS
HCB,FA,Strength_mean,26,42.559967831439785,41.410346830372255,1.1496210010675298,↑ in controls
HCB,FA,Strength_mean,22,44.80634312503288,43.6800441737161,1.1262989513167838,↑ in controls
HCB,FA,Strength_mean,71,43.44774006269926,42.33428369144057,1.1134563712586925,↑ in controls
HCB,FA,Strength_mean,67,44.173101680375744,43.15538459485191,1.0177170855238344,↑ in controls
HCB,FA,Strength_mean,34,36.243138305491634,37.25320866286032,-1.010070357368683,↓ in MS
HCB,FA,Strength_mean,36,30.483446050761554,31.4117865486203,-0.9283404978587448,↓ in MS
HCB,FA,Strength_mean,47,36.74279273915319,35.880724666916024,0.8620680722371645,↑ in controls
HCB,FA,Strength_mean,43,31.323050575023476,32.111570911279,-0.7885203362555266,↓ in MS
HCB,FA,Strength_mean,53,36.934033293758716,36.163288525570024,0.7707447681886919,↑ in controls
HCB,FA,Strength_mean,8,39.929867618698985,39.178628985054566,0.7512386336444195,↑ in controls
HCB,GM,Betweenness_mean,0,0.041909909909909907,0.09612177694936316,-0.05421186703945326,↓ in MS
HCB,GM,Betweenness_mean,7,0.07610810810810811,0.04010189499844672,0.03600621310966139,↑ in controls
HCB,GM,Betweenness_mean,63,0.06205405405405405,0.02845852749301025,0.033595526561043795,↑ in controls
HCB,GM,Betweenness_mean,45,0.03257657657657658,0.0652053432743088,-0.032628766697732216,↓ in MS
HCB,GM,Betweenness_mean,2,0.06472072072072071,0.036309412861137,0.028411307859583713,↑ in controls
HCB,GM,Betweenness_mean,17,0.05765765765765766,0.030001863932898415,0.027655793724759244,↑ in controls
HCB,GM,Betweenness_mean,14,0.031171171171171175,0.05636781609195403,-0.025196644920782853,↓ in MS
HCB,GM,Betweenness_mean,69,0.045585585585585585,0.021392979186082635,0.02419260639950295,↑ in controls
HCB,GM,Betweenness_mean,24,0.03985585585585586,0.016044734389561978,0.023811121466293883,↑ in controls
HCB,GM,Betweenness_mean,41,0.04572972972972973,0.022088847468157813,0.02364088226157192,↑ in controls
HCB,GM,Closeness_mean,30,0.983292036910458,0.9944426481631563,-0.01115061125269834,↓ in MS
HCB,GM,Closeness_mean,57,0.9843221020465602,0.9944864911398924,-0.010164389093332171,↓ in MS
HCB,GM,Closeness_mean,68,0.9844787457712174,0.9943665500228366,-0.00988780425161917,↓ in MS
HCB,GM,Closeness_mean,21,0.9856617067143383,0.9942690794927236,-0.008607372778385303,↓ in MS
HCB,GM,Closeness_mean,46,0.9857300594142699,0.9942703205482042,-0.008540261133934246,↓ in MS
HCB,GM,Closeness_mean,71,0.9857970976392029,0.9942576525682041,-0.008460554929001218,↓ in MS
HCB,GM,Closeness_mean,18,0.9869104579630894,0.9941690887393752,-0.007258630776285746,↓ in MS
HCB,GM,Closeness_mean,15,0.9870116725379884,0.9941993669910691,-0.007187694453080762,↓ in MS
HCB,GM,Closeness_mean,29,0.9871773629435188,0.9941785121079384,-0.007001149164419629,↓ in MS
HCB,GM,Closeness_mean,12,1.0,0.9933268447862167,0.0066731552137833106,↑ in controls
HCB,GM,Degree_mean,30,73.7,74.57241379310345,-0.8724137931034477,↓ in MS
HCB,GM,Degree_mean,57,73.7,74.57241379310345,-0.8724137931034477,↓ in MS
HCB,GM,Degree_mean,68,73.8,74.56551724137931,-0.7655172413793139,↓ in MS
HCB,GM,Degree_mean,21,73.9,74.55862068965517,-0.6586206896551658,↓ in MS
HCB,GM,Degree_mean,46,73.9,74.55862068965517,-0.6586206896551658,↓ in MS
HCB,GM,Degree_mean,71,73.9,74.55862068965517,-0.6586206896551658,↓ in MS
HCB,GM,Degree_mean,15,74.0,74.55172413793103,-0.551724137931032,↓ in MS
HCB,GM,Degree_mean,18,74.0,74.55172413793103,-0.551724137931032,↓ in MS
HCB,GM,Degree_mean,29,74.0,74.55172413793103,-0.551724137931032,↓ in MS
HCB,GM,Degree_mean,12,75.0,74.48275862068965,0.5172413793103487,↑ in controls
HCB,GM,Eigenvector_mean,60,0.1241098476108363,0.10807192338729558,0.01603792422354071,↑ in controls
HCB,GM,Eigenvector_mean,31,0.10026156471676242,0.11384099437815472,-0.013579429661392292,↓ in MS
HCB,GM,Eigenvector_mean,14,0.09556744133122046,0.08397267873116963,0.011594762600050823,↑ in controls
HCB,GM,Eigenvector_mean,38,0.1124461412905245,0.12344318194403206,-0.010997040653507553,↓ in MS
HCB,GM,Eigenvector_mean,30,0.09866044469729587,0.10953150834095775,-0.010871063643661874,↓ in MS
HCB,GM,Eigenvector_mean,56,0.0954584763544237,0.1061419763960069,-0.010683500041583208,↓ in MS
HCB,GM,Eigenvector_mean,23,0.11664620370664494,0.10617235337871703,0.010473850327927914,↑ in controls
HCB,GM,Eigenvector_mean,50,0.12668900155149004,0.11710695401473678,0.009582047536753263,↑ in controls
HCB,GM,Eigenvector_mean,51,0.11973791770987838,0.12911948949848376,-0.00938157178860538,↓ in MS
HCB,GM,Eigenvector_mean,0,0.09368899759753022,0.0847690298576834,0.00891996773984681,↑ in controls
HCB,GM,Strength_mean,60,30.5566743831291,27.535020354753296,3.021654028375803,↑ in controls
HCB,GM,Strength_mean,56,24.462726985436586,27.453647284271216,-2.990920298834631,↓ in MS
HCB,GM,Strength_mean,51,29.703080988076756,32.46855326141066,-2.7654722733339057,↓ in MS
HCB,GM,Strength_mean,31,25.771172203080916,28.446853739971793,-2.6756815368908775,↓ in MS
HCB,GM,Strength_mean,38,28.279727689860863,30.747481964782786,-2.467754274921923,↓ in MS
HCB,GM,Strength_mean,14,24.383103786538793,22.04423733413306,2.338866452405732,↑ in controls
HCB,GM,Strength_mean,30,25.378549437937842,27.63512792236778,-2.2565784844299372,↓ in MS
HCB,GM,Strength_mean,50,31.660499938570887,29.560308904806334,2.1001910337645526,↑ in controls
HCB,GM,Strength_mean,53,26.592447569132595,28.61031119619946,-2.017863627066866,↓ in MS
HCB,GM,Strength_mean,0,23.921583694441903,21.948906136750757,1.9726775576911457,↑ in controls
HCB,rsfMRI,Betweenness_mean,37,0.0032632632632632625,0.03577508543025785,-0.03251182216699459,↓ in MS
HCB,rsfMRI,Betweenness_mean,40,0.007867867867867868,0.03982851817334576,-0.03196065030547789,↓ in MS
HCB,rsfMRI,Betweenness_mean,34,0.015995995995995996,0.04441876359117738,-0.02842276759518138,↓ in MS
HCB,rsfMRI,Betweenness_mean,58,0.011051051051051052,0.034510096303199754,-0.023459045252148703,↓ in MS
HCB,rsfMRI,Betweenness_mean,43,0.005905905905905905,0.027444547996272134,-0.02153864209036623,↓ in MS
HCB,rsfMRI,Betweenness_mean,13,0.015875875875875873,0.033282385834109966,-0.017406509958234093,↓ in MS
HCB,rsfMRI,Betweenness_mean,3,0.01665665665665666,0.03274557315936626,-0.016088916502709605,↓ in MS
HCB,rsfMRI,Betweenness_mean,25,0.025085085085085085,0.009488661074867972,0.015596424010217113,↑ in controls
HCB,rsfMRI,Betweenness_mean,35,0.04148148148148148,0.02738241689965828,0.014099064581823199,↑ in controls
HCB,rsfMRI,Betweenness_mean,36,0.007407407407407408,0.021176762969866418,-0.01376935556245901,↓ in MS
HCB,rsfMRI,Closeness_mean,41,1.0,0.9934414541287783,0.006558545871221733,↑ in controls
HCB,rsfMRI,Closeness_mean,37,1.0,0.9935128210558622,0.00648717894413775,↑ in controls
HCB,rsfMRI,Closeness_mean,45,1.0,0.9935142236760355,0.0064857763239645205,↑ in controls
HCB,rsfMRI,Closeness_mean,43,1.0,0.9935270267993854,0.0064729732006145735,↑ in controls
HCB,rsfMRI,Closeness_mean,73,1.0,0.9938424392383272,0.006157560761672842,↑ in controls
HCB,rsfMRI,Closeness_mean,29,1.0,0.9938662788059376,0.006133721194062414,↑ in controls
HCB,rsfMRI,Closeness_mean,70,0.9992690058479532,0.9935925378994966,0.005676467948456554,↑ in controls
HCB,rsfMRI,Closeness_mean,61,0.9992690058479532,0.9936502432450744,0.005618762602878746,↑ in controls
