Node,Layer,Metric,Control,EM,Delta,Abs_Delta,Cohort
13,FA,Betweenness_mean,0.11813813813813814,0.051954022988505745,0.0661841151496324,0.0661841151496324,HCB
72,FA,Betweenness_mean,0.08028028028028028,0.03046908977943461,0.049811190500845676,0.049811190500845676,HCB
52,FA,Betweenness_mean,0.0942942942942943,0.04787573780677229,0.04641855648752201,0.04641855648752201,HCB
12,FA,Betweenness_mean,0.07721721721721722,0.032969245107176144,0.04424797211004108,0.04424797211004108,HCB
42,FA,Betweenness_mean,0.0871071071071071,0.04488101894998447,0.042226088157122636,0.042226088157122636,HCB
36,FA,Betweenness_mean,0.07731731731731732,0.04009443926685306,0.03722287805046426,0.03722287805046426,HCB
3,FA,Betweenness_mean,0.050350350350350355,0.016039763901832867,0.03431058644851749,0.03431058644851749,HCB
49,FA,Betweenness_mean,0.07183183183183184,0.03872755514134824,0.033104276690483596,0.033104276690483596,HCB
44,FA,Betweenness_mean,0.05997997997997998,0.027760173967070517,0.03221980601290947,0.03221980601290947,HCB
21,FA,Betweenness_mean,0.054034034034034034,0.021890027958993478,0.03214400607504056,0.03214400607504056,HCB
42,FA,Closeness_mean,0.7667002446089338,0.7711917194244146,-0.004491474815480734,0.004491474815480734,HCB
38,FA,Closeness_mean,0.9719447219447219,0.9684643604124382,0.0034803615322837045,0.0034803615322837045,HCB
30,FA,Closeness_mean,0.881782945736434,0.8784232447776018,0.0033597009588322013,0.0033597009588322013,HCB
67,FA,Closeness_mean,0.9024192006119718,0.8991783708072701,0.0032408298047016393,0.0032408298047016393,HCB
26,FA,Closeness_mean,0.8812260536398466,0.8782097092915554,0.0030163443482912333,0.0030163443482912333,HCB
25,FA,Closeness_mean,0.8236781334607421,0.8208314489348608,0.0028466845258813267,0.0028466845258813267,HCB
37,FA,Closeness_mean,0.6657660531274274,0.6685852379552455,-0.0028191848278180665,0.0028191848278180665,HCB
35,FA,Closeness_mean,0.7530039768682751,0.7555328668374982,-0.0025288899692230693,0.0025288899692230693,HCB
58,FA,Closeness_mean,0.6218668409587497,0.6243312596913082,-0.0024644187325585376,0.0024644187325585376,HCB
