Node,Group,Layer,Metric,Value
0,Control,FA,Degree_mean,63.0
0,Control,GM,Degree_mean,74.3
0,Control,rsfMRI,Degree_mean,74.61111111111111
0,EM,FA,Degree_mean,62.56551724137931
0,EM,GM,Degree_mean,74.53103448275863
0,EM,rsfMRI,Degree_mean,74.53103448275863
1,Control,FA,Degree_mean,65.94444444444444
1,Control,GM,Degree_mean,74.7
1,Control,rsfMRI,Degree_mean,74.66666666666667
1,EM,FA,Degree_mean,65.55172413793103
1,EM,GM,Degree_mean,74.50344827586207
1,EM,rsfMRI,Degree_mean,74.52413793103449
2,Control,FA,Degree_mean,69.0
2,Control,GM,Degree_mean,74.1
2,Control,rsfMRI,Degree_mean,74.66666666666667
2,EM,FA,Degree_mean,68.52413793103449
2,EM,GM,Degree_mean,74.54482758620689
2,EM,rsfMRI,Degree_mean,74.52413793103449
3,Control,FA,Degree_mean,53.77777777777778
3,Control,GM,Degree_mean,74.9
3,Control,rsfMRI,Degree_mean,74.94444444444444
3,EM,FA,Degree_mean,53.6551724137931
3,EM,GM,Degree_mean,74.48965517241379
3,EM,rsfMRI,Degree_mean,74.48965517241379
4,Control,FA,Degree_mean,67.94444444444444
4,Control,GM,Degree_mean,74.2
4,Control,rsfMRI,Degree_mean,74.88888888888889
4,EM,FA,Degree_mean,67.53793103448275
4,EM,GM,Degree_mean,74.53793103448275
4,EM,rsfMRI,Degree_mean,74.49655172413793
5,Control,FA,Degree_mean,74.0
5,Control,GM,Degree_mean,74.8
5,Control,rsfMRI,Degree_mean,74.38888888888889
5,EM,FA,Degree_mean,73.48965517241379
5,EM,GM,Degree_mean,74.49655172413793
5,EM,rsfMRI,Degree_mean,74.55862068965517
6,Control,FA,Degree_mean,71.94444444444444
6,Control,GM,Degree_mean,74.6
6,Control,rsfMRI,Degree_mean,74.88888888888889
6,EM,FA,Degree_mean,71.51034482758621
6,EM,GM,Degree_mean,74.51034482758621
6,EM,rsfMRI,Degree_mean,74.49655172413793
7,Control,FA,Degree_mean,70.88888888888889
7,Control,GM,Degree_mean,74.3
7,Control,rsfMRI,Degree_mean,74.72222222222223
7,EM,FA,Degree_mean,70.52413793103449
7,EM,GM,Degree_mean,74.53103448275863
7,EM,rsfMRI,Degree_mean,74.51724137931035
8,Control,FA,Degree_mean,71.88888888888889
8,Control,GM,Degree_mean,74.7
8,Control,rsfMRI,Degree_mean,74.77777777777777
8,EM,FA,Degree_mean,71.51724137931035
8,EM,GM,Degree_mean,74.50344827586207
8,EM,rsfMRI,Degree_mean,74.51034482758621
9,Control,FA,Degree_mean,72.88888888888889
9,Control,GM,Degree_mean,74.8
9,Control,rsfMRI,Degree_mean,74.55555555555556
9,EM,FA,Degree_mean,72.51034482758621
9,EM,GM,Degree_mean,74.49655172413793
9,EM,rsfMRI,Degree_mean,74.53793103448275
10,Control,FA,Degree_mean,63.94444444444444
10,Control,GM,Degree_mean,74.4
10,Control,rsfMRI,Degree_mean,74.72222222222223
10,EM,FA,Degree_mean,63.56551724137931
10,EM,GM,Degree_mean,74.52413793103449
10,EM,rsfMRI,Degree_mean,74.51724137931035
11,Control,FA,Degree_mean,73.83333333333333
11,Control,GM,Degree_mean,74.6
11,Control,rsfMRI,Degree_mean,74.94444444444444
11,EM,FA,Degree_mean,73.51034482758621
11,EM,GM,Degree_mean,74.51034482758621
11,EM,rsfMRI,Degree_mean,74.48965517241379
12,Control,FA,Degree_mean,73.88888888888889
12,Control,GM,Degree_mean,75.0
12,Control,rsfMRI,Degree_mean,74.72222222222223
12,EM,FA,Degree_mean,73.50344827586207
12,EM,GM,Degree_mean,74.48275862068965
12,EM,rsfMRI,Degree_mean,74.51724137931035
13,Control,FA,Degree_mean,55.888888888888886
13,Control,GM,Degree_mean,74.4
13,Control,rsfMRI,Degree_mean,74.77777777777777
13,EM,FA,Degree_mean,55.62758620689655
13,EM,GM,Degree_mean,74.52413793103449
13,EM,rsfMRI,Degree_mean,74.51034482758621
14,Control,FA,Degree_mean,66.88888888888889
14,Control,GM,Degree_mean,74.2
14,Control,rsfMRI,Degree_mean,74.94444444444444
14,EM,FA,Degree_mean,66.55172413793103
14,EM,GM,Degree_mean,74.53793103448275
14,EM,rsfMRI,Degree_mean,74.48965517241379
15,Control,FA,Degree_mean,64.77777777777777
15,Control,GM,Degree_mean,74.0
15,Control,rsfMRI,Degree_mean,74.77777777777777
15,EM,FA,Degree_mean,64.57931034482759
15,EM,GM,Degree_mean,74.55172413793103
15,EM,rsfMRI,Degree_mean,74.51034482758621
16,Control,FA,Degree_mean,57.94444444444444
16,Control,GM,Degree_mean,74.5
16,Control,rsfMRI,Degree_mean,74.61111111111111
16,EM,FA,Degree_mean,57.60689655172414
16,EM,GM,Degree_mean,74.51724137931035
16,EM,rsfMRI,Degree_mean,74.53103448275863
17,Control,FA,Degree_mean,65.0
17,Control,GM,Degree_mean,74.4
17,Control,rsfMRI,Degree_mean,74.5
17,EM,FA,Degree_mean,64.55172413793103
17,EM,GM,Degree_mean,74.52413793103449
17,EM,rsfMRI,Degree_mean,74.54482758620689
18,Control,FA,Degree_mean,61.72222222222222
18,Control,GM,Degree_mean,74.0
18,Control,rsfMRI,Degree_mean,74.66666666666667
18,EM,FA,Degree_mean,61.60689655172414
18,EM,GM,Degree_mean,74.55172413793103
18,EM,rsfMRI,Degree_mean,74.52413793103449
19,Control,FA,Degree_mean,68.94444444444444
19,Control,GM,Degree_mean,74.7
19,Control,rsfMRI,Degree_mean,74.83333333333333
19,EM,FA,Degree_mean,68.53103448275863
19,EM,GM,Degree_mean,74.50344827586207
19,EM,rsfMRI,Degree_mean,74.50344827586207
20,Control,FA,Degree_mean,67.0
20,Control,GM,Degree_mean,74.4
20,Control,rsfMRI,Degree_mean,74.5
20,EM,FA,Degree_mean,66.53793103448275
20,EM,GM,Degree_mean,74.52413793103449
20,EM,rsfMRI,Degree_mean,74.54482758620689
21,Control,FA,Degree_mean,71.94444444444444
21,Control,GM,Degree_mean,73.9
21,Control,rsfMRI,Degree_mean,74.77777777777777
21,EM,FA,Degree_mean,71.51034482758621
21,EM,GM,Degree_mean,74.55862068965517
21,EM,rsfMRI,Degree_mean,74.51034482758621
22,Control,FA,Degree_mean,74.88888888888889
22,Control,GM,Degree_mean,74.5
22,Control,rsfMRI,Degree_mean,74.66666666666667
22,EM,FA,Degree_mean,74.49655172413793
22,EM,GM,Degree_mean,74.51724137931035
22,EM,rsfMRI,Degree_mean,74.52413793103449
23,Control,FA,Degree_mean,69.83333333333333
23,Control,GM,Degree_mean,74.4
