Cohort,Layer,Metric,Node,Control,EM,Delta,Interpretation
HCB,MULTILAYER,Betweenness_mean,56,0.089280353200883,0.04293917941691406,0.04634117378396894,↑ in controls
HCB,MULTILAYER,Betweenness_mean,0,0.033077262693156737,0.06531415087158407,-0.032236888178427334,↓ in MS
HCB,MULTILAYER,Betweenness_mean,63,0.06578366445916115,0.033564436324883914,0.03221922813427723,↑ in controls
HCB,MULTILAYER,Betweenness_mean,7,0.057280353200883,0.028160310573190225,0.02912004262769277,↑ in controls
HCB,MULTILAYER,Betweenness_mean,45,0.013501103752759383,0.040673060820583085,-0.0271719570678237,↓ in MS
HCB,MULTILAYER,Betweenness_mean,21,0.045050772626931565,0.018280886047042706,0.02676988657988886,↑ in controls
HCB,MULTILAYER,Betweenness_mean,132,0.03583222958057395,0.011775900129405497,0.02405632945116845,↑ in controls
HCB,MULTILAYER,Betweenness_mean,38,0.05593818984547462,0.03307726269315673,0.02286092715231789,↑ in controls
HCB,MULTILAYER,Betweenness_mean,114,0.03890507726269316,0.017581487401994368,0.021323589860698794,↑ in controls
HCB,MULTILAYER,Betweenness_mean,69,0.037801324503311265,0.016783131613001448,0.021018192890309817,↑ in controls
HCB,MULTILAYER,Closeness_mean,108,0.9618979554928859,0.9690448744047787,-0.007146918911892786,↓ in MS
HCB,MULTILAYER,Closeness_mean,147,0.9869281045751634,0.9806878044999486,0.006240300075214811,↑ in controls
HCB,MULTILAYER,Closeness_mean,149,0.9869281045751634,0.9807257395380271,0.006202365037136337,↑ in controls
HCB,MULTILAYER,Closeness_mean,102,0.9805194805194806,0.9746674477121905,0.005852032807290075,↑ in controls
HCB,MULTILAYER,Closeness_mean,81,0.9869281045751634,0.9811107193815282,0.005817385193635283,↑ in controls
HCB,MULTILAYER,Closeness_mean,73,0.9862872421695952,0.9805705833522422,0.005716658817352949,↑ in controls
HCB,MULTILAYER,Closeness_mean,12,0.9862872421695952,0.9806060922264241,0.005681149943171038,↑ in controls
HCB,MULTILAYER,Closeness_mean,145,0.9556962025316456,0.9500697621791142,0.005626440352531348,↑ in controls
HCB,MULTILAYER,Closeness_mean,78,0.9556962025316456,0.9501653898486068,0.005530812683038788,↑ in controls
HCB,MULTILAYER,Closeness_mean,100,0.949685534591195,0.944244928440516,0.005440606150678984,↑ in controls
HCB,MULTILAYER,Degree_mean,108,144.9,146.15172413793104,-1.2517241379310349,↓ in MS
HCB,MULTILAYER,Degree_mean,149,149.0,147.97241379310344,1.027586206896558,↑ in controls
HCB,MULTILAYER,Degree_mean,147,149.0,147.98620689655172,1.013793103448279,↑ in controls
HCB,MULTILAYER,Degree_mean,102,148.0,147.02758620689656,0.972413793103442,↑ in controls
HCB,MULTILAYER,Degree_mean,145,144.0,143.02758620689656,0.972413793103442,↑ in controls
HCB,MULTILAYER,Degree_mean,100,143.0,142.04137931034484,0.958620689655163,↑ in controls
HCB,MULTILAYER,Degree_mean,105,140.0,139.04137931034484,0.958620689655163,↑ in controls
HCB,MULTILAYER,Degree_mean,78,144.0,143.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTILAYER,Degree_mean,81,149.0,148.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTILAYER,Degree_mean,138,142.0,141.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTILAYER,Eigenvector_mean,92,0.09196889585866244,0.0830558050534425,0.008913090805219945,↑ in controls
HCB,MULTILAYER,Eigenvector_mean,38,0.07029745700756418,0.07800407497427117,-0.007706617966706991,↓ in MS
HCB,MULTILAYER,Eigenvector_mean,93,0.09674444085348695,0.08928881711214426,0.00745562374134269,↑ in controls
HCB,MULTILAYER,Eigenvector_mean,100,0.09803361076743695,0.09100745432850292,0.007026156438934034,↑ in controls
HCB,MULTILAYER,Eigenvector_mean,113,0.08627381666784614,0.07927895229682821,0.006994864371017928,↑ in controls
HCB,MULTILAYER,Eigenvector_mean,91,0.0964833076467364,0.0895229092611986,0.006960398385537803,↑ in controls
HCB,MULTILAYER,Eigenvector_mean,51,0.07270171136650869,0.07955758876273025,-0.006855877396221566,↓ in MS
HCB,MULTILAYER,Eigenvector_mean,134,0.08158597248676644,0.07478034263978306,0.00680562984698338,↑ in controls
HCB,MULTILAYER,Eigenvector_mean,31,0.06777886646406141,0.07429547689808728,-0.006516610434025877,↓ in MS
HCB,MULTILAYER,Eigenvector_mean,30,0.07016395724293825,0.07660423714902481,-0.00644027990608656,↓ in MS
HCB,MULTILAYER,Strength_mean,92,81.36485617386502,74.593342361341,6.77151381252402,↑ in controls
HCB,MULTILAYER,Strength_mean,38,63.19653186408713,69.79178135062836,-6.595249486541228,↓ in MS
HCB,MULTILAYER,Strength_mean,93,86.91891667861539,80.97933364471842,5.939583033896966,↑ in controls
HCB,MULTILAYER,Strength_mean,51,65.58177564443672,71.3712446586177,-5.78946901418098,↓ in MS
HCB,MULTILAYER,Strength_mean,31,60.72342897443868,66.30144846583806,-5.578019491399381,↓ in MS
HCB,MULTILAYER,Strength_mean,30,62.9517374608292,68.29469443587146,-5.342956975042263,↓ in MS
HCB,MULTILAYER,Strength_mean,100,87.93723541043059,82.6178989277466,5.319336482683994,↑ in controls
HCB,MULTILAYER,Strength_mean,113,77.29068568283772,71.98848155141269,5.302204131425029,↑ in controls
HCB,MULTILAYER,Strength_mean,91,86.24726897146638,81.13430295201755,5.112966019448834,↑ in controls
HCB,MULTILAYER,Strength_mean,26,60.83768272392932,65.81697769228381,-4.979294968354495,↓ in MS
HCB,MULTINEXT,Betweenness_mean,108,0.00034015950192402565,0.0003694507259560612,-2.9291224032035573e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,38,0.0003964613624357547,0.0004225630467078424,-2.6101684272087668e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,30,0.00035594393689870044,0.00038168741667194566,-2.574347977324522e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,115,0.00038039999420627104,0.00040609826870748115,-2.5698274501210116e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,40,0.0003960619807072157,0.00042174148302194183,-2.5679502314726133e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,56,0.0003988872954586519,0.00042451021332482277,-2.5622917866170865e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,32,0.0003433868840842306,0.0003690070009544413,-2.5620116870210682e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,23,0.0003366487899302775,0.00036134307581406653,-2.4694285883789045e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,34,0.00039783811872780365,0.0004225209915214232,-2.468287279361954e-05,↓ in MS
HCB,MULTINEXT,Betweenness_mean,21,0.00035968785187544185,0.0003839217358505228,-2.423388397508093e-05,↓ in MS
HCB,MULTINEXT,Closeness_mean,108,0.9618979554928859,0.9690448744047787,-0.007146918911892786,↓ in MS
HCB,MULTINEXT,Closeness_mean,147,0.9869281045751634,0.9806878044999486,0.006240300075214811,↑ in controls
HCB,MULTINEXT,Closeness_mean,149,0.9869281045751634,0.9807257395380271,0.006202365037136337,↑ in controls
HCB,MULTINEXT,Closeness_mean,102,0.9805194805194806,0.9746674477121905,0.005852032807290075,↑ in controls
HCB,MULTINEXT,Closeness_mean,81,0.9869281045751634,0.9811107193815282,0.005817385193635283,↑ in controls
HCB,MULTINEXT,Closeness_mean,73,0.9862872421695952,0.9805705833522422,0.005716658817352949,↑ in controls
HCB,MULTINEXT,Closeness_mean,12,0.9862872421695952,0.9806060922264241,0.005681149943171038,↑ in controls
HCB,MULTINEXT,Closeness_mean,145,0.9556962025316456,0.9500697621791142,0.005626440352531348,↑ in controls
HCB,MULTINEXT,Closeness_mean,78,0.9556962025316456,0.9501653898486068,0.005530812683038788,↑ in controls
HCB,MULTINEXT,Closeness_mean,100,0.949685534591195,0.944244928440516,0.005440606150678984,↑ in controls
HCB,MULTINEXT,Degree_mean,108,144.9,146.15172413793104,-1.2517241379310349,↓ in MS
HCB,MULTINEXT,Degree_mean,149,149.0,147.97241379310344,1.027586206896558,↑ in controls
HCB,MULTINEXT,Degree_mean,147,149.0,147.98620689655172,1.013793103448279,↑ in controls
HCB,MULTINEXT,Degree_mean,102,148.0,147.02758620689656,0.972413793103442,↑ in controls
HCB,MULTINEXT,Degree_mean,145,144.0,143.02758620689656,0.972413793103442,↑ in controls
HCB,MULTINEXT,Degree_mean,100,143.0,142.04137931034484,0.958620689655163,↑ in controls
HCB,MULTINEXT,Degree_mean,105,140.0,139.04137931034484,0.958620689655163,↑ in controls
HCB,MULTINEXT,Degree_mean,78,144.0,143.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTINEXT,Degree_mean,81,149.0,148.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTINEXT,Degree_mean,138,142.0,141.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTINEXT,Eigenvector_mean,108,0.081953965916701,0.08289760825766955,-0.0009436423409685535,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,18,0.07673976722204108,0.07735175643339316,-0.000611989211352082,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,57,0.08378015194860686,0.08435477906052229,-0.0005746271119154295,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,30,0.08281439715702028,0.08337769639376695,-0.0005632992367466672,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,34,0.08389846932142314,0.08436074426846132,-0.0004622749470381826,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,63,0.07631770242568083,0.07676217285882304,-0.0004444704331422189,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,68,0.07852872781948658,0.07894973906160972,-0.0004210112421231399,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,61,0.07526692194394084,0.07565668051317592,-0.0003897585692350797,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,40,0.0839665093516124,0.08435213594838965,-0.00038562659677725264,↓ in MS
HCB,MULTINEXT,Eigenvector_mean,36,0.07862135451332675,0.07900490483543242,-0.00038355032210567186,↓ in MS
HCB,MULTINEXT,Strength_mean,108,144.9,146.15172413793104,-1.2517241379310349,↓ in MS
HCB,MULTINEXT,Strength_mean,149,149.0,147.97241379310344,1.027586206896558,↑ in controls
HCB,MULTINEXT,Strength_mean,147,149.0,147.98620689655172,1.013793103448279,↑ in controls
HCB,MULTINEXT,Strength_mean,102,148.0,147.02758620689656,0.972413793103442,↑ in controls
HCB,MULTINEXT,Strength_mean,145,144.0,143.02758620689656,0.972413793103442,↑ in controls
HCB,MULTINEXT,Strength_mean,100,143.0,142.04137931034484,0.958620689655163,↑ in controls
HCB,MULTINEXT,Strength_mean,105,140.0,139.04137931034484,0.958620689655163,↑ in controls
HCB,MULTINEXT,Strength_mean,78,144.0,143.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTINEXT,Strength_mean,81,149.0,148.04827586206898,0.9517241379310235,↑ in controls
HCB,MULTINEXT,Strength_mean,138,142.0,141.04827586206898,0.9517241379310235,↑ in controls
