Node,Group,Layer,Metric,Value
0,Control,MULTILAYER,Degree_mean,137.3
0,Control,MULTINEXT,Degree_mean,137.3
0,EM,MULTILAYER,Degree_mean,137.09655172413792
0,EM,MULTINEXT,Degree_mean,137.09655172413792
1,Control,MULTILAYER,Degree_mean,140.6
1,Control,MULTINEXT,Degree_mean,140.6
1,EM,MULTILAYER,Degree_mean,140.05517241379312
1,EM,MULTINEXT,Degree_mean,140.05517241379312
2,Control,MULTILAYER,Degree_mean,143.1
2,Control,MULTINEXT,Degree_mean,143.1
2,EM,MULTILAYER,Degree_mean,143.06896551724137
2,EM,MULTINEXT,Degree_mean,143.06896551724137
3,Control,MULTILAYER,Degree_mean,128.6
3,Control,MULTINEXT,Degree_mean,128.6
3,EM,MULTILAYER,Degree_mean,128.1448275862069
3,EM,MULTINEXT,Degree_mean,128.1448275862069
4,Control,MULTILAYER,Degree_mean,142.1
4,Control,MULTINEXT,Degree_mean,142.1
4,EM,MULTILAYER,Degree_mean,142.0758620689655
4,EM,MULTINEXT,Degree_mean,142.0758620689655
5,Control,MULTILAYER,Degree_mean,148.8
5,Control,MULTINEXT,Degree_mean,148.8
5,EM,MULTILAYER,Degree_mean,147.98620689655172
5,EM,MULTINEXT,Degree_mean,147.98620689655172
6,Control,MULTILAYER,Degree_mean,146.5
6,Control,MULTINEXT,Degree_mean,146.5
6,EM,MULTILAYER,Degree_mean,146.02068965517242
6,EM,MULTINEXT,Degree_mean,146.02068965517242
7,Control,MULTILAYER,Degree_mean,145.2
7,Control,MULTINEXT,Degree_mean,145.2
7,EM,MULTILAYER,Degree_mean,145.05517241379312
7,EM,MULTINEXT,Degree_mean,145.05517241379312
8,Control,MULTILAYER,Degree_mean,146.5
8,Control,MULTINEXT,Degree_mean,146.5
8,EM,MULTILAYER,Degree_mean,146.02068965517242
8,EM,MULTINEXT,Degree_mean,146.02068965517242
9,Control,MULTILAYER,Degree_mean,147.6
9,Control,MULTINEXT,Degree_mean,147.6
9,EM,MULTILAYER,Degree_mean,147.00689655172414
9,EM,MULTINEXT,Degree_mean,147.00689655172414
10,Control,MULTILAYER,Degree_mean,138.3
10,Control,MULTINEXT,Degree_mean,138.3
10,EM,MULTILAYER,Degree_mean,138.08965517241379
10,EM,MULTINEXT,Degree_mean,138.08965517241379
11,Control,MULTILAYER,Degree_mean,148.5
11,Control,MULTINEXT,Degree_mean,148.5
11,EM,MULTILAYER,Degree_mean,148.02068965517242
11,EM,MULTINEXT,Degree_mean,148.02068965517242
12,Control,MULTILAYER,Degree_mean,148.9
12,Control,MULTINEXT,Degree_mean,148.9
12,EM,MULTILAYER,Degree_mean,147.98620689655172
12,EM,MULTINEXT,Degree_mean,147.98620689655172
13,Control,MULTILAYER,Degree_mean,130.2
13,Control,MULTINEXT,Degree_mean,130.2
13,EM,MULTILAYER,Degree_mean,130.15172413793104
