Model,Layer,Fold,Accuracy,F1,Precision,Recall,AUC
GAT,FA,1,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6909090909090909
GAT,FA,2,0.8095238095238095,0.7777777777777778,1.0,0.6363636363636364,0.9181818181818181
GAT,FA,3,0.7142857142857143,0.7,0.7,0.7,0.7181818181818181
GAT,FA,4,0.8095238095238095,0.8,0.8,0.8,0.809090909090909
GAT,FA,5,0.5238095238095238,0.16666666666666666,0.5,0.1,0.7090909090909091
GAT,FA,Average,0.7047619047619047,0.6222222222222222,0.74,0.5745454545454545,0.769090909090909
GCN,FA,1,0.6666666666666666,0.5333333333333333,1.0,0.36363636363636365,0.6818181818181818
GCN,FA,2,0.7619047619047619,0.7058823529411765,1.0,0.5454545454545454,0.9
GCN,FA,3,0.7619047619047619,0.7368421052631579,0.7777777777777778,0.7,0.7181818181818181
GCN,FA,4,0.8571428571428571,0.8571428571428571,0.8181818181818182,0.9,0.8181818181818181
GCN,FA,5,0.6666666666666666,0.6956521739130435,0.6153846153846154,0.8,0.7818181818181817
GCN,FA,Average,0.7428571428571428,0.7057705645187137,0.8422688422688424,0.6618181818181817,0.78
GraphSAGE,FA,1,0.6190476190476191,0.6,0.6666666666666666,0.5454545454545454,0.7454545454545454
GraphSAGE,FA,2,0.8571428571428571,0.8421052631578947,1.0,0.7272727272727273,0.9181818181818181
GraphSAGE,FA,3,0.8095238095238095,0.75,1.0,0.6,0.7454545454545456
GraphSAGE,FA,4,0.7619047619047619,0.7368421052631579,0.7777777777777778,0.7,0.8181818181818181
GraphSAGE,FA,5,0.7619047619047619,0.7368421052631579,0.7777777777777778,0.7,0.7909090909090909
GraphSAGE,FA,Average,0.7619047619047619,0.7331578947368421,0.8444444444444444,0.6545454545454545,0.8036363636363637
GAT,FA,1,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.6909090909090909
GAT,FA,2,0.8095238095238095,0.7777777777777778,1.0,0.6363636363636364,0.9181818181818181
GAT,FA,3,0.7142857142857143,0.7,0.7,0.7,0.7181818181818181
GAT,FA,4,0.8095238095238095,0.8,0.8,0.8,0.809090909090909
GAT,FA,5,0.5238095238095238,0.16666666666666666,0.5,0.1,0.7090909090909091
GAT,FA,Average,0.7047619047619047,0.6222222222222222,0.74,0.5745454545454545,0.769090909090909
GCN,FA,1,0.6666666666666666,0.5333333333333333,1.0,0.36363636363636365,0.6818181818181818
GCN,FA,2,0.7619047619047619,0.7058823529411765,1.0,0.5454545454545454,0.9
GCN,FA,3,0.7619047619047619,0.7368421052631579,0.7777777777777778,0.7,0.7181818181818181
GCN,FA,4,0.8571428571428571,0.8571428571428571,0.8181818181818182,0.9,0.8181818181818181
GCN,FA,5,0.6666666666666666,0.6956521739130435,0.6153846153846154,0.8,0.7818181818181817
GCN,FA,Average,0.7428571428571428,0.7057705645187137,0.8422688422688424,0.6618181818181817,0.78
GraphSAGE,FA,1,0.6190476190476191,0.6,0.6666666666666666,0.5454545454545454,0.7454545454545454
GraphSAGE,FA,2,0.8571428571428571,0.8421052631578947,1.0,0.7272727272727273,0.9181818181818181
GraphSAGE,FA,3,0.8095238095238095,0.75,1.0,0.6,0.7454545454545456
