Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
FA,0,Degree,45.83019,45.28846,0.541729
FA,1,Degree,54.867924,54.076923,0.79100037
FA,2,Degree,48.83019,48.23077,0.59941864
FA,3,Degree,18.90566,18.73077,0.17489052
FA,4,Degree,50.698112,50.326923,0.37118912
FA,5,Degree,65.77358,64.96154,0.81204224
FA,6,Degree,60.81132,60.01923,0.79209137
FA,7,Degree,60.81132,60.01923,0.79209137
FA,8,Degree,56.81132,56.096153,0.715168
FA,9,Degree,54.792454,54.153847,0.638607
FA,10,Degree,45.92453,45.192307,0.7322235
FA,11,Degree,49.83019,49.21154,0.6186485
FA,12,Degree,65.81132,64.92308,0.888237
FA,13,Degree,29.90566,29.51923,0.38643074
FA,14,Degree,50.792454,50.23077,0.56168365
FA,15,Degree,53.88679,53.076923,0.80986786
FA,16,Degree,46.83019,46.26923,0.56095886
FA,17,Degree,55.867924,55.057693,0.81023026
FA,18,Degree,44.867924,44.26923,0.59869385
FA,19,Degree,57.83019,57.057693,0.77249527
FA,20,Degree,53.792454,53.173077,0.61937714
FA,21,Degree,57.88679,57.0,0.8867912
FA,22,Degree,68.9434,67.73077,1.2126312
FA,23,Degree,48.83019,48.23077,0.59941864
FA,24,Degree,58.83019,58.03846,0.791729
FA,25,Degree,63.88679,62.884617,1.0021744
FA,26,Degree,67.90566,66.78846,1.1172028
FA,27,Degree,66.830185,65.88461,0.9455719
FA,28,Degree,60.90566,59.923077,0.9825821
FA,29,Degree,40.792454,40.423077,0.36937714
FA,30,Degree,68.86793,67.80769,1.0602341
FA,31,Degree,71.86793,70.75,1.1179276
FA,32,Degree,59.83019,59.01923,0.81095886
FA,33,Degree,71.79245,70.82692,0.9655304
FA,34,Degree,59.75472,59.096153,0.6585655
FA,35,Degree,57.71698,57.173077,0.54390335
FA,36,Degree,32.773586,32.596153,0.17743301
FA,37,Degree,40.735847,40.48077,0.25507736
FA,38,Degree,72.86793,71.73077,1.1371613
FA,39,Degree,62.88679,61.903847,0.9829445
FA,40,Degree,72.81132,71.78846,1.0228577
FA,41,Degree,64.754715,64.0,0.75471497
FA,42,Degree,59.773586,59.076923,0.6966629
FA,43,Degree,23.754717,23.788462,-0.033744812
FA,44,Degree,36.81132,36.48077,0.33055115
FA,45,Degree,43.83019,43.326923,0.5032654
FA,46,Degree,54.849056,54.096153,0.752903
FA,47,Degree,50.849056,50.173077,0.6759796
FA,48,Degree,16.90566,16.76923,0.13643074
FA,49,Degree,46.792454,46.307693,0.48476028
FA,50,Degree,66.77358,65.94231,0.83127594
FA,51,Degree,57.88679,57.0,0.8867912
FA,52,Degree,59.83019,59.01923,0.81095886
FA,53,Degree,52.81132,52.173077,0.6382446
FA,54,Degree,51.867924,51.134617,0.7333069
FA,55,Degree,43.83019,43.326923,0.5032654
FA,56,Degree,49.83019,49.21154,0.6186485
FA,57,Degree,66.84906,65.86539,0.9836731
FA,58,Degree,29.830189,29.596153,0.23403549
FA,59,Degree,49.81132,49.23077,0.58055115
FA,60,Degree,54.81132,54.134617,0.6767044
FA,61,Degree,44.867924,44.26923,0.59869385
FA,62,Degree,54.88679,54.057693,0.82909775
FA,63,Degree,45.773586,45.346153,0.427433
FA,64,Degree,55.849056,55.076923,0.7721329
FA,65,Degree,48.849056,48.21154,0.637516
FA,66,Degree,57.867924,57.01923,0.84869385
FA,67,Degree,69.90566,68.75,1.1556625
FA,68,Degree,44.849056,44.28846,0.56059647
FA,69,Degree,59.849056,59.0,0.84905624
FA,70,Degree,64.9434,63.807693,1.135704
FA,71,Degree,67.886795,66.80769,1.0791016
FA,72,Degree,67.86793,66.82692,1.041008
FA,73,Degree,61.867924,60.942307,0.9256172
FA,74,Degree,35.735847,35.576923,0.1589241
FA,75,Degree,69.79245,68.86539,0.927063
FA,0,Strength,32.393196,27.7558,4.637396
FA,1,Strength,40.57994,34.826485,5.753456
FA,2,Strength,36.636673,30.69412,5.9425526
FA,3,Strength,12.002384,11.098494,0.9038906
FA,4,Strength,38.31876,32.59917,5.719589
FA,5,Strength,49.971973,43.611477,6.3604965
FA,6,Strength,47.262688,40.3298,6.932888
FA,7,Strength,47.05545,41.400326,5.6551247
FA,8,Strength,44.12771,37.375443,6.752266
FA,9,Strength,38.113613,33.968277,4.145336
FA,10,Strength,34.508408,28.24265,6.2657585
FA,11,Strength,33.43156,30.547024,2.8845367
FA,12,Strength,52.043587,44.220905,7.8226814
FA,13,Strength,19.366457,16.800396,2.566061
FA,14,Strength,36.873383,31.782244,5.091139
FA,15,Strength,39.877777,34.14517,5.732609
FA,16,Strength,32.920902,28.584211,4.336691
FA,17,Strength,40.327244,34.14636,6.1808853
FA,18,Strength,34.35029,28.039377,6.310911
FA,19,Strength,43.22812,36.977707,6.250412
FA,20,Strength,38.745888,33.01083,5.735058
FA,21,Strength,42.62392,36.957836,5.6660843
FA,22,Strength,52.44349,42.960266,9.483223
FA,23,Strength,34.12892,31.164724,2.9641972
FA,24,Strength,43.110813,37.477757,5.6330566
FA,25,Strength,47.700573,40.797283,6.90329
FA,26,Strength,50.959778,43.43771,7.522068
FA,27,Strength,51.37134,43.432278,7.939064
FA,28,Strength,45.644547,38.637173,7.007374
FA,29,Strength,28.495554,25.361555,3.1339989
FA,30,Strength,49.535862,42.11705,7.418812
FA,31,Strength,48.59988,42.760128,5.839752
FA,32,Strength,40.11213,34.804867,5.3072624
FA,33,Strength,49.15105,42.539955,6.6110954
FA,34,Strength,40.13305,35.787853,4.345196
FA,35,Strength,39.646748,34.183678,5.46307
FA,36,Strength,19.965963,19.076084,0.8898792
FA,37,Strength,26.425041,25.213799,1.2112427
FA,38,Strength,49.790657,44.462708,5.3279495
FA,39,Strength,41.596886,35.513268,6.083618
FA,40,Strength,47.83307,42.159992,5.6730766
FA,41,Strength,41.684143,38.25197,3.4321747
FA,42,Strength,42.04549,36.87565,5.169842
FA,43,Strength,13.868343,14.514573,-0.64622974
FA,44,Strength,23.921078,22.344666,1.5764122
FA,45,Strength,31.16532,26.989323,4.175997
FA,46,Strength,39.73035,34.67905,5.0513
FA,47,Strength,37.702057,31.75586,5.9461975
FA,48,Strength,9.905705,9.158527,0.7471781
FA,49,Strength,33.51177,28.457613,5.0541553
FA,50,Strength,49.980885,44.102707,5.8781776
FA,51,Strength,43.079197,37.61021,5.4689865
FA,52,Strength,44.376984,38.569324,5.807659
FA,53,Strength,41.052208,35.28808,5.7641296
FA,54,Strength,35.29067,31.799133,3.4915352
FA,55,Strength,32.764244,27.066225,5.698019
FA,56,Strength,32.771847,30.287842,2.484005
FA,57,Strength,51.022667,44.150932,6.8717346
FA,58,Strength,20.19619,17.637508,2.5586815
FA,59,Strength,35.967392,30.770313,5.1970787
FA,60,Strength,39.41475,34.419056,4.995693
FA,61,Strength,33.337696,29.085146,4.25255
FA,62,Strength,39.22021,33.191364,6.0288467
FA,63,Strength,33.37995,27.07379,6.306162
FA,64,Strength,40.98457,34.75512,6.22945
FA,65,Strength,34.96874,31.070927,3.897812
FA,66,Strength,41.070755,35.842598,5.228157
FA,67,Strength,53.070732,44.669285,8.401447
FA,68,Strength,29.998854,27.697327,2.301527
FA,69,Strength,43.243317,37.152054,6.091263
FA,70,Strength,47.337677,40.47187,6.8658066
FA,71,Strength,50.66692,44.14148,6.52544
FA,72,Strength,49.49627,42.54512,6.951149
FA,73,Strength,45.78273,39.336758,6.4459724
FA,74,Strength,24.392933,22.763096,1.629837
