Model,Layer,Fold,Accuracy,F1,Precision,Recall,AUC
GAT,GM,1,0.8095238095238095,0.8,0.8888888888888888,0.7272727272727273,0.9
GAT,GM,2,0.6666666666666666,0.631578947368421,0.75,0.5454545454545454,0.7909090909090909
GAT,GM,3,0.5714285714285714,0.6666666666666666,0.5294117647058824,0.9,0.7818181818181819
GAT,GM,4,0.7619047619047619,0.6666666666666666,1.0,0.5,0.8636363636363636
GAT,GM,5,0.6190476190476191,0.6363636363636364,0.5833333333333334,0.7,0.7000000000000001
GAT,GM,Average,0.6857142857142857,0.6802551834130781,0.7503267973856209,0.6745454545454546,0.8072727272727273
GCN,GM,1,0.6666666666666666,0.7407407407407407,0.625,0.9090909090909091,0.8818181818181818
GCN,GM,2,0.7619047619047619,0.782608695652174,0.75,0.8181818181818182,0.7454545454545455
GCN,GM,3,0.7142857142857143,0.7272727272727273,0.6666666666666666,0.8,0.7181818181818183
GCN,GM,4,0.7142857142857143,0.7,0.7,0.7,0.8181818181818182
GCN,GM,5,0.5238095238095238,0.5454545454545454,0.5,0.6,0.6272727272727273
GCN,GM,Average,0.6761904761904762,0.6992153418240374,0.6483333333333332,0.7654545454545455,0.7581818181818183
GraphSAGE,GM,1,0.7142857142857143,0.625,1.0,0.45454545454545453,0.9454545454545453
GraphSAGE,GM,2,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.7636363636363636
GraphSAGE,GM,3,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.7,0.7454545454545455
GraphSAGE,GM,4,0.7619047619047619,0.7058823529411765,0.8571428571428571,0.6,0.8818181818181818
GraphSAGE,GM,5,0.5714285714285714,0.5263157894736842,0.5555555555555556,0.5,0.7090909090909091
GraphSAGE,GM,Average,0.6761904761904761,0.6381062951496388,0.7498124098124098,0.5781818181818181,0.8090909090909092
GAT,GM,1,0.8095238095238095,0.8,0.8888888888888888,0.7272727272727273,0.9
GAT,GM,2,0.6666666666666666,0.631578947368421,0.75,0.5454545454545454,0.7909090909090909
GAT,GM,3,0.5714285714285714,0.6666666666666666,0.5294117647058824,0.9,0.7818181818181819
GAT,GM,4,0.7619047619047619,0.6666666666666666,1.0,0.5,0.8636363636363636
GAT,GM,5,0.6190476190476191,0.6363636363636364,0.5833333333333334,0.7,0.7000000000000001
GAT,GM,Average,0.6857142857142857,0.6802551834130781,0.7503267973856209,0.6745454545454546,0.8072727272727273
GCN,GM,1,0.6666666666666666,0.7407407407407407,0.625,0.9090909090909091,0.8818181818181818
GCN,GM,2,0.7619047619047619,0.782608695652174,0.75,0.8181818181818182,0.7454545454545455
GCN,GM,3,0.7142857142857143,0.7272727272727273,0.6666666666666666,0.8,0.7181818181818183
GCN,GM,4,0.7142857142857143,0.7,0.7,0.7,0.8181818181818182
GCN,GM,5,0.5238095238095238,0.5454545454545454,0.5,0.6,0.6272727272727273
GCN,GM,Average,0.6761904761904762,0.6992153418240374,0.6483333333333332,0.7654545454545455,0.7581818181818183
GraphSAGE,GM,1,0.7142857142857143,0.625,1.0,0.45454545454545453,0.9454545454545453
GraphSAGE,GM,2,0.6666666666666666,0.6666666666666666,0.7,0.6363636363636364,0.7636363636363636
GraphSAGE,GM,3,0.6666666666666666,0.6666666666666666,0.6363636363636364,0.7,0.7454545454545455
GraphSAGE,GM,4,0.7619047619047619,0.7058823529411765,0.8571428571428571,0.6,0.8818181818181818
GraphSAGE,GM,5,0.5714285714285714,0.5263157894736842,0.5555555555555556,0.5,0.7090909090909091
GraphSAGE,GM,Average,0.6761904761904761,0.6381062951496388,0.7498124098124098,0.5781818181818181,0.8090909090909092
GAT,GM,1,0.8095238095238095,0.8,0.8888888888888888,0.7272727272727273,0.9
GAT,GM,2,0.6666666666666666,0.631578947368421,0.75,0.5454545454545454,0.7909090909090909
GAT,GM,3,0.5714285714285714,0.6666666666666666,0.5294117647058824,0.9,0.7818181818181819
GAT,GM,4,0.7619047619047619,0.6666666666666666,1.0,0.5,0.8636363636363636
GAT,GM,5,0.6190476190476191,0.6363636363636364,0.5833333333333334,0.7,0.7000000000000001
GAT,GM,Average,0.6857142857142857,0.6802551834130781,0.7503267973856209,0.6745454545454546,0.8072727272727273
