Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
GM,0,Degree,73.54717,73.03846,0.50871277
GM,1,Degree,74.0,74.57692,-0.57691956
GM,2,Degree,74.320755,74.25,0.070755005
GM,3,Degree,73.86793,74.71154,-0.8436127
GM,4,Degree,74.13207,74.44231,-0.31023407
GM,5,Degree,74.396225,74.17308,0.22314453
GM,6,Degree,74.0566,74.51923,-0.46263123
GM,7,Degree,73.830185,74.75,-0.91981506
GM,8,Degree,74.0,74.57692,-0.57691956
GM,9,Degree,73.962265,74.61539,-0.65312195
GM,10,Degree,74.07547,74.5,-0.42453003
GM,11,Degree,73.22642,73.36539,-0.13896942
GM,12,Degree,73.886795,74.69231,-0.8055115
GM,13,Degree,74.13207,74.44231,-0.31023407
GM,14,Degree,68.30189,68.38461,-0.082725525
GM,15,Degree,74.471695,74.09615,0.3755417
GM,16,Degree,74.64151,73.92308,0.71842957
GM,17,Degree,74.471695,74.09615,0.3755417
GM,18,Degree,73.30189,73.28846,0.013427734
GM,19,Degree,66.33962,66.38461,-0.04499054
GM,20,Degree,74.30189,74.26923,0.03265381
GM,21,Degree,74.28302,74.28846,-0.0054397583
GM,22,Degree,74.13207,74.44231,-0.31023407
GM,23,Degree,74.01887,74.55769,-0.538826
GM,24,Degree,74.30189,74.26923,0.03265381
GM,25,Degree,73.98113,74.59615,-0.61502075
GM,26,Degree,68.28302,68.40385,-0.12082672
GM,27,Degree,74.09434,74.48077,-0.38642883
GM,28,Degree,73.320755,73.26923,0.0515213
GM,29,Degree,67.84906,66.84615,1.0029068
GM,30,Degree,74.113205,74.46154,-0.34833527
GM,31,Degree,73.86793,74.71154,-0.8436127
GM,32,Degree,73.9434,74.63461,-0.6912155
GM,33,Degree,74.528305,74.03846,0.48984528
GM,34,Degree,74.396225,74.17308,0.22314453
GM,35,Degree,73.98113,74.59615,-0.61502075
GM,36,Degree,74.20755,74.36539,-0.15783691
GM,37,Degree,74.07547,74.5,-0.42453003
GM,38,Degree,73.81132,74.76923,-0.95791626
GM,39,Degree,74.07547,74.5,-0.42453003
GM,40,Degree,74.396225,74.17308,0.22314453
GM,41,Degree,73.886795,74.69231,-0.8055115
GM,42,Degree,74.01887,74.55769,-0.538826
GM,43,Degree,74.37736,74.19231,0.18505096
GM,44,Degree,74.01887,74.55769,-0.538826
GM,45,Degree,70.0,70.65385,-0.65384674
GM,46,Degree,73.43396,73.15385,0.28011322
GM,47,Degree,74.169815,74.40385,-0.23403168
GM,48,Degree,73.73585,74.84615,-1.1103058
GM,49,Degree,73.754715,74.82692,-1.0722046
GM,50,Degree,74.169815,74.40385,-0.23403168
GM,51,Degree,73.84906,74.73077,-0.88170624
GM,52,Degree,74.07547,74.5,-0.42453003
GM,53,Degree,73.886795,74.69231,-0.8055115
GM,54,Degree,73.9434,74.63461,-0.6912155
GM,55,Degree,74.037735,74.53846,-0.5007248
GM,56,Degree,73.962265,74.61539,-0.65312195
GM,57,Degree,73.98113,74.59615,-0.61502075
GM,58,Degree,73.73585,74.84615,-1.1103058
GM,59,Degree,71.754715,70.86539,0.889328
GM,60,Degree,74.69811,73.86539,0.8327255
GM,61,Degree,74.49056,74.07692,0.41364288
GM,62,Degree,74.58491,73.98077,0.60414124
GM,63,Degree,73.28302,73.30769,-0.024673462
GM,64,Degree,59.54717,59.307693,0.23947525
GM,65,Degree,74.30189,74.26923,0.03265381
GM,66,Degree,72.528305,72.07692,0.4513855
GM,67,Degree,73.01887,73.57692,-0.55805206
GM,68,Degree,73.962265,74.61539,-0.65312195
GM,69,Degree,74.07547,74.5,-0.42453003
GM,70,Degree,73.92453,74.65385,-0.7293167
GM,71,Degree,68.43396,68.25,0.18395996
GM,72,Degree,74.15094,74.42308,-0.2721405
GM,73,Degree,72.43396,72.17308,0.26087952
GM,74,Degree,64.98113,63.76923,1.2119026
GM,75,Degree,74.169815,74.40385,-0.23403168
GM,0,Strength,54.357883,58.55495,-4.1970673
GM,1,Strength,49.722218,56.394917,-6.672699
GM,2,Strength,52.201122,58.69047,-6.4893494
GM,3,Strength,47.17072,51.00712,-3.836399
GM,4,Strength,42.688232,49.58536,-6.897129
GM,5,Strength,57.1654,59.689556,-2.5241547
GM,6,Strength,43.304337,50.192223,-6.887886
GM,7,Strength,44.28402,49.697697,-5.413677
GM,8,Strength,46.523247,52.604275,-6.081028
GM,9,Strength,44.815514,51.82853,-7.0130157
GM,10,Strength,45.87236,52.34832,-6.47596
GM,11,Strength,48.507744,55.064754,-6.5570107
GM,12,Strength,45.45383,51.07729,-5.623459
GM,13,Strength,44.951702,51.15292,-6.2012177
GM,14,Strength,43.45069,50.426804,-6.9761124
GM,15,Strength,55.21265,58.838524,-3.6258736
GM,16,Strength,56.815002,59.977654,-3.162651
GM,17,Strength,54.83265,57.53394,-2.7012901
GM,18,Strength,52.703705,59.201546,-6.497841
GM,19,Strength,44.669373,52.014534,-7.3451614
GM,20,Strength,46.96372,50.829617,-3.8658981
GM,21,Strength,49.732716,55.88262,-6.149906
GM,22,Strength,49.441936,55.705208,-6.2632713
GM,23,Strength,50.517826,56.474724,-5.9568977
GM,24,Strength,50.049953,55.01036,-4.9604073
GM,25,Strength,46.482117,53.022076,-6.539959
GM,26,Strength,46.333992,52.9017,-6.567707
GM,27,Strength,51.237953,57.27507,-6.037117
GM,28,Strength,51.01504,57.01174,-5.9967003
GM,29,Strength,48.629623,51.829693,-3.2000694
GM,30,Strength,52.747673,57.24686,-4.4991875
GM,31,Strength,42.313618,50.986507,-8.67289
GM,32,Strength,41.696083,45.91174,-4.2156563
GM,33,Strength,44.412037,47.60412,-3.1920815
GM,34,Strength,44.683132,49.238277,-4.5551453
GM,35,Strength,42.55901,49.12085,-6.56184
GM,36,Strength,45.944332,50.458206,-4.513874
GM,37,Strength,42.708897,48.16179,-5.4528923
GM,38,Strength,41.773075,50.415466,-8.642391
GM,39,Strength,39.40401,44.59714,-5.1931305
GM,40,Strength,43.144554,47.314827,-4.170273
GM,41,Strength,40.05557,47.295708,-7.240139
GM,42,Strength,45.80072,49.656986,-3.856266
GM,43,Strength,40.601364,46.299778,-5.698414
GM,44,Strength,49.02927,54.375023,-5.3457527
GM,45,Strength,50.504913,57.133976,-6.6290627
GM,46,Strength,51.620365,57.84377,-6.223404
GM,47,Strength,54.91711,61.85943,-6.942318
GM,48,Strength,47.89255,52.461502,-4.5689507
GM,49,Strength,42.40205,48.984238,-6.5821877
GM,50,Strength,48.89453,54.006084,-5.111553
GM,51,Strength,40.90652,48.9241,-8.017578
GM,52,Strength,42.13808,46.295998,-4.157917
GM,53,Strength,46.082214,52.719307,-6.6370926
GM,54,Strength,45.189606,51.975796,-6.78619
GM,55,Strength,43.812813,52.221577,-8.408764
GM,56,Strength,48.97514,55.74505,-6.769909
GM,57,Strength,45.7246,52.323357,-6.598755
GM,58,Strength,47.933838,54.20197,-6.2681313
GM,59,Strength,48.359238,55.260685,-6.9014473
GM,60,Strength,56.88661,59.485558,-2.5989494
GM,61,Strength,50.874195,56.193935,-5.3197403
GM,62,Strength,52.99416,56.517124,-3.5229645
GM,63,Strength,51.621998,57.72073,-6.098732
GM,64,Strength,35.449356,43.543537,-8.094181
GM,65,Strength,46.831127,51.696465,-4.8653374
GM,66,Strength,48.91177,54.976017,-6.064247
GM,67,Strength,46.235905,53.455612,-7.2197075
GM,68,Strength,51.430706,56.21616,-4.785454
GM,69,Strength,48.586933,55.499893,-6.91296
GM,70,Strength,48.582,55.360252,-6.7782516
GM,71,Strength,44.458515,51.214233,-6.755718
GM,72,Strength,49.882282,56.300594,-6.418312
GM,73,Strength,51.269306,55.70508,-4.435772
GM,74,Strength,39.7919,44.343876,-4.5519753
GM,75,Strength,49.0515,53.003414,-3.9519157
GM,0,Betweenness,0.036756758,0.031607762,0.0051489957
GM,1,Betweenness,0.039415266,0.0014968815,0.037918385
GM,2,Betweenness,0.038001016,0.012051282,0.025949733
GM,3,Betweenness,0.053074963,0.023451146,0.029623818
GM,4,Betweenness,0.022797892,0.008274428,0.014523464
GM,5,Betweenness,0.012531021,0.0063894666,0.006141554
GM,6,Betweenness,0.01227265,0.0019473319,0.010325318
GM,7,Betweenness,0.061349653,0.03683299,0.024516664
GM,8,Betweenness,0.0218052,0.005107415,0.016697787
GM,9,Betweenness,0.018929116,0.0071864175,0.011742699
GM,10,Betweenness,0.019309876,0.005682606,0.01362727
GM,11,Betweenness,0.026870644,0.013679834,0.01319081
GM,12,Betweenness,0.012497026,0.0015107414,0.010986284
GM,13,Betweenness,0.029229987,0.009410949,0.019819038
GM,14,Betweenness,0.029229986,0.023679832,0.0055501536
GM,15,Betweenness,0.011007988,0.030561332,-0.019553345
GM,16,Betweenness,0.0071528126,0.025426196,-0.018273383
GM,17,Betweenness,0.0073975865,0.016202357,-0.00880477
GM,18,Betweenness,0.029073603,0.008891199,0.020182405
GM,19,Betweenness,0.026143126,0.030602911,-0.0044597853
GM,20,Betweenness,0.035553288,0.013167011,0.022386277
GM,21,Betweenness,0.018018017,0.008634789,0.009383228
GM,22,Betweenness,0.027849736,0.0093970895,0.018452646
GM,23,Betweenness,0.047383986,0.016950797,0.03043319
GM,24,Betweenness,0.010511644,0.015273736,-0.0047620917
GM,25,Betweenness,0.045153834,0.0035343035,0.04161953
GM,26,Betweenness,0.019677036,0.010450451,0.009226585
GM,27,Betweenness,0.023749787,0.0058281366,0.01792165
GM,28,Betweenness,0.022417134,0.015495495,0.0069216387
GM,29,Betweenness,0.036783956,0.064012475,-0.02722852
GM,30,Betweenness,0.017848037,0.004151074,0.013696963
GM,31,Betweenness,0.047934726,0.00989605,0.038038675
GM,32,Betweenness,0.01691654,0.017560637,-0.0006440971
GM,33,Betweenness,0.011647118,0.022543311,-0.010896193
GM,34,Betweenness,0.003902771,0.013970895,-0.010068124
GM,35,Betweenness,0.036138028,0.013187801,0.022950226
GM,36,Betweenness,0.016556177,0.019812891,-0.003256714
GM,37,Betweenness,0.06326024,0.02991684,0.033343405
GM,38,Betweenness,0.025979942,0.012279972,0.013699969
GM,39,Betweenness,0.026054733,0.034400556,-0.008345824
GM,40,Betweenness,0.02255992,0.045239087,-0.022679167
GM,41,Betweenness,0.036308005,0.012148302,0.024159703
GM,42,Betweenness,0.0281761,0.035426196,-0.007250095
GM,43,Betweenness,0.05028727,0.026798338,0.023488931
GM,44,Betweenness,0.05645419,0.019972282,0.03648191
GM,45,Betweenness,0.047880333,0.023603601,0.024276732
GM,46,Betweenness,0.020370558,0.013444214,0.006926344
GM,47,Betweenness,0.042794492,0.015038114,0.027756378
GM,48,Betweenness,0.035233725,0.0108316,0.024402125
GM,49,Betweenness,0.044235937,0.0036382538,0.040597685
GM,50,Betweenness,0.019486656,0.0025641026,0.016922554
GM,51,Betweenness,0.02446371,0.0040679136,0.020395797
GM,52,Betweenness,0.039238483,0.04221068,-0.0029721968
GM,53,Betweenness,0.02127486,0.004227304,0.017047554
GM,54,Betweenness,0.028142106,0.03075537,-0.002613265
GM,55,Betweenness,0.049702533,0.0034857937,0.046216737
GM,56,Betweenness,0.053285737,0.001988912,0.051296823
GM,57,Betweenness,0.012707802,0.0049203048,0.007787497
