edge_idx,source,target,control,ms,delta
1382,68,61,0.31717715,0.2949638,0.02221334
906,11,10,0.2971641,0.27597076,0.021193355
535,29,71,0.3061342,0.28547004,0.020664155
916,37,10,0.29564157,0.27658173,0.019059837
294,15,70,0.2870189,0.26919308,0.017825812
1369,63,54,0.28775626,0.269947,0.017809272
860,57,7,0.28445196,0.2673847,0.017067254
532,29,50,0.30933085,0.29240936,0.01692149
1183,74,26,0.29863238,0.28194526,0.016687125
330,18,63,0.28449452,0.26823562,0.016258895
1303,55,39,0.2861564,0.2699537,0.016202688
346,19,64,0.2872762,0.2718911,0.015385121
370,20,46,0.28579873,0.27103212,0.014766604
279,14,69,0.28591514,0.27119693,0.014718205
53,2,49,0.28807738,0.27374187,0.014335513
182,8,34,0.28255245,0.2682514,0.014301062
1131,60,23,0.30178648,0.2874898,0.014296681
1010,68,17,0.29979643,0.28588402,0.01391241
816,18,6,0.2854085,0.27182242,0.013586074
33,1,69,0.29128307,0.27789715,0.013385922
337,19,39,0.28292337,0.27011615,0.01280722
537,29,73,0.30052066,0.28798664,0.012534022
56,2,52,0.2829577,0.27057993,0.012377769
647,49,63,0.2881346,0.27576366,0.012370944
1018,35,18,0.28396162,0.2716062,0.012355417
123,6,31,0.2795627,0.2672323,0.012330413
887,50,8,0.28580862,0.27363122,0.012177408
298,16,54,0.2888922,0.27692625,0.01196596
882,37,8,0.2874267,0.27549115,0.011935562
717,22,1,0.28259432,0.27084243,0.01175189
1372,57,55,0.28338158,0.27176178,0.011619806
1383,68,62,0.29677692,0.28523773,0.011539191
512,28,41,0.285976,0.27445728,0.011518717
368,20,34,0.28737321,0.27594492,0.011428297
798,49,5,0.28888068,0.2774556,0.011425078
1204,74,27,0.30105332,0.28968948,0.011363834
649,49,72,0.28368524,0.2723316,0.011353642
412,22,40,0.28259772,0.27132815,0.011269569
1301,50,39,0.28058395,0.26931876,0.011265188
450,25,46,0.2848641,0.2736839,0.011180192
1086,60,21,0.2893704,0.27832583,0.011044562
79,4,33,0.28422982,0.27321053,0.0110192895
262,14,17,0.2813082,0.27041167,0.010896534
563,32,46,0.28979287,0.2790913,0.010701567
1083,46,21,0.2748362,0.2642135,0.01062271
669,53,74,0.2889968,0.27837473,0.010622054
1259,73,31,0.2813766,0.27085626,0.010520339
677,55,70,0.28270766,0.27226472,0.010442942
907,12,10,0.28275743,0.2723789,0.01037854
215,10,32,0.28261653,0.27227232,0.010344207
1296,51,38,0.2820345,0.2717032,0.010331273
632,44,53,0.28619924,0.2759233,0.01027593
750,49,2,0.28405705,0.27382487,0.01023218
942,55,12,0.28302318,0.2728352,0.0101879835
44,2,29,0.28176546,0.27164868,0.010116786
505,27,72,0.27751222,0.2674845,0.010027736
666,53,56,0.28707746,0.27705836,0.010019094
49,2,35,0.2803412,0.270414,0.009927213
836,71,6,0.28147832,0.2715712,0.009907126
1042,60,19,0.28656802,0.27679703,0.009770989
722,46,1,0.27589175,0.2661717,0.009720057
423,22,60,0.28517917,0.27550775,0.00967142
309,17,45,0.28394866,0.2743063,0.009642363
1136,46,24,0.2795636,0.26992458,0.009639025
1306,65,39,0.28612044,0.27649033,0.009630114
704,23,0,0.28151414,0.2719375,0.0095766485
1056,23,20,0.28296328,0.273443,0.0095202625
1025,53,18,0.27610514,0.2666793,0.009425849
287,15,27,0.2789974,0.26960188,0.00939551
156,7,34,0.2815658,0.27231008,0.009255707
1045,66,19,0.285125,0.27595174,0.009173244
985,45,15,0.2875434,0.27837282,0.009170562
724,60,1,0.2867194,0.27755463,0.00916478
1295,49,38,0.29163003,0.28246558,0.009164453
1377,63,56,0.28462803,0.27547887,0.009149164
381,21,27,0.28084978,0.27171144,0.009138346
121,6,20,0.28438267,0.27525902,0.009123653
997,61,16,0.27846125,0.2693837,0.009077549
754,53,2,0.28105736,0.27202964,0.0090277195
1343,57,49,0.2818993,0.27287582,0.009023488
68,4,9,0.2776669,0.2686438,0.0090231
515,28,51,0.28061265,0.27161884,0.008993804
1182,73,26,0.28238484,0.273397,0.008987844
1190,51,27,0.27757972,0.26871225,0.008867472
393,21,66,0.27986997,0.2710651,0.0088048875
897,73,8,0.27487105,0.26609343,0.008777618
1186,35,27,0.27879804,0.2700988,0.008699238
633,44,55,0.293453,0.28484523,0.008607775
1125,70,22,0.28109607,0.27254856,0.008547515
672,54,63,0.28346124,0.27493498,0.008526266
312,17,66,0.27717385,0.2686813,0.008492559
741,29,2,0.2922503,0.28377497,0.008475333
1390,73,65,0.27501664,0.26658055,0.008436084
369,20,38,0.28080088,0.2724386,0.008362293
93,5,20,0.27872106,0.27037305,0.008348018
753,52,2,0.27599236,0.2676477,0.00834465
1123,65,22,0.28043914,0.27210277,0.008336365
583,34,66,0.28123504,0.272919,0.00831604
776,33,4,0.2890444,0.28076503,0.008279383
353,19,72,0.28082404,0.27260998,0.0082140565
526,28,70,0.28274608,0.2745346,0.008211464
442,24,64,0.28102073,0.27283224,0.008188486
1284,39,35,0.2824554,0.2742992,0.00815621
646,49,57,0.29062688,0.2824726,0.008154273
687,63,67,0.2834787,0.27538067,0.008098036
1236,47,30,0.2778977,0.26990998,0.007987708
