edge_idx,source,target,control,ms,delta
182,64,55,0.30048668,0.25675708,0.043729603
93,71,1,0.27990216,0.25419334,0.025708824
77,41,55,0.27850643,0.25342524,0.025081187
69,38,50,0.2688592,0.24926561,0.019593596
49,30,31,0.26546678,0.24735996,0.018106818
75,38,61,0.26582047,0.24900049,0.016819984
144,41,31,0.2725658,0.2572151,0.015350699
0,1,71,0.2610898,0.24580047,0.015289336
42,13,38,0.2666791,0.25202453,0.014654577
135,38,13,0.25969666,0.24618769,0.0135089755
184,71,69,0.2640438,0.25113508,0.012908727
70,38,51,0.26551,0.25270998,0.012800008
149,55,31,0.2716371,0.25956738,0.012069732
158,55,36,0.2636805,0.25222114,0.011459351
26,9,38,0.2659062,0.25484475,0.01106146
85,51,72,0.2579803,0.24698767,0.010992616
138,51,23,0.2544856,0.24389769,0.010587916
28,9,49,0.25661018,0.24658178,0.010028407
99,38,4,0.26480526,0.25485346,0.0099518
162,50,38,0.26631045,0.25640947,0.009900987
24,9,31,0.2630828,0.2532576,0.0098252
36,10,72,0.26022387,0.25059202,0.009631842
19,6,72,0.25951982,0.24996257,0.009557247
159,38,37,0.2541208,0.244716,0.009404793
27,9,41,0.25964212,0.2505615,0.009080619
139,41,25,0.2542505,0.24538422,0.00886628
161,49,38,0.26586637,0.2570394,0.008826971
163,51,38,0.26379165,0.2551057,0.008685946
122,51,9,0.25621134,0.24766244,0.0085489005
6,4,38,0.25920233,0.25094524,0.008257091
146,51,31,0.25532612,0.24729699,0.008029133
71,38,53,0.25552744,0.24764678,0.007880658
100,51,4,0.26340955,0.2556818,0.007727742
43,19,69,0.26496115,0.25745827,0.0075028837
50,31,37,0.2566922,0.24925224,0.007439956
63,35,55,0.26098052,0.25391832,0.0070621967
170,55,41,0.251825,0.24492025,0.006904751
40,12,38,0.26060647,0.25384995,0.0067565143
167,58,38,0.25420097,0.24776636,0.0064346045
37,11,38,0.26258397,0.25629535,0.006288618
55,31,54,0.25680253,0.25066227,0.006140262
31,9,64,0.25100437,0.2449968,0.006007567
180,55,54,0.25882784,0.25285637,0.0059714615
54,31,53,0.25700197,0.2510355,0.0059664547
21,8,51,0.2629602,0.25707933,0.0058808625
39,12,31,0.26130506,0.25559953,0.0057055354
151,58,31,0.25762194,0.25208142,0.00554052
66,37,38,0.25377575,0.24917692,0.004598826
5,4,31,0.25747937,0.25290066,0.0045787096
15,6,31,0.25854105,0.25396693,0.00457412
95,9,4,0.2581434,0.2536194,0.0045239925
11,4,72,0.25911048,0.25461167,0.0044988096
136,69,19,0.25671813,0.25229958,0.004418552
68,38,49,0.25284633,0.24846007,0.004386261
41,12,55,0.26053712,0.25616813,0.0043689907
67,37,55,0.25949502,0.25525868,0.0042363405
94,8,4,0.25666326,0.25243172,0.0042315423
132,31,12,0.2551529,0.25092804,0.0042248666
16,6,38,0.2538771,0.24971595,0.0041611493
90,64,70,0.25422496,0.2503132,0.0039117634
102,55,4,0.25534126,0.25144097,0.0039002895
3,4,11,0.25415012,0.25031692,0.0038332045
108,31,6,0.2553491,0.25161707,0.0037320256
20,8,38,0.2599836,0.25648996,0.0034936368
137,31,22,0.24803987,0.24465682,0.0033830553
148,54,31,0.2616222,0.25832194,0.0033002496
164,53,38,0.2556284,0.25237507,0.0032533407
44,22,31,0.25851512,0.2552867,0.003228426
33,10,38,0.25678933,0.2536097,0.0031796396
