edge_idx,source,target,control,ms,delta
2855,6,0,0.2954976,0.27292922,0.022568375
2591,52,70,0.28656387,0.2650115,0.021552384
3719,48,12,0.29435048,0.27448443,0.01986605
871,12,50,0.292447,0.27373162,0.018715382
3428,15,8,0.28620228,0.26796293,0.01823935
4772,51,32,0.29020548,0.272185,0.01802048
5451,58,53,0.2861496,0.2681549,0.017994702
1843,30,59,0.28635988,0.26838902,0.01797086
4389,40,24,0.27996865,0.26258442,0.017384231
3284,75,5,0.28928968,0.27215263,0.01713705
211,2,65,0.28588903,0.2688538,0.017035216
40,0,41,0.28847545,0.27164176,0.016833693
3087,19,3,0.2865347,0.26993626,0.016598433
2582,52,61,0.2929667,0.2763966,0.016570091
5366,67,49,0.28482327,0.26857635,0.016246915
493,6,65,0.2908208,0.27469057,0.016130239
1251,18,73,0.28738582,0.27128655,0.016099274
2266,41,53,0.28633785,0.27029002,0.016047835
258,3,40,0.29096845,0.27496934,0.015999109
4629,40,29,0.29135692,0.2754995,0.015857428
4155,71,19,0.2887539,0.27295288,0.015801013
5275,57,46,0.28825715,0.2724993,0.015757859
2578,52,57,0.28594065,0.2702196,0.015721053
4618,75,28,0.2868539,0.27133384,0.015520066
4400,51,24,0.28626943,0.27081844,0.015450984
3183,44,4,0.28620228,0.27076295,0.0154393315
1579,25,30,0.2874532,0.2720968,0.015356392
5151,55,42,0.289535,0.27418038,0.0153546035
492,6,64,0.28886852,0.27355102,0.0153175
3118,50,3,0.2817909,0.26649114,0.015299767
2437,46,69,0.28561673,0.27037647,0.015240252
2837,70,73,0.2888224,0.2735991,0.015223324
5504,70,55,0.28452438,0.26932484,0.015199542
5073,44,40,0.28837118,0.2731899,0.015181273
3291,13,6,0.28863147,0.27346283,0.015168637
2942,19,1,0.284702,0.26957688,0.015125126
987,14,43,0.28706926,0.27197903,0.015090227
971,14,27,0.28542736,0.27035275,0.015074611
1172,17,51,0.29137453,0.2764404,0.014934123
5334,61,48,0.2890326,0.27410194,0.0149306655
269,3,51,0.28883657,0.27396533,0.01487124
1728,28,35,0.28963706,0.2749459,0.014691144
278,3,60,0.28652245,0.27191228,0.014610171
1952,33,39,0.28831807,0.27385312,0.014464945
3710,39,12,0.28592086,0.27146566,0.014455199
3046,50,2,0.28630322,0.2719509,0.014352322
123,1,50,0.28664836,0.27248415,0.014164209
