edge_idx,source,target,control,ms,delta
191,8,51,0.28711712,0.2705632,0.016553938
427,22,66,0.2848975,0.26854053,0.016356975
823,42,6,0.2781864,0.26377872,0.014407694
547,30,61,0.28858,0.27461573,0.013964266
485,26,73,0.28449348,0.27108723,0.013406247
862,64,7,0.28131366,0.26796573,0.013347924
73,4,18,0.28051987,0.26749328,0.013026595
1369,63,54,0.28229746,0.26928255,0.013014913
544,30,54,0.28150964,0.26859516,0.012914479
218,10,35,0.28198344,0.2690859,0.012897521
249,12,64,0.28612095,0.27333564,0.0127853155
1393,75,67,0.28138322,0.26880887,0.012574345
457,25,70,0.2859568,0.27393487,0.012021929
1357,63,52,0.28104302,0.26907542,0.011967599
558,31,64,0.28270075,0.27092493,0.011775821
1236,47,30,0.28641465,0.27483687,0.011577785
40,2,7,0.28301597,0.27178895,0.011227012
38,2,4,0.27933422,0.26818636,0.011147857
968,46,14,0.28749356,0.27635172,0.011141837
279,14,69,0.27990204,0.2688077,0.011094332
957,33,13,0.28556943,0.27457216,0.010997266
831,63,6,0.2821595,0.27125102,0.010908484
429,22,71,0.2806045,0.2697263,0.010878205
1025,53,18,0.28547212,0.27459624,0.010875881
872,23,8,0.2851559,0.2742868,0.010869086
1166,46,26,0.28489593,0.27404815,0.010847777
504,27,71,0.2805832,0.26981983,0.010763377
755,57,2,0.27751067,0.26678827,0.010722399
689,63,72,0.28384808,0.2731416,0.010706484
1293,42,38,0.2821405,0.27160355,0.010536939
1031,20,19,0.2816324,0.2711708,0.010461599
572,33,59,0.28718695,0.27677107,0.010415882
744,33,2,0.2799958,0.26967436,0.010321438
236,12,33,0.27965048,0.26933128,0.010319203
1242,57,30,0.27980793,0.2695395,0.01026842
796,46,5,0.27380055,0.26361328,0.010187268
1319,50,42,0.28325707,0.27319553,0.010061532
754,53,2,0.2848487,0.27488506,0.009963632
307,17,26,0.28129277,0.27151364,0.009779125
669,53,74,0.28073448,0.2712695,0.009464979
1090,66,21,0.2838992,0.2744756,0.009423584
602,38,63,0.28158355,0.27218416,0.009399384
1346,72,49,0.2800605,0.27068442,0.009376079
1005,27,17,0.27865162,0.26938552,0.009266108
560,31,67,0.2793532,0.2702625,0.009090692
151,7,23,0.28569454,0.2767278,0.008966744
1300,67,38,0.2817242,0.27278355,0.008940667
1279,64,34,0.28267062,0.2737461,0.008924514
943,57,12,0.28122562,0.27245924,0.008766383
928,18,12,0.28994092,0.28121573,0.008725196
1240,53,30,0.27942428,0.27074897,0.008675307
1024,52,18,0.2793055,0.27064207,0.008663416
880,35,8,0.27662578,0.2679956,0.008630186
717,22,1,0.28295124,0.27436015,0.008591086
1163,40,26,0.2782613,0.2697546,0.008506715
1238,51,30,0.28676808,0.27830702,0.008461058
821,33,6,0.28186765,0.27345142,0.008416235
1102,32,22,0.27897075,0.270562,0.008408755
77,4,31,0.2863196,0.27796128,0.00835833
1344,63,49,0.28048807,0.27213362,0.008354455
173,8,12,0.28357375,0.27527288,0.008300871
305,17,20,0.2822919,0.273992,0.008299887
234,12,31,0.28221744,0.27392843,0.008289009
