edge_idx,source,target,control,ms,delta
82,51,55,0.25581616,0.24368165,0.012134507
98,31,4,0.25509405,0.2430841,0.0120099485
112,72,6,0.25825134,0.2468571,0.0113942325
108,31,6,0.259905,0.24926822,0.010636792
147,53,31,0.2591143,0.2488552,0.010259092
73,38,57,0.25518093,0.24523939,0.009941533
179,55,53,0.25839835,0.2487399,0.009658456
110,51,6,0.25719494,0.24757846,0.009616479
164,53,38,0.25721735,0.2476237,0.009593651
80,51,53,0.25955084,0.2500388,0.009512037
167,58,38,0.256104,0.2466205,0.009483486
75,38,61,0.25618747,0.24741684,0.00877063
114,51,8,0.25580865,0.24733585,0.0084728
65,36,55,0.2569233,0.2486007,0.008322582
121,49,9,0.25821856,0.24999867,0.008219883
174,54,51,0.2587363,0.25054163,0.008194685
35,10,55,0.25278527,0.2452933,0.007491961
176,57,51,0.25434896,0.24694866,0.007400304
184,71,69,0.256884,0.24989823,0.0069857836
116,12,9,0.25537387,0.24840093,0.006972939
181,58,55,0.25579622,0.24893795,0.0068582743
64,35,72,0.25265557,0.24591269,0.0067428797
15,6,31,0.25302738,0.24649899,0.0065283924
153,38,35,0.25784212,0.25132507,0.0065170527
177,58,51,0.2586061,0.25236633,0.006239772
113,38,8,0.25541773,0.2492717,0.0061460286
159,38,37,0.25482923,0.24878393,0.006045297
39,12,31,0.25698,0.25097516,0.00600484
97,27,4,0.25955796,0.25385037,0.005707592
28,9,49,0.2574694,0.2520095,0.005459875
95,9,4,0.2514354,0.24603081,0.0054045916
7,4,51,0.25611812,0.25080013,0.005317986
63,35,55,0.25005278,0.24477762,0.00527516
102,55,4,0.25891605,0.25366697,0.005249083
78,41,70,0.2520943,0.24704504,0.0050492585
59,31,69,0.25718623,0.25217003,0.0050162077
120,41,9,0.25710312,0.25223663,0.004866481
52,31,49,0.25587988,0.25103095,0.0048489273
148,54,31,0.2570014,0.25220278,0.004798621
87,54,55,0.25473914,0.24997275,0.0047663897
129,72,10,0.2543346,0.24967702,0.0046575814
9,4,55,0.2564285,0.25208613,0.004342377
51,31,41,0.2537111,0.2494429,0.004268199
128,55,10,0.25338703,0.24916528,0.0042217523
172,55,49,0.25840268,0.25420153,0.004201144
126,38,10,0.25694373,0.25280428,0.004139453
69,38,50,0.25540182,0.2514816,0.0039202273
135,38,13,0.25574845,0.25197175,0.0037766993
85,51,72,0.25522712,0.251552,0.003675133
92,70,71,0.24893348,0.24533632,0.0035971552
86,53,55,0.25328526,0.24978171,0.0035035461
141,51,27,0.25602517,0.2525367,0.0034884512
81,51,54,0.25366032,0.2501895,0.0034708083
131,41,11,0.25318864,0.24993871,0.0032499284
48,27,51,0.2523224,0.24926499,0.0030574203
49,30,31,0.25302252,0.25013423,0.002888292
152,69,31,0.25583598,0.25329626,0.002539724
4,4,27,0.25669825,0.25431302,0.0023852289
100,51,4,0.25409734,0.25184518,0.0022521615
62,35,54,0.2574095,0.25552976,0.0018797517
89,55,64,0.25445327,0.2525741,0.0018791854
1,4,8,0.25345972,0.25160688,0.0018528402
180,55,54,0.2563449,0.2545263,0.0018186271
20,8,38,0.257539,0.2557318,0.0018072128
145,49,31,0.25158957,0.24985698,0.0017325878
16,6,38,0.25435954,0.25265563,0.001703918
