edge_idx,source,target,control,ms,delta
5088,59,40,0.29441682,0.27294534,0.02147147
248,3,30,0.28503534,0.26522917,0.019806176
5288,70,46,0.2904241,0.27165434,0.01876977
4573,30,28,0.28452486,0.26630065,0.01822421
3120,52,3,0.28515592,0.2669533,0.018202633
4254,61,21,0.28457353,0.26670143,0.017872095
4177,38,20,0.2906448,0.27302134,0.017623454
4420,71,24,0.28473452,0.26712537,0.01760915
1377,21,34,0.29196298,0.27468878,0.0172742
2867,18,0,0.2804684,0.2638645,0.016603917
5093,64,40,0.28831336,0.2717587,0.016554654
4068,40,18,0.28724086,0.27074143,0.01649943
26,0,27,0.28277293,0.26656023,0.016212702
2999,3,2,0.28167996,0.26558638,0.016093582
1237,18,59,0.28564838,0.26981175,0.015836626
1981,33,68,0.28305143,0.26744813,0.015603304
3757,24,13,0.28549424,0.27004462,0.015449613
4346,48,23,0.28793946,0.27274513,0.015194327
1905,32,34,0.28471795,0.26955622,0.015161723
1907,32,36,0.2859501,0.27078864,0.015161455
5089,60,40,0.28953043,0.27441818,0.015112251
4290,44,22,0.28373355,0.26869383,0.015039712
642,9,13,0.29170498,0.27675602,0.014948964
3802,69,13,0.28598443,0.27106255,0.014921874
3238,29,5,0.28646335,0.27155477,0.014908582
4481,33,26,0.28226736,0.2673947,0.01487267
2908,59,0,0.29339674,0.27853242,0.0148643255
4309,63,22,0.29292434,0.27812913,0.014795214
5028,70,38,0.28927183,0.27455473,0.014717102
527,7,31,0.2905245,0.27593976,0.01458475
3294,16,6,0.2845442,0.2699893,0.014554888
102,1,29,0.28977346,0.27527487,0.014498591
2245,40,66,0.28495887,0.27046487,0.014494002
2519,49,70,0.28758454,0.27310032,0.014484227
2706,58,68,0.28806692,0.27359995,0.014466971
3774,41,13,0.28368008,0.26926705,0.014413029
4143,59,19,0.2871731,0.27278703,0.014386058
3835,41,14,0.28508633,0.27071255,0.014373779
338,4,49,0.2927723,0.2784324,0.014339894
3239,30,5,0.28467077,0.27034217,0.014328599
4349,51,23,0.28370765,0.26948822,0.014219433
4683,49,30,0.28816384,0.27395293,0.01421091
4597,54,28,0.28631744,0.27220404,0.014113396
5386,62,50,0.28711683,0.27310044,0.01401639
1556,24,57,0.28142756,0.26742098,0.014006585
3004,8,2,0.28816885,0.2741686,0.014000237
2882,33,0,0.28626463,0.2722835,0.013981134
3259,50,5,0.2834228,0.26949784,0.013924956
3914,60,15,0.2803478,0.26642564,0.013922155
1164,17,43,0.28357545,0.2696973,0.013878137
52,0,53,0.28343457,0.2696342,0.013800383
3497,18,9,0.29122043,0.27751932,0.013701111
63,0,64,0.2845536,0.27090082,0.013652772
4013,42,17,0.28310376,0.2694513,0.013652474
3569,25,10,0.2869882,0.27345544,0.013532758
977,14,33,0.282656,0.26921993,0.013436079
4311,65,22,0.2857481,0.27234015,0.013407946
2417,46,49,0.28120902,0.26780397,0.013405055
89,1,16,0.27970463,0.26636487,0.013339758
4436,37,25,0.2869933,0.27368486,0.013308436
3139,71,3,0.28746334,0.2741564,0.013306946
5069,75,39,0.28025723,0.26696223,0.013294995
3450,37,8,0.28584182,0.2725627,0.01327911
1774,29,35,0.28839377,0.2751208,0.013272971
1242,18,64,0.28327906,0.27000734,0.013271719
4269,23,22,0.28237304,0.26910886,0.013264179
2411,45,72,0.29303536,0.27979228,0.013243079
4494,46,26,0.28360432,0.27043408,0.013170242
3716,45,12,0.2854022,0.27228323,0.013118982
2431,46,63,0.28588822,0.27277467,0.013113558
4772,51,32,0.28780472,0.27470905,0.013095677
2222,40,43,0.28817517,0.275096,0.013079166
644,9,15,0.28177258,0.2687212,0.013051391
3298,20,6,0.29140547,0.27836135,0.013044119
3102,34,3,0.28536725,0.27232736,0.013039887
