edge_idx,source,target,control,ms,delta
1340,51,48,0.5274581,0.4072046,0.12025347
1329,53,44,0.49352908,0.37399128,0.1195378
761,6,3,0.422098,0.31648827,0.105609745
762,8,3,0.42453796,0.3493567,0.075181246
1341,55,48,0.5231513,0.46136424,0.06178704
763,10,3,0.40170258,0.34007984,0.06162274
1330,55,44,0.44131064,0.3822233,0.059087336
1381,75,58,0.32237646,0.28595796,0.036418498
1129,74,22,0.28578833,0.26393527,0.02185306
475,26,57,0.27717662,0.25720105,0.019975573
1168,49,26,0.2829507,0.2640279,0.018922806
585,34,71,0.27695498,0.26012284,0.016832143
429,22,71,0.28106132,0.26522693,0.015834391
462,26,27,0.2835159,0.26773837,0.015777528
686,62,68,0.29924908,0.28391278,0.015336305
198,8,71,0.283038,0.26802367,0.015014321
1205,75,27,0.28198642,0.2670401,0.014946312
295,15,71,0.2840099,0.2691722,0.014837712
128,6,50,0.27565342,0.2609889,0.014664531
1076,73,20,0.28186712,0.2679767,0.013890415
397,21,72,0.27832338,0.2646001,0.013723284
940,52,12,0.28222585,0.26853952,0.013686329
367,20,33,0.28177145,0.2681691,0.013602346
1104,34,22,0.27845886,0.26490948,0.013549387
663,52,73,0.28377405,0.27036545,0.013408601
1159,27,26,0.2799007,0.26660153,0.013299167
85,4,55,0.28307274,0.26996827,0.013104469
277,14,66,0.27768746,0.26460317,0.013084292
1072,67,20,0.28098604,0.26793262,0.013053417
1202,72,27,0.2760772,0.26306012,0.013017088
1080,40,21,0.27727175,0.26429388,0.012977868
1004,26,17,0.2742915,0.26142997,0.01286152
1096,75,21,0.27489644,0.2620875,0.012808949
943,57,12,0.28021127,0.26752135,0.012689918
869,11,8,0.277298,0.26467296,0.012625039
1173,59,26,0.28591475,0.2734312,0.012483537
364,20,28,0.287695,0.2752245,0.012470484
218,10,35,0.28258032,0.27012476,0.012455553
479,26,64,0.2771923,0.2647658,0.012426496
538,30,35,0.27880332,0.26658437,0.012218952
1162,38,26,0.27554926,0.26349035,0.012058914
575,33,65,0.2771933,0.26513866,0.012054652
287,15,27,0.2818581,0.2700097,0.01184839
844,17,7,0.28222728,0.27049989,0.011727393
201,8,75,0.2790814,0.2673685,0.011712909
722,46,1,0.27827072,0.2666496,0.011621118
944,59,12,0.27904025,0.26747477,0.011565477
582,34,64,0.2768504,0.2652894,0.011561006
1151,65,25,0.27717188,0.26563632,0.011535555
1157,73,25,0.2846241,0.2732579,0.0113661885
726,64,1,0.2786139,0.26725006,0.011363834
517,28,53,0.27872452,0.26741618,0.011308342
785,67,4,0.27811104,0.2668533,0.011257738
117,6,10,0.2803272,0.269124,0.0112032
289,15,46,0.2654975,0.25436112,0.011136383
1087,62,21,0.27464175,0.2635326,0.0111091435
1380,67,57,0.27722636,0.2661762,0.011050165
912,32,10,0.2809454,0.26994437,0.011001021
684,58,75,0.2786308,0.2676317,0.0109990835
1239,52,30,0.27548778,0.26454955,0.010938227
671,54,55,0.2852346,0.27431408,0.010920525
439,24,46,0.27299643,0.26208612,0.010910302
1057,24,20,0.2771527,0.26625472,0.010897964
1,0,7,0.28350407,0.27271968,0.010784388
1196,63,27,0.28198704,0.2712891,0.010697931
820,31,6,0.27881396,0.26817524,0.010638714
1090,66,21,0.27805877,0.2674294,0.010629356
329,18,57,0.2772037,0.26659414,0.010609567
584,34,67,0.2838492,0.2734659,0.010383308
185,8,37,0.294813,0.2844684,0.010344595
898,75,8,0.27767286,0.26735768,0.01031518
150,7,21,0.2825754,0.27229163,0.010283768
819,22,6,0.27891442,0.26864976,0.010264665
960,24,14,0.2745719,0.26436508,0.010206819
896,72,8,0.28051266,0.27032995,0.0101827085
568,32,71,0.27373204,0.26357675,0.01015529
480,26,65,0.27631,0.26620087,0.010109127
1006,45,17,0.2799906,0.26988694,0.010103673
1388,65,64,0.27741656,0.26748136,0.0099352
1251,35,31,0.2746473,0.2647907,0.009856582
923,62,11,0.2701414,0.26034853,0.009792864
1182,73,26,0.27888593,0.2691024,0.009783536
5,0,20,0.28456968,0.27481532,0.00975436
918,51,10,0.28147182,0.27172402,0.009747803
159,7,47,0.2764647,0.2667351,0.009729594
1218,64,28,0.27590883,0.26623,0.009678841
849,27,7,0.28090447,0.2712688,0.009635657
532,29,50,0.27408725,0.26447245,0.009614795
170,7,75,0.28128418,0.27176163,0.009522557
867,75,7,0.27963182,0.2701198,0.009512037
546,30,59,0.2779518,0.2684448,0.009507
655,51,67,0.27980343,0.27030557,0.009497851
815,13,6,0.27881816,0.2693244,0.009493768
443,24,66,0.27393693,0.2645119,0.009425014
29,1,64,0.2767071,0.2673276,0.009379506
851,30,7,0.2817915,0.2724236,0.009367913
2,0,15,0.27465302,0.26528582,0.009367198
217,10,34,0.27490735,0.2656391,0.009268254
807,70,5,0.27925545,0.27001524,0.00924021
47,2,33,0.27818403,0.26895845,0.009225577
502,27,67,0.2835476,0.274348,0.009199619
606,39,55,0.27778053,0.26860285,0.009177685
312,17,66,0.27772737,0.2686301,0.009097278
810,75,5,0.27549484,0.2663982,0.009096652
346,19,64,0.2787254,0.26964957,0.00907582
503,27,70,0.2733393,0.26429993,0.009039372
524,28,67,0.2758818,0.26688045,0.009001344
313,17,68,0.2859304,0.27693784,0.008992553
212,10,27,0.2849604,0.27603975,0.00892064
1034,39,19,0.2759108,0.26706454,0.008846253
386,21,46,0.27158865,0.26274702,0.008841634
541,30,51,0.27422342,0.26540005,0.008823365
1222,69,28,0.2762885,0.26754326,0.008745253
567,32,67,0.2793623,0.27066463,0.008697659
1195,59,27,0.28091362,0.2722471,0.008666515
1211,50,28,0.27710268,0.26843905,0.0086636245
190,8,50,0.27822945,0.2696975,0.008531958
13,0,46,0.2733949,0.26494062,0.008454293
139,6,71,0.27809057,0.269649,0.008441567
806,66,5,0.27533612,0.26696908,0.008367032
834,67,6,0.28004974,0.27169675,0.008352995
1243,59,30,0.27696767,0.26861852,0.00834915
1285,47,35,0.27394462,0.2656109,0.008333713
352,19,71,0.26988763,0.26158315,0.008304477
72,4,13,0.27233958,0.26404434,0.008295238
975,67,14,0.28045124,0.27216938,0.008281857
1252,47,31,0.27370456,0.26542464,0.00827992
562,31,73,0.27728358,0.26901886,0.00826472
388,21,59,0.27812344,0.26986104,0.008262396
696,67,75,0.27729028,0.26907307,0.008217216
977,70,14,0.279462,0.27128688,0.008175135
859,55,7,0.2798907,0.27174523,0.008145452
403,22,30,0.27347094,0.2653774,0.008093536
1199,67,27,0.2844778,0.27641064,0.008067161
161,7,53,0.28270823,0.27471918,0.007989049
205,9,26,0.27518648,0.26720083,0.0079856515
1220,66,28,0.2807981,0.2728259,0.007972211
600,38,53,0.27851692,0.27055952,0.007957399
699,15,0,0.27389017,0.26593333,0.007956833
1339,75,47,0.2743834,0.26645333,0.00793007
229,12,15,0.27261066,0.2647142,0.007896453
796,46,5,0.2792722,0.27142403,0.007848173
1308,47,40,0.2739888,0.26618576,0.0078030527
556,31,50,0.27096656,0.26316926,0.007797301
1150,64,25,0.2777483,0.2699748,0.0077734888
1092,70,21,0.2776153,0.26985055,0.0077647567
1357,63,52,0.28267726,0.27491516,0.0077621043
255,12,73,0.2733786,0.26562354,0.007755071
934,35,12,0.27346045,0.26576966,0.0076907873
610,39,67,0.2746642,0.2670481,0.0076161027
311,17,56,0.27102387,0.26342246,0.00760141
800,53,5,0.2829553,0.27535492,0.007600367
1240,53,30,0.27445042,0.26687655,0.007573873
63,2,73,0.27316463,0.26563114,0.0075334907
4,0,17,0.2732629,0.26573366,0.007529229
296,15,75,0.27251062,0.2650049,0.007505715
434,23,60,0.26728693,0.2598396,0.007447332
342,19,52,0.27997643,0.27254492,0.007431507
1348,65,50,0.2759945,0.26856962,0.007424891
30,1,65,0.27300906,0.2656163,0.007392764
415,22,46,0.27372932,0.26633686,0.007392466
8,0,26,0.27203417,0.26464936,0.007384807
461,25,75,0.27772596,0.27034852,0.0073774457
1178,66,26,0.27895993,0.2716091,0.007350832
798,49,5,0.27497345,0.26763704,0.007336408
1187,42,27,0.2792132,0.27194038,0.0072728097
797,47,5,0.27884585,0.27157667,0.007269174
1212,51,28,0.27762097,0.270379,0.0072419643
440,24,59,0.27586246,0.26866382,0.0071986318
948,67,12,0.2786176,0.2714378,0.0071797967
595,35,67,0.27694926,0.2698397,0.0071095526
986,46,15,0.2716146,0.26451075,0.0071038604
251,12,67,0.2750066,0.2679295,0.007077098
998,62,16,0.2768732,0.26980403,0.0070691705
928,18,12,0.27928555,0.27223718,0.0070483685
640,47,67,0.27637994,0.26939663,0.00698331
1379,65,57,0.27652496,0.26955387,0.006971091
146,7,13,0.27130142,0.26434818,0.0069532394
108,5,64,0.28077966,0.27382788,0.006951779
127,6,47,0.27445504,0.26750782,0.0069472194
537,29,73,0.28128913,0.27434388,0.0069452524
580,34,46,0.27292657,0.26599652,0.0069300532
1223,70,28,0.28075698,0.2738361,0.006920874
282,14,72,0.2763891,0.26948044,0.006908655
307,17,26,0.2734755,0.26662225,0.0068532526
745,34,2,0.28068608,0.27385217,0.006833911
165,7,64,0.27582094,0.26901624,0.0068047047
988,64,15,0.27237666,0.2655869,0.006789744
1270,61,33,0.277183,0.27040988,0.006773114
1378,63,57,0.27805156,0.27130145,0.006750107
818,20,6,0.27684635,0.2701239,0.0067224503
1000,70,16,0.26912615,0.26242015,0.0067059994
1152,66,25,0.2753036,0.2686197,0.006683916
54,2,50,0.28163698,0.27497825,0.006658733
848,23,7,0.2809467,0.27429682,0.0066498816
941,53,12,0.2794874,0.27283973,0.006647676
649,49,72,0.27893478,0.27231374,0.006621033
703,22,0,0.2800115,0.2734054,0.006606102
732,71,1,0.27755064,0.27102363,0.0065270066
1389,72,65,0.2737841,0.26726133,0.0065227747
1267,50,33,0.2722351,0.2657277,0.0065073967
979,72,14,0.28078413,0.27427992,0.006504208
1306,65,39,0.26966214,0.26318014,0.006482005
908,16,10,0.28301674,0.2765846,0.006432146
426,22,65,0.27878425,0.27235508,0.0064291656
539,30,47,0.2769223,0.27051747,0.006404817
822,35,6,0.28337026,0.27697596,0.006394297
1082,45,21,0.2743057,0.26792935,0.006376356
129,6,51,0.2766852,0.27034143,0.006343782
281,14,71,0.27852488,0.27220553,0.006319344
280,14,70,0.27771157,0.27142698,0.0062845945
511,28,40,0.26252604,0.25627953,0.006246507
271,14,46,0.27853414,0.27230164,0.0062325
389,21,60,0.26414108,0.25790912,0.0062319636
304,16,75,0.2729419,0.26673162,0.0062102675
1127,72,22,0.28079462,0.27458718,0.0062074363
1042,60,19,0.2797629,0.27356404,0.0061988533
543,30,53,0.2868568,0.2806671,0.006189704
372,20,59,0.2826068,0.27642006,0.0061867535
318,18,32,0.2705754,0.2644127,0.006162703
331,18,67,0.27973354,0.27358025,0.0061532855
875,30,8,0.28228953,0.27619532,0.0060942173
1354,54,52,0.27621385,0.27015987,0.006053984
985,45,15,0.27546287,0.26941118,0.0060516894
880,35,8,0.28038466,0.27434453,0.006040126
1288,53,35,0.2739816,0.26794404,0.006037563
354,19,73,0.27497962,0.268968,0.006011635
1118,57,22,0.277552,0.27154976,0.0060022473
536,29,72,0.2745791,0.26858264,0.0059964657
399,21,75,0.27534482,0.2693717,0.0059731305
1271,64,33,0.26715723,0.26119608,0.00596115
187,8,42,0.27164495,0.26570925,0.0059356987
402,22,28,0.27297735,0.2670594,0.0059179664
427,22,66,0.2777868,0.2718869,0.005899906
1250,73,30,0.27667066,0.27077645,0.005894214
531,28,75,0.27443242,0.26856714,0.005865276
522,28,65,0.27798238,0.27213416,0.005848229
53,2,49,0.27140996,0.2655718,0.0058381557
711,62,0,0.28124195,0.27544576,0.005796194
552,30,72,0.27335817,0.26759413,0.0057640374
748,40,2,0.27866483,0.2729204,0.0057444274
906,11,10,0.27741373,0.27176934,0.005644381
472,26,51,0.27697426,0.27135828,0.0056159794
468,26,42,0.27473447,0.26912844,0.0056060255
1269,59,33,0.27169847,0.266102,0.0055964887
972,64,14,0.2814211,0.2758605,0.0055606067
293,15,67,0.28000668,0.27445096,0.005555719
1393,75,67,0.28004584,0.27454323,0.0055026114
100,5,47,0.2796872,0.27418634,0.005500853
59,2,58,0.27013877,0.26463974,0.005499035
835,70,6,0.27704358,0.27156514,0.0054784417
349,19,67,0.27773997,0.2722839,0.00545606
1017,34,18,0.27342296,0.2679674,0.0054555535
860,57,7,0.27856582,0.27316284,0.0054029822
1114,49,22,0.28121594,0.2758321,0.005383849
1169,51,26,0.27265254,0.26729512,0.0053574145
558,31,64,0.27400956,0.26866838,0.005341172
622,42,50,0.277732,0.27240938,0.005322635
1390,73,65,0.2791082,0.27380425,0.005303949
861,63,7,0.28662375,0.28132194,0.0053018034
1138,61,24,0.26980382,0.264504,0.0052998364
62,2,72,0.28042626,0.27512926,0.005297005
193,8,53,0.27997506,0.27470237,0.0052726865
1015,32,18,0.27726334,0.27200878,0.0052545667
1273,66,33,0.27164036,0.26638788,0.0052524805
707,28,0,0.27562436,0.27037972,0.0052446425
673,54,67,0.27855426,0.27332303,0.0052312315
721,45,1,0.27513632,0.26995957,0.005176753
967,41,14,0.2701079,0.2649728,0.005135089
827,52,6,0.27766657,0.27258793,0.0050786436
278,14,67,0.27686197,0.27180606,0.0050559044
570,33,50,0.2749993,0.26995012,0.005049169
194,8,55,0.2798949,0.27486488,0.005030006
338,19,40,0.26962036,0.26462337,0.004996985
752,51,2,0.28115162,0.27616146,0.0049901605
862,64,7,0.2765182,0.27154034,0.004977852
1204,74,27,0.27825496,0.27328622,0.0049687326
1126,71,22,0.27706707,0.2721172,0.0049498677
1113,47,22,0.27780703,0.27287278,0.0049342513
690,63,75,0.28098196,0.27605027,0.0049316883
1210,46,28,0.2811533,0.27622816,0.004925132
424,22,63,0.2744767,0.26956737,0.0049093366
838,73,6,0.2700858,0.26518172,0.0049040914
772,27,4,0.27809855,0.27321175,0.004886806
1197,64,27,0.27528787,0.27040586,0.004882008
980,73,14,0.27972338,0.27486616,0.0048572123
74,4,22,0.2780097,0.27315897,0.004850745
1347,75,49,0.26424697,0.25941202,0.00483495
1184,75,26,0.2783197,0.27348664,0.0048330426
1179,67,26,0.2749287,0.27010944,0.004819244
746,35,2,0.2790726,0.2742576,0.004815012
999,69,16,0.26908028,0.26429477,0.004785508
709,45,0,0.27328226,0.2684971,0.0047851503
248,12,63,0.2720837,0.26730618,0.004777521
650,49,75,0.27406365,0.26931173,0.0047519207
706,27,0,0.27193457,0.26720563,0.004728943
22,1,40,0.26737663,0.26264942,0.0047272146
611,40,47,0.27593794,0.27121595,0.004721999
94,5,30,0.27940738,0.2747334,0.0046739876
866,73,7,0.27745363,0.2728152,0.0046384335
865,72,7,0.27599972,0.27136546,0.004634261
609,39,65,0.27261177,0.26799753,0.004614234
666,53,56,0.27219757,0.26758873,0.0046088398
952,73,12,0.2750391,0.27046692,0.004572183
233,12,22,0.27526477,0.2706931,0.0045716763
678,55,72,0.280452,0.27589127,0.004560739
1385,70,63,0.27787903,0.2733229,0.0045561194
1133,62,23,0.2720052,0.2674811,0.0045241117
937,47,12,0.2755509,0.27104095,0.0045099556
971,60,14,0.2806522,0.276145,0.004507184
1235,35,30,0.2763589,0.27185217,0.004506737
634,45,62,0.2753305,0.2708488,0.004481703
965,39,14,0.27514523,0.27067658,0.0044686496
1237,50,30,0.27465644,0.2701931,0.004463345
642,47,75,0.2756421,0.27120143,0.0044406652
1255,64,31,0.27116126,0.2667236,0.004437655
1303,55,39,0.265567,0.261137,0.004429996
773,30,4,0.27493143,0.2705138,0.004417628
382,21,39,0.2631731,0.25877675,0.004396349
870,12,8,0.2881166,0.28372285,0.0043937564
805,64,5,0.27209744,0.26771286,0.0043845773
681,57,63,0.27572286,0.27135527,0.00436759
21,1,27,0.27346778,0.26910818,0.004359603
268,14,39,0.2705226,0.26619658,0.0043260157
114,6,7,0.28147763,0.27715766,0.004319966
256,12,75,0.2754192,0.2711323,0.004286915
310,17,46,0.27603787,0.27177083,0.004267037
460,25,73,0.27610862,0.27188867,0.0042199492
481,26,66,0.2735492,0.2693508,0.004198402
783,57,4,0.27515796,0.27097586,0.0041821003
945,63,12,0.27514443,0.2709918,0.004152626
755,57,2,0.2845477,0.28040802,0.004139662
42,2,12,0.28407636,0.2799401,0.0041362643
