edge_idx,source,target,control,ms,delta
111,55,6,0.27345186,0.26129824,0.0121536255
110,51,6,0.25582713,0.24565718,0.010169953
122,51,9,0.26104963,0.25145686,0.0095927715
147,53,31,0.25770235,0.24811223,0.009590119
95,9,4,0.2612059,0.252724,0.00848192
18,6,55,0.2676508,0.2591912,0.008459628
165,54,38,0.2546844,0.2464696,0.008214787
42,13,38,0.25100923,0.2430788,0.007930428
117,31,9,0.26009405,0.25327238,0.006821662
87,54,55,0.2584929,0.2518368,0.0066560805
108,31,6,0.25641182,0.24994747,0.0064643472
102,55,4,0.25537008,0.24921237,0.006157711
175,55,51,0.25513542,0.24898513,0.0061502904
63,35,55,0.2588257,0.253061,0.005764693
116,12,9,0.2588219,0.25320366,0.0056182444
60,35,38,0.2584298,0.2530894,0.0053403974
21,8,51,0.2593405,0.25431624,0.0050242543
70,38,51,0.25382048,0.24935491,0.004465565
100,51,4,0.25432476,0.24990194,0.0044228286
167,58,38,0.25956672,0.2552682,0.004298538
176,57,51,0.2530864,0.24969292,0.0033934712
66,37,38,0.25962272,0.25638768,0.003235042
105,9,6,0.2517729,0.24854447,0.0032284409
173,53,51,0.25440496,0.25122508,0.003179878
166,57,38,0.2575632,0.25451687,0.0030463338
148,54,31,0.25686133,0.2541929,0.0026684403
119,38,9,0.25781366,0.2552403,0.002573371
182,64,55,0.25946453,0.25740388,0.0020606518
120,41,9,0.25289896,0.25090876,0.001990199
5,4,31,0.25374895,0.25182468,0.0019242764
32,10,31,0.2543429,0.25250793,0.0018349886
149,55,31,0.25397217,0.25231177,0.0016604066
103,70,4,0.25302413,0.2515272,0.0014969409
40,12,38,0.25154802,0.25013068,0.0014173388
56,31,55,0.261513,0.26011482,0.001398176
98,31,4,0.2587013,0.2573836,0.0013176799
168,61,38,0.25001693,0.24884711,0.0011698157
177,58,51,0.25536168,0.25435767,0.0010040104
49,30,31,0.25102544,0.25004026,0.0009851754
45,23,51,0.2534195,0.25269467,0.0007248223
106,25,6,0.25744706,0.2568676,0.00057947636
6,4,38,0.25786847,0.25792733,-5.8859587e-05
178,72,51,0.25034234,0.2504485,-0.00010615587
9,4,55,0.26133156,0.26161402,-0.0002824664
7,4,51,0.2539792,0.25426465,-0.00028544664
151,58,31,0.25321087,0.25350875,-0.0002978742
61,35,51,0.25493354,0.2553221,-0.00038856268
29,9,51,0.25153765,0.25197136,-0.0004337132
48,27,51,0.2529008,0.25353798,-0.00063717365
161,49,38,0.25718087,0.25787574,-0.00069487095
76,41,54,0.2591293,0.2598743,-0.00074502826
99,38,4,0.25444952,0.2552456,-0.00079607964
24,9,31,0.25324714,0.25410217,-0.00085502863
112,72,6,0.25991973,0.26103953,-0.0011197925
94,8,4,0.25544703,0.25671753,-0.0012705028
163,51,38,0.25413987,0.2555575,-0.0014176369
107,27,6,0.25154027,0.2530115,-0.0014712214
51,31,41,0.25679964,0.25857908,-0.0017794371
123,58,9,0.25285625,0.25464532,-0.0017890632
121,49,9,0.2535718,0.2554639,-0.0018920898
82,51,55,0.2563901,0.2584918,-0.0021017194
47,27,38,0.25213018,0.2544885,-0.0023583174
104,72,4,0.25444493,0.25683418,-0.0023892522
44,22,31,0.25518125,0.25771743,-0.0025361776
146,51,31,0.24977458,0.25245827,-0.0026836991
2,4,9,0.2541811,0.25696656,-0.002785474
33,10,38,0.24993789,0.2529684,-0.0030305088
17,6,51,0.25216132,0.2552683,-0.0031069815
145,49,31,0.24972323,0.25321504,-0.003491819
35,10,55,0.2500982,0.25398856,-0.0038903654
143,37,31,0.2567851,0.26089606,-0.004110962
12,6,9,0.25567183,0.25989163,-0.0042198002
164,53,38,0.24962996,0.25385907,-0.0042291135
37,11,38,0.25642294,0.26078847,-0.0043655336
174,54,51,0.25185892,0.25626308,-0.0044041574
152,69,31,0.25365674,0.25825483,-0.004598081
86,53,55,0.25313884,0.25780153,-0.0046626925
144,41,31,0.25329033,0.25800532,-0.0047149956
162,50,38,0.24648443,0.2512028,-0.0047183633
150,57,31,0.25138262,0.25640088,-0.005018264
96,11,4,0.25246102,0.25764957,-0.0051885545
16,6,38,0.25363347,0.25883466,-0.0052011907
97,27,4,0.25181887,0.25741252,-0.0055936575
118,35,9,0.25432467,0.2602889,-0.0059642196
53,31,51,0.251262,0.25777632,-0.006514311
67,37,55,0.2525135,0.25949562,-0.006982118
15,6,31,0.25259656,0.25961763,-0.0070210695
26,9,38,0.25653622,0.2636382,-0.007101983
124,64,9,0.25425565,0.26139557,-0.007139921
34,10,51,0.24760245,0.25556478,-0.007962331
77,41,55,0.2543408,0.2623722,-0.008031398
79,49,55,0.25106522,0.2593505,-0.008285284
41,12,55,0.25092182,0.25949228,-0.008570462
20,8,38,0.24933498,0.25803944,-0.008704469
54,31,53,0.2565538,0.26528823,-0.008734435
65,36,55,0.25082096,0.26085183,-0.010030866
8,4,53,0.26055703,0.2718449,-0.011287868
39,12,31,0.24914576,0.2612442,-0.0120984465
101,53,4,0.24750738,0.26185215,-0.014344767
80,51,53,0.25622788,0.27114522,-0.014917344
181,58,55,0.24863692,0.26474875,-0.016111836
64,35,72,0.28952405,0.30577233,-0.016248286
81,51,54,0.2537935,0.27103743,-0.017243922
109,38,6,0.25636896,0.27440512,-0.018036157
169,54,41,0.26417658,0.2832081,-0.019031525
38,11,41,0.2610357,0.28308105,-0.022045344
71,38,53,0.2535092,0.2765025,-0.022993296
62,35,54,0.263055,0.28826603,-0.025211036
154,51,35,0.25140992,0.2789511,-0.02754119
22,8,53,0.26021007,0.28927463,-0.029064566
155,54,35,0.2633686,0.2930915,-0.0297229
55,31,54,0.2527343,0.28311557,-0.030381262
153,38,35,0.25168848,0.2858954,-0.034206927
156,55,35,0.25016212,0.28722477,-0.037062645
72,38,54,0.25215477,0.29244906,-0.04029429
