edge_idx,source,target,control,ms,delta
2482,48,59,0.2896773,0.2683202,0.02135709
4729,51,31,0.2855397,0.2642282,0.021311492
2741,60,72,0.284888,0.26376045,0.021127552
4578,35,28,0.28272274,0.2635956,0.01912713
2944,21,1,0.28756168,0.26850823,0.01905346
4863,59,34,0.28589213,0.26769203,0.0182001
3542,63,9,0.28631455,0.26854467,0.017769873
4304,58,22,0.28308803,0.26538128,0.017706752
2107,36,74,0.29017177,0.27258208,0.017589688
605,8,42,0.28723833,0.269684,0.017554343
5078,49,40,0.28604525,0.2686838,0.017361462
3819,25,14,0.28198817,0.26465312,0.017335057
4028,57,17,0.2849211,0.2675956,0.01732552
4597,54,28,0.29225302,0.27494705,0.01730597
1904,32,33,0.290973,0.2737989,0.017174095
729,10,35,0.28606054,0.26914918,0.016911358
3100,32,3,0.28274277,0.26584756,0.016895205
3066,70,2,0.2837572,0.26704282,0.016714394
3169,30,4,0.28447163,0.2678922,0.01657942
4778,57,32,0.28838554,0.27196148,0.01642406
4147,63,19,0.284101,0.2679931,0.016107917
5613,67,62,0.28381005,0.2678007,0.01600936
4369,71,23,0.28828207,0.2724342,0.015847862
2489,48,66,0.2829961,0.26721337,0.015782714
4360,62,23,0.28207627,0.2664964,0.015579879
300,4,11,0.285066,0.26959544,0.015470564
2693,57,72,0.28394848,0.2685227,0.0154257715
4446,47,25,0.28624567,0.27086732,0.015378356
4779,58,32,0.28468964,0.26940626,0.015283376
3250,41,5,0.28641012,0.271326,0.015084118
348,4,59,0.2810932,0.26615593,0.014937282
4735,57,31,0.28182867,0.26712686,0.014701813
808,11,50,0.28481323,0.2701356,0.014677614
3402,56,7,0.28582948,0.27123377,0.014595717
3481,68,8,0.28366023,0.26928854,0.014371693
3349,71,6,0.28467974,0.2703316,0.014348149
4623,34,29,0.28305334,0.26874396,0.0143093765
2422,46,54,0.29013592,0.2759022,0.014233708
1836,30,52,0.2834242,0.2694152,0.014008999
779,11,21,0.2831449,0.26914388,0.014001012
2140,37,69,0.27800247,0.26405367,0.013948798
4144,60,19,0.28334287,0.26939642,0.013946444
1437,22,41,0.2795159,0.26562062,0.013895273
4381,32,24,0.28394017,0.27008387,0.013856292
4626,37,29,0.2854515,0.27160645,0.013845056
5127,64,41,0.28724584,0.2734238,0.013822049
2113,37,42,0.2830625,0.26924792,0.0138145685
5337,64,48,0.28391594,0.27012846,0.013787478
3421,75,7,0.28346863,0.26972362,0.01374501
1626,26,28,0.28633216,0.2727039,0.013628274
2321,42,75,0.2858711,0.27225035,0.013620734
1733,28,40,0.28489563,0.27130693,0.013588697
616,8,53,0.27932328,0.2658091,0.013514191
1291,19,57,0.28606707,0.27257565,0.013491422
1428,22,32,0.28581235,0.27234012,0.013472229
5556,68,58,0.28242576,0.26899064,0.013435125
3830,36,14,0.2849865,0.27157432,0.013412178
277,3,59,0.283717,0.27032554,0.013391465
3811,17,14,0.28756157,0.27428058,0.013280988
2549,50,75,0.2866709,0.27339637,0.013274521
2933,10,1,0.27613047,0.26289862,0.013231844
43,0,44,0.2829996,0.26977384,0.013225764
303,4,14,0.28143868,0.26826337,0.013175309
570,7,74,0.28067213,0.26756284,0.013109297
5457,64,53,0.28664213,0.2735626,0.013079524
5213,54,44,0.28476804,0.27174193,0.013026118
450,6,22,0.28456023,0.27153522,0.013025016
2850,1,0,0.2847961,0.27184036,0.012955725
4045,74,17,0.2848759,0.27193445,0.01294145
3824,30,14,0.28892618,0.27598637,0.012939811
4755,34,32,0.2820886,0.26919347,0.012895137
2181,38,73,0.284547,0.2716664,0.012880594
732,10,38,0.282016,0.2691453,0.012870699
2176,38,68,0.28335157,0.2705011,0.012850463
4870,66,34,0.28146186,0.26865196,0.012809902
3689,18,12,0.28848514,0.27568123,0.012803912
1010,14,66,0.28448755,0.27174976,0.012737781
3362,16,7,0.28539148,0.2726791,0.012712389
5626,68,63,0.28302398,0.27032864,0.012695342
1867,31,39,0.28002438,0.26737136,0.012653023
5500,66,55,0.28336763,0.2707287,0.0126389265
3748,15,13,0.28145644,0.26885164,0.012604803
1729,28,36,0.28229526,0.26973805,0.012557209
3205,66,4,0.28506276,0.2725152,0.012547553
2186,39,42,0.28245273,0.26993495,0.01251778
1773,29,34,0.29154813,0.2790355,0.012512624
2658,55,74,0.28350234,0.27101463,0.0124877095
1784,29,45,0.28735283,0.27486932,0.012483507
3601,57,10,0.28842396,0.27594408,0.0124798715
585,8,22,0.2793014,0.26683185,0.01246956
4734,56,31,0.28272086,0.2702613,0.012459576
1632,26,34,0.28273,0.27028912,0.01244089
4138,54,19,0.28238758,0.27002814,0.01235944
4708,74,30,0.2798959,0.2675811,0.012314796
856,12,35,0.28425103,0.271987,0.012264043
4589,46,28,0.2846176,0.27236658,0.0122510195
2644,55,60,0.28196794,0.26972285,0.012245089
90,1,17,0.28045335,0.26821753,0.01223582
4111,27,19,0.2836718,0.27147177,0.012200028
4197,58,20,0.28379098,0.271609,0.0121819675
4124,40,19,0.2853518,0.27317813,0.012173682
4190,51,20,0.2808075,0.26866955,0.0121379495
758,10,64,0.2772797,0.26514226,0.012137443
1125,16,62,0.28420696,0.27211234,0.012094617
706,10,12,0.28013223,0.2680441,0.01208812
255,3,37,0.28148636,0.26941663,0.012069732
3048,52,2,0.28679618,0.27473444,0.012061745
2541,50,67,0.27723515,0.26518124,0.012053907
2862,13,0,0.28238332,0.2703638,0.012019515
2513,49,64,0.28362098,0.27160156,0.012019426
4649,60,29,0.2863836,0.27436483,0.01201877
5651,72,65,0.2826471,0.27063024,0.012016863
2151,38,43,0.28504714,0.27304533,0.012001812
2965,42,1,0.27976194,0.26777005,0.011991888
2358,44,49,0.2830273,0.27105048,0.011976808
1070,15,66,0.28251162,0.27057126,0.01194036
2129,37,58,0.28302556,0.27110872,0.011916846
3845,51,14,0.2824013,0.27050158,0.01189971
2813,66,75,0.27974743,0.26784784,0.0118995905
4403,54,24,0.28765973,0.27577457,0.011885166
3507,28,9,0.2875274,0.27568462,0.011842787
3377,31,7,0.29062456,0.27879676,0.011827797
1311,20,22,0.28263983,0.2708471,0.011792719
4010,39,17,0.28066713,0.26889694,0.011770189
576,8,13,0.2833949,0.27167875,0.011716157
4199,60,20,0.27910718,0.26741064,0.011696547
3431,18,8,0.28320426,0.27151895,0.011685312
4881,37,35,0.28448662,0.2728036,0.011683017
3257,48,5,0.28329632,0.27161962,0.011676699
5667,71,67,0.28412417,0.27246934,0.011654824
2778,63,70,0.28158695,0.26993644,0.011650503
5012,54,38,0.283853,0.27221435,0.011638641
1862,31,34,0.28007334,0.26845914,0.011614203
2419,46,51,0.28623438,0.27462023,0.011614144
4940,57,36,0.2880563,0.27644688,0.011609435
4460,61,25,0.28488398,0.27327573,0.011608243
2232,40,53,0.2802501,0.26865655,0.01159355
686,9,57,0.2823353,0.27076182,0.0115734935
4078,50,18,0.28548884,0.2739164,0.01157245
2720,59,66,0.2870662,0.2755048,0.011561394
299,4,10,0.282554,0.27101988,0.011534125
1863,31,35,0.2838714,0.27236727,0.0115041435
4301,55,22,0.27998224,0.26851374,0.0114685
4564,68,27,0.28313202,0.27169937,0.011432648
