Layer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
rsfMRI,0,Degree,74.45283,74.11539,0.3374405
rsfMRI,1,Degree,74.50944,74.05769,0.45174408
rsfMRI,2,Degree,74.113205,74.46154,-0.34833527
rsfMRI,3,Degree,74.35849,74.21154,0.14694977
rsfMRI,4,Degree,74.35849,74.21154,0.14694977
rsfMRI,5,Degree,74.30189,74.26923,0.03265381
rsfMRI,6,Degree,74.30189,74.26923,0.03265381
rsfMRI,7,Degree,74.62264,73.94231,0.680336
rsfMRI,8,Degree,74.26415,74.30769,-0.043540955
rsfMRI,9,Degree,74.35849,74.21154,0.14694977
rsfMRI,10,Degree,74.18868,74.38461,-0.19593048
rsfMRI,11,Degree,74.30189,74.26923,0.03265381
rsfMRI,12,Degree,74.50944,74.05769,0.45174408
rsfMRI,13,Degree,74.50944,74.05769,0.45174408
rsfMRI,14,Degree,74.62264,73.94231,0.680336
rsfMRI,15,Degree,74.396225,74.17308,0.22314453
rsfMRI,16,Degree,74.245285,74.32692,-0.08163452
rsfMRI,17,Degree,74.35849,74.21154,0.14694977
rsfMRI,18,Degree,74.037735,74.53846,-0.5007248
rsfMRI,19,Degree,74.45283,74.11539,0.3374405
rsfMRI,20,Degree,74.320755,74.25,0.070755005
rsfMRI,21,Degree,74.37736,74.19231,0.18505096
rsfMRI,22,Degree,74.20755,74.36539,-0.15783691
rsfMRI,23,Degree,74.471695,74.09615,0.3755417
rsfMRI,24,Degree,74.20755,74.36539,-0.15783691
rsfMRI,25,Degree,74.37736,74.19231,0.18505096
rsfMRI,26,Degree,74.245285,74.32692,-0.08163452
rsfMRI,27,Degree,74.169815,74.40385,-0.23403168
rsfMRI,28,Degree,74.62264,73.94231,0.680336
rsfMRI,29,Degree,74.45283,74.11539,0.3374405
rsfMRI,30,Degree,74.62264,73.94231,0.680336
rsfMRI,31,Degree,74.37736,74.19231,0.18505096
rsfMRI,32,Degree,74.396225,74.17308,0.22314453
rsfMRI,33,Degree,74.41509,74.15385,0.26124573
rsfMRI,34,Degree,74.37736,74.19231,0.18505096
rsfMRI,35,Degree,74.49056,74.07692,0.41364288
rsfMRI,36,Degree,74.471695,74.09615,0.3755417
rsfMRI,37,Degree,74.33962,74.23077,0.1088562
rsfMRI,38,Degree,74.320755,74.25,0.070755005
rsfMRI,39,Degree,74.43396,74.13461,0.29934692
rsfMRI,40,Degree,74.396225,74.17308,0.22314453
rsfMRI,41,Degree,74.30189,74.26923,0.03265381
rsfMRI,42,Degree,74.37736,74.19231,0.18505096
rsfMRI,43,Degree,74.20755,74.36539,-0.15783691
rsfMRI,44,Degree,74.20755,74.36539,-0.15783691
rsfMRI,45,Degree,74.37736,74.19231,0.18505096
rsfMRI,46,Degree,74.37736,74.19231,0.18505096
rsfMRI,47,Degree,74.169815,74.40385,-0.23403168
rsfMRI,48,Degree,74.33962,74.23077,0.1088562
rsfMRI,49,Degree,74.28302,74.28846,-0.0054397583
rsfMRI,50,Degree,74.49056,74.07692,0.41364288
rsfMRI,51,Degree,74.43396,74.13461,0.29934692
rsfMRI,52,Degree,74.45283,74.11539,0.3374405
rsfMRI,53,Degree,74.320755,74.25,0.070755005
rsfMRI,54,Degree,74.320755,74.25,0.070755005
rsfMRI,55,Degree,74.07547,74.5,-0.42453003
rsfMRI,56,Degree,74.13207,74.44231,-0.31023407
rsfMRI,57,Degree,74.35849,74.21154,0.14694977
rsfMRI,58,Degree,74.66038,73.90385,0.75653076
rsfMRI,59,Degree,74.56604,74.0,0.56604004
rsfMRI,60,Degree,74.49056,74.07692,0.41364288
rsfMRI,61,Degree,74.35849,74.21154,0.14694977
rsfMRI,62,Degree,74.26415,74.30769,-0.043540955
rsfMRI,63,Degree,74.0566,74.51923,-0.46263123
rsfMRI,64,Degree,74.35849,74.21154,0.14694977
rsfMRI,65,Degree,74.15094,74.42308,-0.2721405
rsfMRI,66,Degree,74.33962,74.23077,0.1088562
rsfMRI,67,Degree,74.45283,74.11539,0.3374405
rsfMRI,68,Degree,74.28302,74.28846,-0.0054397583
rsfMRI,69,Degree,74.28302,74.28846,-0.0054397583
rsfMRI,70,Degree,74.41509,74.15385,0.26124573
rsfMRI,71,Degree,74.45283,74.11539,0.3374405
rsfMRI,72,Degree,74.15094,74.42308,-0.2721405
rsfMRI,73,Degree,74.50944,74.05769,0.45174408
rsfMRI,74,Degree,74.320755,74.25,0.070755005
rsfMRI,75,Degree,74.471695,74.09615,0.3755417
rsfMRI,0,Strength,41.47327,39.38092,2.09235
rsfMRI,1,Strength,39.542088,39.65256,-0.11047363
rsfMRI,2,Strength,40.88272,38.396233,2.4864883
rsfMRI,3,Strength,36.708546,38.159134,-1.4505882
