Cohort,Layer,Metric,Node,Control,EM,Delta,Interpretation
Naples,FA,Betweenness_mean,74,0.11166411694713582,0.06155925155925156,0.050104865387884265,↑ in controls
Naples,FA,Betweenness_mean,65,0.06383817780044196,0.017823977823977825,0.04601419997646414,↑ in controls
Naples,FA,Betweenness_mean,13,0.08829508754037056,0.04922383922383922,0.03907124831653134,↑ in controls
Naples,FA,Betweenness_mean,20,0.059785823559408466,0.02108801108801109,0.03869781247139738,↑ in controls
Naples,FA,Betweenness_mean,42,0.11439061703212647,0.07846846846846846,0.03592214856365801,↑ in controls
Naples,FA,Betweenness_mean,36,0.04749277579466259,0.017422037422037424,0.030070738372625163,↑ in controls
Naples,FA,Betweenness_mean,68,0.061404045554988955,0.03855855855855856,0.022845486996430395,↑ in controls
Naples,FA,Betweenness_mean,63,0.06250552439231684,0.0842065142065142,-0.021700989814197366,↓ in MS
Naples,FA,Betweenness_mean,43,0.03681115077341492,0.015717255717255716,0.021093895056159207,↑ in controls
Naples,FA,Betweenness_mean,21,0.035668876423593406,0.01492030492030492,0.020748571503288488,↑ in controls
Naples,FA,Closeness_mean,22,0.9252867685909564,0.9138994375020879,0.011387331088868469,↑ in controls
Naples,FA,Closeness_mean,40,0.971675804491663,0.9611370373791487,0.010538767112514336,↑ in controls
Naples,FA,Closeness_mean,31,0.9599309217174037,0.9494135152414598,0.010517406475943902,↑ in controls
Naples,FA,Closeness_mean,38,0.9723826448211449,0.961924214443417,0.010458430377727868,↑ in controls
Naples,FA,Closeness_mean,26,0.9135945530857901,0.9035224128998893,0.010072140185900746,↑ in controls
Naples,FA,Closeness_mean,72,0.9131787157835207,0.9031529210785609,0.01002579470495979,↑ in controls
Naples,FA,Closeness_mean,67,0.9364134325305518,0.9267159754202438,0.009697457110308005,↑ in controls
Naples,FA,Closeness_mean,30,0.9244345588109969,0.9149479955126598,0.00948656329833708,↑ in controls
Naples,FA,Closeness_mean,71,0.9133866344346554,0.9039359692937959,0.00945066514085946,↑ in controls
Naples,FA,Closeness_mean,33,0.9590238099612354,0.9498338312846589,0.009189978676576449,↑ in controls
Naples,FA,Degree_mean,22,68.94339622641509,67.73076923076923,1.2126269956458628,↑ in controls
Naples,FA,Degree_mean,67,69.90566037735849,68.75,1.1556603773584868,↑ in controls
Naples,FA,Degree_mean,38,72.86792452830188,71.73076923076923,1.137155297532658,↑ in controls
Naples,FA,Degree_mean,70,64.94339622641509,63.80769230769231,1.1357039187227826,↑ in controls
Naples,FA,Degree_mean,31,71.86792452830188,70.75,1.1179245283018844,↑ in controls
Naples,FA,Degree_mean,26,67.90566037735849,66.78846153846153,1.1171988388969538,↑ in controls
Naples,FA,Degree_mean,71,67.88679245283019,66.8076923076923,1.079100145137886,↑ in controls
Naples,FA,Degree_mean,30,68.86792452830188,67.8076923076923,1.0602322206095778,↑ in controls
Naples,FA,Degree_mean,72,67.86792452830188,66.82692307692308,1.0410014513788042,↑ in controls
Naples,FA,Degree_mean,40,72.81132075471699,71.78846153846153,1.0228592162554548,↑ in controls
Naples,FA,Eigenvector_mean,43,0.03803493330851868,0.048342475597296646,-0.010307542288777963,↓ in MS
Naples,FA,Eigenvector_mean,22,0.14589869688600893,0.13602684296936177,0.00987185391664716,↑ in controls
Naples,FA,Eigenvector_mean,41,0.11824848560291953,0.12677735939593937,-0.008528873793019837,↓ in MS
Naples,FA,Eigenvector_mean,56,0.09145247913214714,0.0999024961283951,-0.00845001699624795,↓ in MS
