Node,Layer,Metric,Control,EM,Delta,Abs_Delta,Cohort
74,FA,Betweenness_mean,0.11166411694713582,0.06155925155925156,0.050104865387884265,0.050104865387884265,Naples
65,FA,Betweenness_mean,0.06383817780044196,0.017823977823977825,0.04601419997646414,0.04601419997646414,Naples
13,FA,Betweenness_mean,0.08829508754037056,0.04922383922383922,0.03907124831653134,0.03907124831653134,Naples
20,FA,Betweenness_mean,0.059785823559408466,0.02108801108801109,0.03869781247139738,0.03869781247139738,Naples
42,FA,Betweenness_mean,0.11439061703212647,0.07846846846846846,0.03592214856365801,0.03592214856365801,Naples
36,FA,Betweenness_mean,0.04749277579466259,0.017422037422037424,0.030070738372625163,0.030070738372625163,Naples
68,FA,Betweenness_mean,0.061404045554988955,0.03855855855855856,0.022845486996430395,0.022845486996430395,Naples
63,FA,Betweenness_mean,0.06250552439231684,0.0842065142065142,-0.021700989814197366,0.021700989814197366,Naples
43,FA,Betweenness_mean,0.03681115077341492,0.015717255717255716,0.021093895056159207,0.021093895056159207,Naples
21,FA,Betweenness_mean,0.035668876423593406,0.01492030492030492,0.020748571503288488,0.020748571503288488,Naples
22,FA,Closeness_mean,0.9252867685909564,0.9138994375020879,0.011387331088868469,0.011387331088868469,Naples
40,FA,Closeness_mean,0.971675804491663,0.9611370373791487,0.010538767112514336,0.010538767112514336,Naples
31,FA,Closeness_mean,0.9599309217174037,0.9494135152414598,0.010517406475943902,0.010517406475943902,Naples
38,FA,Closeness_mean,0.9723826448211449,0.961924214443417,0.010458430377727868,0.010458430377727868,Naples
26,FA,Closeness_mean,0.9135945530857901,0.9035224128998893,0.010072140185900746,0.010072140185900746,Naples
72,FA,Closeness_mean,0.9131787157835207,0.9031529210785609,0.01002579470495979,0.01002579470495979,Naples
67,FA,Closeness_mean,0.9364134325305518,0.9267159754202438,0.009697457110308005,0.009697457110308005,Naples
30,FA,Closeness_mean,0.9244345588109969,0.9149479955126598,0.00948656329833708,0.00948656329833708,Naples
71,FA,Closeness_mean,0.9133866344346554,0.9039359692937959,0.00945066514085946,0.00945066514085946,Naples
33,FA,Closeness_mean,0.9590238099612354,0.9498338312846589,0.009189978676576449,0.009189978676576449,Naples
22,FA,Degree_mean,68.94339622641509,67.73076923076923,1.2126269956458628,1.2126269956458628,Naples
67,FA,Degree_mean,69.90566037735849,68.75,1.1556603773584868,1.1556603773584868,Naples
38,FA,Degree_mean,72.86792452830188,71.73076923076923,1.137155297532658,1.137155297532658,Naples
70,FA,Degree_mean,64.94339622641509,63.80769230769231,1.1357039187227826,1.1357039187227826,Naples
31,FA,Degree_mean,71.86792452830188,70.75,1.1179245283018844,1.1179245283018844,Naples
