Node,Group,Layer,Metric,Value
0,Control,FA,Degree_mean,60.943396226415096
0,Control,GM,Degree_mean,74.37735849056604
0,Control,rsfMRI,Degree_mean,74.45283018867924
0,EM,FA,Degree_mean,59.88461538461539
0,EM,GM,Degree_mean,74.1923076923077
0,EM,rsfMRI,Degree_mean,74.11538461538461
1,Control,FA,Degree_mean,66.9622641509434
1,Control,GM,Degree_mean,73.94339622641509
1,Control,rsfMRI,Degree_mean,74.50943396226415
1,EM,FA,Degree_mean,65.75
1,EM,GM,Degree_mean,74.63461538461539
1,EM,rsfMRI,Degree_mean,74.0576923076923
2,Control,FA,Degree_mean,69.90566037735849
2,Control,GM,Degree_mean,74.52830188679245
2,Control,rsfMRI,Degree_mean,74.11320754716981
2,EM,FA,Degree_mean,68.75
2,EM,GM,Degree_mean,74.03846153846153
2,EM,rsfMRI,Degree_mean,74.46153846153847
3,Control,FA,Degree_mean,43.75471698113208
3,Control,GM,Degree_mean,74.0754716981132
3,Control,rsfMRI,Degree_mean,74.35849056603773
3,EM,FA,Degree_mean,43.40384615384615
3,EM,GM,Degree_mean,74.5
3,EM,rsfMRI,Degree_mean,74.21153846153847
4,Control,FA,Degree_mean,68.88679245283019
4,Control,GM,Degree_mean,74.18867924528301
4,Control,rsfMRI,Degree_mean,74.35849056603773
4,EM,FA,Degree_mean,67.78846153846153
4,EM,GM,Degree_mean,74.38461538461539
4,EM,rsfMRI,Degree_mean,74.21153846153847
5,Control,FA,Degree_mean,71.90566037735849
5,Control,GM,Degree_mean,74.32075471698113
5,Control,rsfMRI,Degree_mean,74.30188679245283
5,EM,FA,Degree_mean,70.71153846153847
5,EM,GM,Degree_mean,74.25
5,EM,rsfMRI,Degree_mean,74.26923076923077
6,Control,FA,Degree_mean,72.88679245283019
6,Control,GM,Degree_mean,74.05660377358491
6,Control,rsfMRI,Degree_mean,74.30188679245283
6,EM,FA,Degree_mean,71.71153846153847
6,EM,GM,Degree_mean,74.51923076923077
6,EM,rsfMRI,Degree_mean,74.26923076923077
7,Control,FA,Degree_mean,71.94339622641509
7,Control,GM,Degree_mean,74.09433962264151
7,Control,rsfMRI,Degree_mean,74.62264150943396
7,EM,FA,Degree_mean,70.67307692307692
7,EM,GM,Degree_mean,74.48076923076923
7,EM,rsfMRI,Degree_mean,73.9423076923077
8,Control,FA,Degree_mean,71.94339622641509
8,Control,GM,Degree_mean,74.01886792452831
8,Control,rsfMRI,Degree_mean,74.26415094339623
8,EM,FA,Degree_mean,70.67307692307692
8,EM,GM,Degree_mean,74.5576923076923
8,EM,rsfMRI,Degree_mean,74.3076923076923
9,Control,FA,Degree_mean,70.86792452830188
9,Control,GM,Degree_mean,74.0
9,Control,rsfMRI,Degree_mean,74.35849056603773
9,EM,FA,Degree_mean,69.76923076923077
9,EM,GM,Degree_mean,74.57692307692308
9,EM,rsfMRI,Degree_mean,74.21153846153847
10,Control,FA,Degree_mean,65.83018867924528
10,Control,GM,Degree_mean,74.16981132075472
10,Control,rsfMRI,Degree_mean,74.18867924528301
10,EM,FA,Degree_mean,64.90384615384616
10,EM,GM,Degree_mean,74.40384615384616
10,EM,rsfMRI,Degree_mean,74.38461538461539
11,Control,FA,Degree_mean,69.69811320754717
11,Control,GM,Degree_mean,74.11320754716981
11,Control,rsfMRI,Degree_mean,74.30188679245283
11,EM,FA,Degree_mean,68.96153846153847
11,EM,GM,Degree_mean,74.46153846153847
11,EM,rsfMRI,Degree_mean,74.26923076923077
12,Control,FA,Degree_mean,73.9622641509434
12,Control,GM,Degree_mean,74.0
12,Control,rsfMRI,Degree_mean,74.50943396226415
12,EM,FA,Degree_mean,72.61538461538461
12,EM,GM,Degree_mean,74.57692307692308
12,EM,rsfMRI,Degree_mean,74.0576923076923
13,Control,FA,Degree_mean,52.81132075471698
13,Control,GM,Degree_mean,74.24528301886792
13,Control,rsfMRI,Degree_mean,74.50943396226415
13,EM,FA,Degree_mean,52.17307692307692
13,EM,GM,Degree_mean,74.32692307692308
13,EM,rsfMRI,Degree_mean,74.0576923076923
14,Control,FA,Degree_mean,67.88679245283019
14,Control,GM,Degree_mean,74.32075471698113
14,Control,rsfMRI,Degree_mean,74.62264150943396
14,EM,FA,Degree_mean,66.8076923076923
14,EM,GM,Degree_mean,74.25
14,EM,rsfMRI,Degree_mean,73.9423076923077
15,Control,FA,Degree_mean,63.9622641509434
15,Control,GM,Degree_mean,74.75471698113208
15,Control,rsfMRI,Degree_mean,74.39622641509433
15,EM,FA,Degree_mean,62.80769230769231
15,EM,GM,Degree_mean,73.8076923076923
15,EM,rsfMRI,Degree_mean,74.17307692307692
16,Control,FA,Degree_mean,60.924528301886795
16,Control,GM,Degree_mean,74.58490566037736
16,Control,rsfMRI,Degree_mean,74.24528301886792
16,EM,FA,Degree_mean,59.90384615384615
16,EM,GM,Degree_mean,73.98076923076923
16,EM,rsfMRI,Degree_mean,74.32692307692308
17,Control,FA,Degree_mean,61.943396226415096
17,Control,GM,Degree_mean,74.45283018867924
17,Control,rsfMRI,Degree_mean,74.35849056603773
17,EM,FA,Degree_mean,60.86538461538461
17,EM,GM,Degree_mean,74.11538461538461
17,EM,rsfMRI,Degree_mean,74.21153846153847
18,Control,FA,Degree_mean,61.867924528301884
18,Control,GM,Degree_mean,74.33962264150944
18,Control,rsfMRI,Degree_mean,74.0377358490566
18,EM,FA,Degree_mean,60.94230769230769
18,EM,GM,Degree_mean,74.23076923076923
18,EM,rsfMRI,Degree_mean,74.53846153846153
19,Control,FA,Degree_mean,72.81132075471699
19,Control,GM,Degree_mean,74.54716981132076
19,Control,rsfMRI,Degree_mean,74.45283018867924
19,EM,FA,Degree_mean,71.78846153846153
19,EM,GM,Degree_mean,74.01923076923077
19,EM,rsfMRI,Degree_mean,74.11538461538461
20,Control,FA,Degree_mean,68.9622641509434
20,Control,GM,Degree_mean,74.16981132075472
20,Control,rsfMRI,Degree_mean,74.32075471698113
20,EM,FA,Degree_mean,67.71153846153847
20,EM,GM,Degree_mean,74.40384615384616
20,EM,rsfMRI,Degree_mean,74.25
21,Control,FA,Degree_mean,69.86792452830188
21,Control,GM,Degree_mean,74.50943396226415
21,Control,rsfMRI,Degree_mean,74.37735849056604
21,EM,FA,Degree_mean,68.78846153846153
21,EM,GM,Degree_mean,74.0576923076923
21,EM,rsfMRI,Degree_mean,74.1923076923077
