Model,Network,Fold,Accuracy,F1,Precision,Recall,AUC
GAT,MULTILAYER,1,0.5714285714285714,0.3076923076923077,1.0,0.18181818181818182,0.6818181818181819
GAT,MULTILAYER,2,0.42857142857142855,0.0,0.0,0.0,0.7
GAT,MULTILAYER,3,0.5238095238095238,0.0,0.0,0.0,0.4727272727272728
GAT,MULTILAYER,4,0.47619047619047616,0.42105263157894735,0.4444444444444444,0.4,0.5909090909090908
GAT,MULTILAYER,5,0.5238095238095238,0.6666666666666666,0.5,1.0,0.6818181818181818
GAT,MULTILAYER,Average,0.5047619047619047,0.27908232118758436,0.3888888888888889,0.31636363636363635,0.6254545454545454
GCN,MULTILAYER,1,0.5714285714285714,0.3076923076923077,1.0,0.18181818181818182,0.5181818181818181
GCN,MULTILAYER,2,0.5238095238095238,0.16666666666666666,1.0,0.09090909090909091,0.7818181818181817
GCN,MULTILAYER,3,0.42857142857142855,0.6,0.45,0.9,0.6363636363636365
GCN,MULTILAYER,4,0.6190476190476191,0.5,0.6666666666666666,0.4,0.5818181818181818
GCN,MULTILAYER,5,0.6190476190476191,0.42857142857142855,0.75,0.3,0.6090909090909091
GCN,MULTILAYER,Average,0.5523809523809524,0.4005860805860806,0.7733333333333333,0.37454545454545457,0.6254545454545454
GraphSAGE,MULTILAYER,1,0.5238095238095238,0.6153846153846154,0.5333333333333333,0.7272727272727273,0.5181818181818181
GraphSAGE,MULTILAYER,2,0.7142857142857143,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7636363636363637
GraphSAGE,MULTILAYER,3,0.7619047619047619,0.6666666666666666,1.0,0.5,0.6818181818181819
GraphSAGE,MULTILAYER,4,0.6190476190476191,0.6363636363636364,0.5833333333333334,0.7,0.6272727272727273
GraphSAGE,MULTILAYER,5,0.6666666666666666,0.631578947368421,0.6666666666666666,0.6,0.6363636363636364
GraphSAGE,MULTILAYER,Average,0.6571428571428571,0.6554533186112133,0.7021212121212121,0.6509090909090909,0.6454545454545454
GAT,MULTILAYER,1,0.5714285714285714,0.3076923076923077,1.0,0.18181818181818182,0.6818181818181819
GAT,MULTILAYER,2,0.42857142857142855,0.0,0.0,0.0,0.7
GAT,MULTILAYER,3,0.5238095238095238,0.0,0.0,0.0,0.4727272727272728
GAT,MULTILAYER,4,0.47619047619047616,0.42105263157894735,0.4444444444444444,0.4,0.5909090909090908
GAT,MULTILAYER,5,0.5238095238095238,0.6666666666666666,0.5,1.0,0.6818181818181818
GAT,MULTILAYER,Average,0.5047619047619047,0.27908232118758436,0.3888888888888889,0.31636363636363635,0.6254545454545454
