Network,Sublayer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
MULTILAYER,GM,0,Degree,119.37736,118.32692,1.0504379
MULTILAYER,GM,1,Degree,128.86792,128.65384,0.21408081
MULTILAYER,GM,2,Degree,123.15094,122.48077,0.67017365
MULTILAYER,GM,3,Degree,92.77358,93.44231,-0.66872406
MULTILAYER,GM,4,Degree,124.830185,124.76923,0.060951233
MULTILAYER,GM,5,Degree,140.16982,139.13461,1.035202
MULTILAYER,GM,6,Degree,134.86792,134.53847,0.3294525
MULTILAYER,GM,7,Degree,134.64151,134.76923,-0.12771606
MULTILAYER,GM,8,Degree,130.81133,130.67308,0.13824463
MULTILAYER,GM,9,Degree,128.75471,128.76923,-0.014511108
MULTILAYER,GM,10,Degree,120.0,119.69231,0.30769348
MULTILAYER,GM,11,Degree,123.0566,122.57692,0.47968292
MULTILAYER,GM,12,Degree,139.69812,139.61539,0.082733154
MULTILAYER,GM,13,Degree,104.037735,103.96154,0.07619476
MULTILAYER,GM,14,Degree,119.09434,118.61539,0.4789505
MULTILAYER,GM,15,Degree,128.35849,127.17308,1.1854095
MULTILAYER,GM,16,Degree,121.471695,120.19231,1.2793884
MULTILAYER,GM,17,Degree,130.33963,129.15384,1.185791
MULTILAYER,GM,18,Degree,118.169815,117.55769,0.6121216
MULTILAYER,GM,19,Degree,124.169815,123.44231,0.72750854
MULTILAYER,GM,20,Degree,128.09435,127.44231,0.6520386
MULTILAYER,GM,21,Degree,132.16982,131.28847,0.88134766
MULTILAYER,GM,22,Degree,143.07547,142.17308,0.9023895
MULTILAYER,GM,23,Degree,122.84906,122.78846,0.06060028
MULTILAYER,GM,24,Degree,133.13208,132.3077,0.8243866
MULTILAYER,GM,25,Degree,137.86792,137.48077,0.387146
MULTILAYER,GM,26,Degree,136.18867,135.1923,0.9963684
MULTILAYER,GM,27,Degree,140.92453,140.36539,0.55914307
MULTILAYER,GM,28,Degree,134.22641,133.1923,1.0341034
MULTILAYER,GM,29,Degree,108.64151,107.26923,1.3722763
MULTILAYER,GM,30,Degree,142.98112,142.26923,0.7118988
MULTILAYER,GM,31,Degree,145.73586,145.46153,0.2743225
MULTILAYER,GM,32,Degree,133.77359,133.65384,0.11975098
MULTILAYER,GM,33,Degree,146.32076,144.86539,1.455368
MULTILAYER,GM,34,Degree,134.15094,133.26923,0.88171387
MULTILAYER,GM,35,Degree,131.69812,131.76923,-0.07110596
MULTILAYER,GM,36,Degree,106.98113,106.96154,0.019592285
MULTILAYER,GM,37,Degree,114.81132,114.98077,-0.16944885
