Model,Network,Fold,Accuracy,F1,Precision,Recall,AUC
GAT,MULTINEXT,1,0.47619047619047616,0.0,0.0,0.0,0.4363636363636364
GAT,MULTINEXT,2,0.47619047619047616,0.0,0.0,0.0,0.39090909090909093
GAT,MULTINEXT,3,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.35454545454545455
GAT,MULTINEXT,4,0.5238095238095238,0.0,0.0,0.0,0.4909090909090909
GAT,MULTINEXT,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.5181818181818181
GAT,MULTINEXT,Average,0.48571428571428565,0.25806451612903225,0.19047619047619047,0.4,0.4381818181818182
GCN,MULTINEXT,1,0.5238095238095238,0.6875,0.5238095238095238,1.0,0.4363636363636363
GCN,MULTINEXT,2,0.47619047619047616,0.0,0.0,0.0,0.38181818181818183
GCN,MULTINEXT,3,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.6636363636363636
GCN,MULTINEXT,4,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.49090909090909096
GCN,MULTINEXT,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.4818181818181818
GCN,MULTINEXT,Average,0.48571428571428577,0.5245967741935483,0.39047619047619053,0.8,0.4909090909090909
GraphSAGE,MULTINEXT,1,0.47619047619047616,0.0,0.0,0.0,0.38181818181818183
GraphSAGE,MULTINEXT,2,0.47619047619047616,0.0,0.0,0.0,0.3090909090909091
GraphSAGE,MULTINEXT,3,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.5272727272727272
GraphSAGE,MULTINEXT,4,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.4818181818181818
GraphSAGE,MULTINEXT,5,0.5238095238095238,0.0,0.0,0.0,0.509090909090909
GraphSAGE,MULTINEXT,Average,0.48571428571428565,0.25806451612903225,0.19047619047619047,0.4,0.4418181818181818
GAT,MULTINEXT,1,0.47619047619047616,0.0,0.0,0.0,0.4363636363636364
GAT,MULTINEXT,2,0.47619047619047616,0.0,0.0,0.0,0.39090909090909093
GAT,MULTINEXT,3,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.35454545454545455
GAT,MULTINEXT,4,0.5238095238095238,0.0,0.0,0.0,0.4909090909090909
GAT,MULTINEXT,5,0.47619047619047616,0.6451612903225806,0.47619047619047616,1.0,0.5181818181818181
GAT,MULTINEXT,Average,0.48571428571428565,0.25806451612903225,0.19047619047619047,0.4,0.4381818181818182
