Network,Sublayer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
MULTINEXT,GM,0,Degree,119.37736,118.32692,1.0504379
MULTINEXT,GM,1,Degree,128.86792,128.65384,0.21408081
MULTINEXT,GM,2,Degree,123.15094,122.48077,0.67017365
MULTINEXT,GM,3,Degree,92.77358,93.44231,-0.66872406
MULTINEXT,GM,4,Degree,124.830185,124.76923,0.060951233
MULTINEXT,GM,5,Degree,140.16982,139.13461,1.035202
MULTINEXT,GM,6,Degree,134.86792,134.53847,0.3294525
MULTINEXT,GM,7,Degree,134.64151,134.76923,-0.12771606
MULTINEXT,GM,8,Degree,130.81133,130.67308,0.13824463
MULTINEXT,GM,9,Degree,128.75471,128.76923,-0.014511108
MULTINEXT,GM,10,Degree,120.0,119.69231,0.30769348
MULTINEXT,GM,11,Degree,123.0566,122.57692,0.47968292
MULTINEXT,GM,12,Degree,139.69812,139.61539,0.082733154
MULTINEXT,GM,13,Degree,104.037735,103.96154,0.07619476
MULTINEXT,GM,14,Degree,119.09434,118.61539,0.4789505
MULTINEXT,GM,15,Degree,128.35849,127.17308,1.1854095
MULTINEXT,GM,16,Degree,121.471695,120.19231,1.2793884
MULTINEXT,GM,17,Degree,130.33963,129.15384,1.185791
MULTINEXT,GM,18,Degree,118.169815,117.55769,0.6121216
MULTINEXT,GM,19,Degree,124.169815,123.44231,0.72750854
MULTINEXT,GM,20,Degree,128.09435,127.44231,0.6520386
MULTINEXT,GM,21,Degree,132.16982,131.28847,0.88134766
MULTINEXT,GM,22,Degree,143.07547,142.17308,0.9023895
MULTINEXT,GM,23,Degree,122.84906,122.78846,0.06060028
MULTINEXT,GM,24,Degree,133.13208,132.3077,0.8243866
MULTINEXT,GM,25,Degree,137.86792,137.48077,0.387146
MULTINEXT,GM,26,Degree,136.18867,135.1923,0.9963684
MULTINEXT,GM,27,Degree,140.92453,140.36539,0.55914307
MULTINEXT,GM,28,Degree,134.22641,133.1923,1.0341034
MULTINEXT,GM,29,Degree,108.64151,107.26923,1.3722763
MULTINEXT,GM,30,Degree,142.98112,142.26923,0.7118988
MULTINEXT,GM,31,Degree,145.73586,145.46153,0.2743225
MULTINEXT,GM,32,Degree,133.77359,133.65384,0.11975098
MULTINEXT,GM,33,Degree,146.32076,144.86539,1.455368
MULTINEXT,GM,34,Degree,134.15094,133.26923,0.88171387
MULTINEXT,GM,35,Degree,131.69812,131.76923,-0.07110596
MULTINEXT,GM,36,Degree,106.98113,106.96154,0.019592285
MULTINEXT,GM,37,Degree,114.81132,114.98077,-0.16944885
MULTINEXT,GM,38,Degree,146.67924,146.5,0.179245
MULTINEXT,GM,39,Degree,136.96227,136.40384,0.5584259
MULTINEXT,GM,40,Degree,147.20755,145.96153,1.2460175
MULTINEXT,GM,41,Degree,138.64151,138.6923,-0.05079651
MULTINEXT,GM,42,Degree,133.79245,133.63461,0.15783691
MULTINEXT,GM,43,Degree,98.13207,97.98077,0.15130615
MULTINEXT,GM,44,Degree,110.830185,111.03846,-0.20827484
MULTINEXT,GM,45,Degree,113.830185,113.98077,-0.15058136
MULTINEXT,GM,46,Degree,128.28302,127.25,1.03302
MULTINEXT,GM,47,Degree,125.01887,124.57692,0.44194794
MULTINEXT,GM,48,Degree,90.64151,91.61539,-0.97387695
MULTINEXT,GM,49,Degree,120.54717,121.13461,-0.5874405
MULTINEXT,GM,50,Degree,140.94339,140.34616,0.597229
MULTINEXT,GM,51,Degree,131.73586,131.73077,0.0050811768
MULTINEXT,GM,52,Degree,133.90565,133.51923,0.38642883
MULTINEXT,GM,53,Degree,126.69811,126.86539,-0.16727448
MULTINEXT,GM,54,Degree,125.81132,125.76923,0.04208374
MULTINEXT,GM,55,Degree,117.86793,117.86539,0.0025405884
MULTINEXT,GM,56,Degree,123.79245,123.82692,-0.034469604
MULTINEXT,GM,57,Degree,140.83018,140.46153,0.36865234
MULTINEXT,GM,58,Degree,103.56604,104.44231,-0.8762665
MULTINEXT,GM,59,Degree,121.56604,120.09615,1.4698868
MULTINEXT,GM,60,Degree,129.50943,128.0,1.5094299
MULTINEXT,GM,61,Degree,119.35849,118.34615,1.0123367
MULTINEXT,GM,62,Degree,129.4717,128.03847,1.4332275
MULTINEXT,GM,63,Degree,119.0566,118.65385,0.40275574
MULTINEXT,GM,64,Degree,115.396225,114.38461,1.0116119
MULTINEXT,GM,65,Degree,123.15094,122.48077,0.67017365
MULTINEXT,GM,66,Degree,130.39622,129.09616,1.3000641
MULTINEXT,GM,67,Degree,142.92453,142.32692,0.5976105
MULTINEXT,GM,68,Degree,118.81132,118.90385,-0.0925293
MULTINEXT,GM,69,Degree,133.92453,133.5,0.42453003
MULTINEXT,GM,70,Degree,138.86792,138.46153,0.40638733
MULTINEXT,GM,71,Degree,136.32076,135.0577,1.2630615
MULTINEXT,GM,72,Degree,142.01888,141.25,0.7688751
MULTINEXT,GM,73,Degree,134.30188,133.11539,1.1864929
