Cohort,Layer,Metric,Node,Control,EM,Delta,Interpretation
Naples,MULTILAYER,Betweenness_mean,68,0.07091507351409888,0.025934793683138058,0.044980279830960826,↑ in controls
Naples,MULTILAYER,Betweenness_mean,23,0.04873005956099796,0.02062574291051112,0.028104316650486842,↑ in controls
Naples,MULTILAYER,Betweenness_mean,31,0.036166021075430044,0.008130837154015962,0.028035183921414082,↑ in controls
Naples,MULTILAYER,Betweenness_mean,95,0.04659585988587613,0.020448293428425877,0.026147566457450255,↑ in controls
Naples,MULTILAYER,Betweenness_mean,43,0.03269274022241659,0.008535404992358634,0.024157335230057954,↑ in controls
Naples,MULTILAYER,Betweenness_mean,52,0.03063018034903578,0.006924775004245204,0.023705405344790577,↑ in controls
Naples,MULTILAYER,Betweenness_mean,41,0.03523761922612354,0.01226566479877738,0.02297195442734616,↑ in controls
Naples,MULTILAYER,Betweenness_mean,11,0.04618268149443958,0.02334521990151129,0.022837461592928293,↑ in controls
Naples,MULTILAYER,Betweenness_mean,56,0.036782040068307716,0.01402360332823909,0.022758436740068624,↑ in controls
Naples,MULTILAYER,Betweenness_mean,4,0.04371360739722604,0.02328323993886908,0.020430367458356958,↑ in controls
Naples,MULTILAYER,Closeness_mean,104,0.9842788425796554,0.9727871335749435,0.011491709004711859,↑ in controls
Naples,MULTILAYER,Closeness_mean,106,0.9780251623938991,0.9668181889895642,0.011206973404334963,↑ in controls
Naples,MULTILAYER,Closeness_mean,83,0.9715146250116174,0.9605671082668483,0.010947516744769126,↑ in controls
Naples,MULTILAYER,Closeness_mean,15,0.9247894183357492,0.9140074591663125,0.010781959169436695,↑ in controls
Naples,MULTILAYER,Closeness_mean,71,0.9836834674972083,0.9730022918654431,0.010681175631765183,↑ in controls
Naples,MULTILAYER,Closeness_mean,88,0.9835822742269656,0.9731077502703654,0.010474523956600201,↑ in controls
Naples,MULTILAYER,Closeness_mean,60,0.9358194185187473,0.9253657588518127,0.010453659666934567,↑ in controls
Naples,MULTILAYER,Closeness_mean,149,0.9834599698330129,0.9730564237937772,0.010403546039235656,↑ in controls
Naples,MULTILAYER,Closeness_mean,66,0.9774268461230327,0.9670609078359209,0.010365938287111742,↑ in controls
Naples,MULTILAYER,Closeness_mean,62,0.9190509265443148,0.9087948276378295,0.010256098906485267,↑ in controls
Naples,MULTILAYER,Degree_mean,15,138.71698113207546,136.6153846153846,2.1015965166908472,↑ in controls
Naples,MULTILAYER,Degree_mean,106,147.60377358490567,145.55769230769232,2.0460812772133465,↑ in controls
Naples,MULTILAYER,Degree_mean,62,137.69811320754718,135.65384615384616,2.04426705370102,↑ in controls
Naples,MULTILAYER,Degree_mean,104,148.58490566037736,146.55769230769232,2.027213352685038,↑ in controls
Naples,MULTILAYER,Degree_mean,60,140.64150943396226,138.65384615384616,1.9876632801160952,↑ in controls
Naples,MULTILAYER,Degree_mean,83,146.56603773584905,144.6153846153846,1.9506531204644375,↑ in controls
Naples,MULTILAYER,Degree_mean,66,147.50943396226415,145.65384615384616,1.8555878084179938,↑ in controls
Naples,MULTILAYER,Degree_mean,71,148.49056603773585,146.65384615384616,1.8367198838896854,↑ in controls
Naples,MULTILAYER,Degree_mean,88,148.47169811320754,146.67307692307693,1.7986211901306035,↑ in controls
Naples,MULTILAYER,Degree_mean,126,149.45283018867926,147.67307692307693,1.7797532656023236,↑ in controls
Naples,MULTILAYER,Eigenvector_mean,44,0.0695699786888408,0.08146589919802502,-0.011895920509184227,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,48,0.05010726564743032,0.06153268662239123,-0.01142542097496091,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,43,0.06258141705773881,0.07374928227625353,-0.01116786521851472,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,31,0.07677043442276947,0.08768116999395498,-0.010910735571185506,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,38,0.07716830993101213,0.08805183715816224,-0.010883527227150108,↓ in MS
Naples,MULTILAYER,Eigenvector_mean,56,0.07014790581600101,0.0803932912643024,-0.010245385448301392,↓ in MS
