Node,Layer,Metric,Control,EM,Delta,Abs_Delta,Cohort
68,MULTILAYER,Betweenness_mean,0.07091507351409888,0.025934793683138058,0.044980279830960826,0.044980279830960826,Naples
23,MULTILAYER,Betweenness_mean,0.04873005956099796,0.02062574291051112,0.028104316650486842,0.028104316650486842,Naples
31,MULTILAYER,Betweenness_mean,0.036166021075430044,0.008130837154015962,0.028035183921414082,0.028035183921414082,Naples
95,MULTILAYER,Betweenness_mean,0.04659585988587613,0.020448293428425877,0.026147566457450255,0.026147566457450255,Naples
43,MULTILAYER,Betweenness_mean,0.03269274022241659,0.008535404992358634,0.024157335230057954,0.024157335230057954,Naples
52,MULTILAYER,Betweenness_mean,0.03063018034903578,0.006924775004245204,0.023705405344790577,0.023705405344790577,Naples
41,MULTILAYER,Betweenness_mean,0.03523761922612354,0.01226566479877738,0.02297195442734616,0.02297195442734616,Naples
11,MULTILAYER,Betweenness_mean,0.04618268149443958,0.02334521990151129,0.022837461592928293,0.022837461592928293,Naples
56,MULTILAYER,Betweenness_mean,0.036782040068307716,0.01402360332823909,0.022758436740068624,0.022758436740068624,Naples
4,MULTILAYER,Betweenness_mean,0.04371360739722604,0.02328323993886908,0.020430367458356958,0.020430367458356958,Naples
104,MULTILAYER,Closeness_mean,0.9842788425796554,0.9727871335749435,0.011491709004711859,0.011491709004711859,Naples
106,MULTILAYER,Closeness_mean,0.9780251623938991,0.9668181889895642,0.011206973404334963,0.011206973404334963,Naples
83,MULTILAYER,Closeness_mean,0.9715146250116174,0.9605671082668483,0.010947516744769126,0.010947516744769126,Naples
15,MULTILAYER,Closeness_mean,0.9247894183357492,0.9140074591663125,0.010781959169436695,0.010781959169436695,Naples
71,MULTILAYER,Closeness_mean,0.9836834674972083,0.9730022918654431,0.010681175631765183,0.010681175631765183,Naples
88,MULTILAYER,Closeness_mean,0.9835822742269656,0.9731077502703654,0.010474523956600201,0.010474523956600201,Naples
60,MULTILAYER,Closeness_mean,0.9358194185187473,0.9253657588518127,0.010453659666934567,0.010453659666934567,Naples
149,MULTILAYER,Closeness_mean,0.9834599698330129,0.9730564237937772,0.010403546039235656,0.010403546039235656,Naples
66,MULTILAYER,Closeness_mean,0.9774268461230327,0.9670609078359209,0.010365938287111742,0.010365938287111742,Naples
62,MULTILAYER,Closeness_mean,0.9190509265443148,0.9087948276378295,0.010256098906485267,0.010256098906485267,Naples
15,MULTILAYER,Degree_mean,138.71698113207546,136.6153846153846,2.1015965166908472,2.1015965166908472,Naples
106,MULTILAYER,Degree_mean,147.60377358490567,145.55769230769232,2.0460812772133465,2.0460812772133465,Naples
62,MULTILAYER,Degree_mean,137.69811320754718,135.65384615384616,2.04426705370102,2.04426705370102,Naples
104,MULTILAYER,Degree_mean,148.58490566037736,146.55769230769232,2.027213352685038,2.027213352685038,Naples
60,MULTILAYER,Degree_mean,140.64150943396226,138.65384615384616,1.9876632801160952,1.9876632801160952,Naples
83,MULTILAYER,Degree_mean,146.56603773584905,144.6153846153846,1.9506531204644375,1.9506531204644375,Naples
66,MULTILAYER,Degree_mean,147.50943396226415,145.65384615384616,1.8555878084179938,1.8555878084179938,Naples
71,MULTILAYER,Degree_mean,148.49056603773585,146.65384615384616,1.8367198838896854,1.8367198838896854,Naples
88,MULTILAYER,Degree_mean,148.47169811320754,146.67307692307693,1.7986211901306035,1.7986211901306035,Naples
126,MULTILAYER,Degree_mean,149.45283018867926,147.67307692307693,1.7797532656023236,1.7797532656023236,Naples
44,MULTILAYER,Eigenvector_mean,0.0695699786888408,0.08146589919802502,-0.011895920509184227,0.011895920509184227,Naples
48,MULTILAYER,Eigenvector_mean,0.05010726564743032,0.06153268662239123,-0.01142542097496091,0.01142542097496091,Naples
43,MULTILAYER,Eigenvector_mean,0.06258141705773881,0.07374928227625353,-0.01116786521851472,0.01116786521851472,Naples
31,MULTILAYER,Eigenvector_mean,0.07677043442276947,0.08768116999395498,-0.010910735571185506,0.010910735571185506,Naples
38,MULTILAYER,Eigenvector_mean,0.07716830993101213,0.08805183715816224,-0.010883527227150108,0.010883527227150108,Naples
56,MULTILAYER,Eigenvector_mean,0.07014790581600101,0.0803932912643024,-0.010245385448301392,0.010245385448301392,Naples
54,MULTILAYER,Eigenvector_mean,0.07583360287026775,0.0856595350755406,-0.00982593220527285,0.00982593220527285,Naples
41,MULTILAYER,Eigenvector_mean,0.07478916471908333,0.08436706097428756,-0.009577896255204235,0.009577896255204235,Naples
9,MULTILAYER,Eigenvector_mean,0.07483417038542532,0.084320334045869,-0.009486163660443678,0.009486163660443678,Naples
36,MULTILAYER,Eigenvector_mean,0.06961544550945463,0.07888968931766006,-0.009274243808205435,0.009274243808205435,Naples
82,MULTILAYER,Strength_mean,90.73168097092707,78.6534596994436,12.078221271483471,12.078221271483471,Naples
143,MULTILAYER,Strength_mean,92.04328326758612,80.30887713929704,11.73440612828908,11.73440612828908,Naples
88,MULTILAYER,Strength_mean,94.54931069275385,83.1600964720513,11.389214220702556,11.389214220702556,Naples
98,MULTILAYER,Strength_mean,92.20147536402453,80.93253555412056,11.26893980990397,11.26893980990397,Naples
103,MULTILAYER,Strength_mean,95.14047032321145,84.01464773172876,11.125822591482688,11.125822591482688,Naples
133,MULTILAYER,Strength_mean,92.79470614319641,82.04854185553421,10.746164287662197,10.746164287662197,Naples
151,MULTILAYER,Strength_mean,91.45738239032043,80.72868239637597,10.72869999394446,10.72869999394446,Naples
83,MULTILAYER,Strength_mean,88.76290892061036,78.17105002984167,10.591858890768691,10.591858890768691,Naples
84,MULTILAYER,Strength_mean,88.95523026421318,78.37365438333663,10.581575880876557,10.581575880876557,Naples
102,MULTILAYER,Strength_mean,91.5710784470966,81.35950566081588,10.211572786280712,10.211572786280712,Naples
44,MULTINEXT,Betweenness_mean,0.0003766560005163129,0.00044559585998110485,-6.893985946479194e-05,6.893985946479194e-05,Naples
120,MULTINEXT,Betweenness_mean,0.00037780205044899253,0.0004454277898435762,-6.762573939458368e-05,6.762573939458368e-05,Naples
51,MULTINEXT,Betweenness_mean,0.0004126008582301654,0.0004744709981926879,-6.187013996252253e-05,6.187013996252253e-05,Naples
132,MULTINEXT,Betweenness_mean,0.0004130924365665432,0.0004742730089101593,-6.118057234361606e-05,6.118057234361606e-05,Naples
56,MULTINEXT,Betweenness_mean,0.00041289828334008043,0.00047371578400211403,-6.08175006620336e-05,6.08175006620336e-05,Naples
35,MULTINEXT,Betweenness_mean,0.00038004410235825323,0.00044049539481003346,-6.0451292451780235e-05,6.0451292451780235e-05,Naples
38,MULTINEXT,Betweenness_mean,0.0004516930589323977,0.0005118132230895839,-6.012016415718615e-05,6.012016415718615e-05,Naples
42,MULTINEXT,Betweenness_mean,0.0004213141807817539,0.00048095242557887004,-5.963824479711616e-05,5.963824479711616e-05,Naples
39,MULTINEXT,Betweenness_mean,0.00039451869611246726,0.0004540033786610606,-5.948468254859333e-05,5.948468254859333e-05,Naples
37,MULTINEXT,Betweenness_mean,0.0003847365156961684,0.00044408651683206706,-5.935000113589867e-05,5.935000113589867e-05,Naples
