Node,Group,Layer,Metric,Value
0,Control,MULTILAYER,Degree_mean,119.37735849056604
0,Control,MULTINEXT,Degree_mean,119.37735849056604
0,EM,MULTILAYER,Degree_mean,118.32692307692308
0,EM,MULTINEXT,Degree_mean,118.32692307692308
1,Control,MULTILAYER,Degree_mean,128.8679245283019
1,Control,MULTINEXT,Degree_mean,128.8679245283019
1,EM,MULTILAYER,Degree_mean,128.65384615384616
1,EM,MULTINEXT,Degree_mean,128.65384615384616
2,Control,MULTILAYER,Degree_mean,123.15094339622641
2,Control,MULTINEXT,Degree_mean,123.15094339622641
2,EM,MULTILAYER,Degree_mean,122.48076923076923
2,EM,MULTINEXT,Degree_mean,122.48076923076923
3,Control,MULTILAYER,Degree_mean,92.77358490566037
3,Control,MULTINEXT,Degree_mean,92.77358490566037
3,EM,MULTILAYER,Degree_mean,93.4423076923077
3,EM,MULTINEXT,Degree_mean,93.4423076923077
4,Control,MULTILAYER,Degree_mean,124.83018867924528
4,Control,MULTINEXT,Degree_mean,124.83018867924528
4,EM,MULTILAYER,Degree_mean,124.76923076923077
4,EM,MULTINEXT,Degree_mean,124.76923076923077
5,Control,MULTILAYER,Degree_mean,140.16981132075472
5,Control,MULTINEXT,Degree_mean,140.16981132075472
5,EM,MULTILAYER,Degree_mean,139.1346153846154
5,EM,MULTINEXT,Degree_mean,139.1346153846154
6,Control,MULTILAYER,Degree_mean,134.8679245283019
6,Control,MULTINEXT,Degree_mean,134.8679245283019
6,EM,MULTILAYER,Degree_mean,134.53846153846155
6,EM,MULTINEXT,Degree_mean,134.53846153846155
7,Control,MULTILAYER,Degree_mean,134.64150943396226
7,Control,MULTINEXT,Degree_mean,134.64150943396226
7,EM,MULTILAYER,Degree_mean,134.76923076923077
7,EM,MULTINEXT,Degree_mean,134.76923076923077
8,Control,MULTILAYER,Degree_mean,130.81132075471697
8,Control,MULTINEXT,Degree_mean,130.81132075471697
8,EM,MULTILAYER,Degree_mean,130.67307692307693
8,EM,MULTINEXT,Degree_mean,130.67307692307693
9,Control,MULTILAYER,Degree_mean,128.75471698113208
9,Control,MULTINEXT,Degree_mean,128.75471698113208
9,EM,MULTILAYER,Degree_mean,128.76923076923077
9,EM,MULTINEXT,Degree_mean,128.76923076923077
10,Control,MULTILAYER,Degree_mean,120.0
10,Control,MULTINEXT,Degree_mean,120.0
10,EM,MULTILAYER,Degree_mean,119.6923076923077
10,EM,MULTINEXT,Degree_mean,119.6923076923077
11,Control,MULTILAYER,Degree_mean,123.05660377358491
11,Control,MULTINEXT,Degree_mean,123.05660377358491
11,EM,MULTILAYER,Degree_mean,122.57692307692308
11,EM,MULTINEXT,Degree_mean,122.57692307692308
12,Control,MULTILAYER,Degree_mean,139.69811320754718
12,Control,MULTINEXT,Degree_mean,139.69811320754718
12,EM,MULTILAYER,Degree_mean,139.6153846153846
12,EM,MULTINEXT,Degree_mean,139.6153846153846
13,Control,MULTILAYER,Degree_mean,104.0377358490566
13,Control,MULTINEXT,Degree_mean,104.0377358490566
13,EM,MULTILAYER,Degree_mean,103.96153846153847
13,EM,MULTINEXT,Degree_mean,103.96153846153847
14,Control,MULTILAYER,Degree_mean,119.09433962264151
14,Control,MULTINEXT,Degree_mean,119.09433962264151
